Step,AgentID,Steps to fire up
3,"(3, 21)",-1
3,"(3, 22)",-1
3,"(3, 23)",2
3,"(3, 25)",-1
3,"(3, 26)",-1
3,"(3, 27)",-1
3,"(3, 28)",3
3,"(3, 30)",-1
3,"(3, 31)",-1
3,"(3, 32)",-1
3,"(3, 33)",-1
3,"(3, 34)",-1
3,"(3, 37)",-1
3,"(3, 39)",-1
3,"(3, 40)",-1
3,"(3, 41)",-1
3,"(3, 42)",-1
3,"(3, 43)",-1
3,"(3, 45)",-1
3,"(3, 46)",-1
3,"(3, 47)",-1
3,"(3, 48)",-1
3,"(3, 49)",-1
3,"(3, 50)",-1
3,"(3, 51)",-1
3,"(3, 52)",-1
3,"(3, 53)",-1
3,"(3, 54)",-1
3,"(3, 55)",-1
3,"(3, 56)",-1
3,"(3, 57)",-1
3,"(3, 58)",-1
3,"(3, 60)",-1
3,"(3, 61)",-1
3,"(3, 63)",-1
3,"(3, 64)",-1
3,"(3, 66)",-1
3,"(3, 68)",-1
3,"(3, 69)",-1
3,"(3, 70)",-1
3,"(3, 71)",-1
3,"(3, 72)",-1
3,"(3, 73)",-1
3,"(3, 74)",-1
3,"(3, 75)",-1
3,"(3, 76)",-1
3,"(3, 77)",-1
3,"(3, 78)",-1
3,"(3, 79)",-1
3,"(3, 80)",-1
3,"(3, 81)",-1
3,"(3, 82)",-1
3,"(3, 84)",-1
3,"(3, 85)",-1
3,"(3, 86)",-1
3,"(3, 87)",-1
3,"(3, 88)",-1
3,"(3, 89)",-1
3,"(3, 91)",-1
3,"(3, 93)",-1
3,"(3, 94)",-1
3,"(3, 95)",-1
3,"(3, 97)",-1
3,"(3, 98)",-1
3,"(3, 99)",-1
3,"(4, 0)",-1
3,"(4, 1)",-1
3,"(4, 2)",-1
3,"(4, 3)",-1
3,"(4, 4)",-1
3,"(4, 5)",-1
3,"(4, 6)",-1
3,"(4, 7)",-1
3,"(4, 8)",-1
3,"(4, 9)",-1
3,"(4, 11)",-1
3,"(4, 12)",-1
3,"(4, 13)",-1
3,"(4, 14)",-1
3,"(4, 17)",-1
3,"(4, 18)",-1
3,"(4, 19)",-1
3,"(4, 20)",-1
3,"(4, 21)",-1
3,"(4, 23)",3
3,"(4, 24)",3
3,"(4, 25)",-1
3,"(4, 26)",-1
3,"(4, 27)",-1
3,"(4, 28)",-1
3,"(4, 29)",-1
3,"(4, 30)",-1
3,"(4, 31)",-1
3,"(4, 32)",-1
3,"(4, 33)",-1
3,"(4, 34)",-1
3,"(4, 35)",-1
3,"(4, 37)",-1
3,"(4, 38)",-1
3,"(4, 39)",-1
3,"(4, 40)",-1
3,"(4, 43)",-1
3,"(4, 44)",-1
3,"(4, 45)",-1
3,"(4, 46)",-1
3,"(4, 48)",-1
3,"(4, 49)",-1
3,"(4, 50)",-1
3,"(4, 51)",-1
3,"(4, 52)",-1
3,"(4, 53)",-1
3,"(4, 54)",-1
3,"(4, 56)",-1
3,"(4, 57)",-1
3,"(4, 58)",-1
3,"(4, 59)",-1
3,"(4, 63)",-1
3,"(4, 64)",-1
3,"(4, 65)",-1
3,"(4, 67)",-1
3,"(4, 68)",-1
3,"(4, 69)",-1
3,"(4, 70)",-1
3,"(4, 71)",-1
3,"(4, 72)",-1
3,"(4, 73)",-1
3,"(4, 74)",-1
3,"(4, 75)",-1
3,"(4, 76)",-1
3,"(4, 77)",-1
3,"(4, 78)",-1
3,"(4, 79)",-1
3,"(4, 80)",-1
3,"(4, 81)",-1
3,"(4, 82)",-1
3,"(4, 83)",-1
3,"(4, 84)",-1
3,"(4, 85)",-1
3,"(4, 86)",-1
3,"(4, 87)",-1
3,"(4, 88)",-1
3,"(4, 89)",-1
3,"(4, 90)",-1
3,"(4, 92)",-1
3,"(4, 93)",-1
3,"(4, 94)",-1
3,"(4, 95)",-1
3,"(4, 96)",-1
3,"(4, 97)",-1
3,"(4, 99)",-1
3,"(5, 1)",-1
3,"(5, 2)",-1
3,"(5, 3)",-1
3,"(5, 4)",-1
3,"(5, 5)",-1
3,"(5, 7)",-1
3,"(5, 8)",-1
3,"(5, 9)",-1
3,"(5, 10)",-1
3,"(5, 11)",-1
3,"(5, 12)",-1
3,"(5, 13)",-1
3,"(5, 14)",-1
3,"(5, 15)",-1
3,"(5, 16)",-1
3,"(5, 18)",-1
3,"(5, 19)",-1
3,"(5, 20)",-1
3,"(5, 21)",-1
3,"(5, 22)",-1
3,"(5, 23)",-1
3,"(5, 24)",-1
3,"(5, 25)",-1
3,"(5, 27)",-1
3,"(5, 28)",-1
3,"(5, 29)",-1
3,"(5, 30)",-1
3,"(5, 31)",-1
3,"(5, 32)",-1
3,"(5, 33)",-1
3,"(5, 34)",-1
3,"(5, 35)",-1
3,"(5, 36)",-1
3,"(5, 37)",-1
3,"(5, 41)",-1
3,"(5, 42)",-1
3,"(5, 43)",-1
3,"(5, 44)",-1
3,"(5, 45)",-1
3,"(5, 46)",-1
3,"(5, 47)",-1
3,"(5, 48)",-1
3,"(5, 50)",-1
3,"(5, 51)",-1
3,"(5, 52)",-1
3,"(5, 53)",-1
3,"(5, 54)",-1
3,"(5, 55)",-1
3,"(5, 56)",-1
3,"(5, 57)",-1
3,"(5, 58)",-1
3,"(5, 59)",-1
3,"(5, 60)",-1
3,"(5, 61)",-1
3,"(5, 62)",-1
3,"(5, 63)",-1
3,"(5, 65)",-1
3,"(5, 66)",-1
3,"(5, 67)",-1
3,"(5, 68)",-1
3,"(5, 69)",-1
3,"(5, 71)",-1
3,"(5, 72)",-1
3,"(5, 75)",-1
3,"(5, 76)",-1
3,"(5, 77)",-1
3,"(5, 78)",-1
3,"(5, 79)",-1
3,"(5, 81)",-1
3,"(5, 84)",-1
3,"(5, 85)",-1
3,"(5, 86)",-1
3,"(5, 87)",-1
3,"(5, 88)",-1
3,"(5, 89)",-1
3,"(5, 90)",-1
3,"(5, 91)",-1
3,"(5, 92)",-1
3,"(5, 93)",-1
3,"(5, 95)",-1
3,"(5, 96)",-1
3,"(5, 97)",-1
3,"(5, 98)",-1
3,"(5, 99)",-1
3,"(6, 0)",-1
3,"(6, 3)",-1
3,"(6, 4)",-1
3,"(6, 5)",-1
3,"(6, 8)",-1
3,"(6, 10)",-1
3,"(6, 11)",-1
3,"(6, 12)",-1
3,"(6, 13)",-1
3,"(6, 14)",-1
3,"(6, 15)",-1
3,"(6, 16)",-1
3,"(6, 17)",-1
3,"(6, 18)",-1
3,"(6, 19)",-1
3,"(6, 20)",-1
3,"(6, 21)",-1
3,"(6, 22)",-1
3,"(6, 24)",-1
3,"(6, 25)",-1
3,"(6, 27)",-1
3,"(6, 28)",-1
3,"(6, 29)",-1
3,"(6, 30)",-1
3,"(6, 31)",-1
3,"(6, 32)",-1
3,"(6, 33)",-1
3,"(6, 34)",-1
3,"(6, 35)",-1
3,"(6, 36)",-1
3,"(6, 38)",-1
3,"(6, 39)",-1
3,"(6, 40)",-1
3,"(6, 41)",-1
3,"(6, 44)",-1
3,"(6, 46)",-1
3,"(6, 48)",-1
3,"(6, 49)",-1
3,"(6, 50)",-1
3,"(6, 52)",-1
3,"(6, 54)",-1
3,"(6, 55)",-1
3,"(6, 57)",-1
3,"(6, 58)",-1
3,"(6, 59)",-1
3,"(6, 60)",-1
3,"(6, 61)",-1
3,"(6, 62)",-1
3,"(6, 63)",-1
3,"(6, 64)",-1
3,"(6, 65)",-1
3,"(6, 66)",-1
3,"(6, 68)",-1
3,"(6, 69)",-1
3,"(6, 70)",-1
3,"(6, 71)",-1
3,"(6, 72)",-1
3,"(6, 73)",-1
3,"(6, 74)",-1
3,"(6, 75)",-1
3,"(6, 76)",-1
3,"(6, 77)",-1
3,"(6, 78)",-1
3,"(6, 80)",-1
3,"(6, 81)",-1
3,"(6, 82)",-1
3,"(6, 83)",-1
3,"(6, 84)",-1
3,"(6, 85)",-1
3,"(6, 86)",-1
3,"(6, 88)",-1
3,"(6, 89)",-1
3,"(6, 91)",-1
3,"(6, 92)",-1
3,"(6, 93)",-1
3,"(6, 94)",-1
3,"(6, 95)",-1
3,"(6, 96)",-1
3,"(6, 97)",-1
3,"(6, 98)",-1
3,"(6, 99)",-1
3,"(7, 0)",-1
3,"(7, 1)",-1
3,"(7, 2)",-1
3,"(7, 4)",-1
3,"(7, 5)",-1
3,"(7, 6)",-1
3,"(7, 7)",-1
3,"(7, 8)",-1
3,"(7, 9)",-1
3,"(7, 10)",-1
3,"(7, 12)",-1
3,"(7, 13)",-1
3,"(7, 14)",-1
3,"(7, 15)",-1
3,"(7, 17)",-1
3,"(7, 18)",-1
3,"(7, 19)",-1
3,"(7, 20)",-1
3,"(7, 21)",-1
3,"(7, 22)",-1
3,"(7, 23)",-1
3,"(7, 24)",-1
3,"(7, 25)",-1
3,"(7, 26)",-1
3,"(7, 27)",-1
3,"(7, 28)",-1
3,"(7, 29)",-1
3,"(7, 31)",-1
3,"(7, 32)",-1
3,"(7, 35)",-1
3,"(7, 36)",-1
3,"(7, 38)",-1
3,"(7, 39)",-1
3,"(7, 40)",-1
3,"(7, 41)",-1
3,"(7, 42)",-1
3,"(7, 45)",-1
3,"(7, 46)",-1
3,"(7, 47)",-1
3,"(7, 48)",-1
3,"(7, 49)",-1
3,"(7, 50)",-1
3,"(7, 51)",-1
3,"(7, 52)",-1
3,"(7, 53)",-1
3,"(7, 54)",-1
3,"(7, 55)",-1
3,"(7, 56)",-1
3,"(7, 57)",-1
3,"(7, 58)",-1
3,"(7, 61)",-1
3,"(7, 62)",-1
3,"(7, 64)",-1
3,"(7, 67)",-1
3,"(7, 68)",-1
3,"(7, 70)",-1
3,"(7, 71)",-1
3,"(7, 72)",-1
3,"(7, 74)",-1
3,"(7, 76)",-1
3,"(7, 77)",-1
3,"(7, 79)",-1
3,"(7, 80)",-1
3,"(7, 81)",-1
3,"(7, 82)",-1
3,"(7, 83)",-1
3,"(7, 84)",-1
3,"(7, 85)",-1
3,"(7, 86)",-1
3,"(7, 87)",-1
3,"(7, 89)",-1
3,"(7, 93)",-1
3,"(7, 94)",-1
3,"(7, 95)",-1
3,"(7, 96)",-1
3,"(7, 97)",-1
3,"(7, 98)",-1
3,"(7, 99)",-1
3,"(8, 1)",-1
3,"(8, 3)",-1
3,"(8, 4)",-1
3,"(8, 5)",-1
3,"(8, 6)",-1
3,"(8, 7)",-1
3,"(8, 8)",-1
3,"(8, 9)",-1
3,"(8, 10)",-1
3,"(8, 11)",-1
3,"(8, 12)",-1
3,"(8, 13)",-1
3,"(8, 15)",-1
3,"(8, 16)",-1
3,"(8, 17)",-1
3,"(8, 19)",-1
3,"(8, 20)",-1
3,"(8, 21)",-1
3,"(8, 22)",-1
3,"(8, 23)",-1
3,"(8, 24)",-1
3,"(8, 25)",-1
3,"(8, 26)",-1
3,"(8, 27)",-1
3,"(8, 29)",-1
3,"(8, 30)",-1
3,"(8, 31)",-1
3,"(8, 32)",-1
3,"(8, 33)",-1
3,"(8, 34)",-1
3,"(8, 35)",-1
3,"(8, 36)",-1
3,"(8, 37)",-1
3,"(8, 39)",-1
3,"(8, 41)",-1
3,"(8, 43)",-1
3,"(8, 44)",-1
3,"(8, 45)",-1
3,"(8, 46)",-1
3,"(8, 50)",-1
3,"(8, 51)",-1
3,"(8, 52)",-1
3,"(8, 53)",-1
3,"(8, 54)",-1
3,"(8, 55)",-1
3,"(8, 56)",-1
3,"(8, 57)",-1
3,"(8, 58)",-1
3,"(8, 59)",-1
3,"(8, 60)",-1
3,"(8, 61)",-1
3,"(8, 63)",-1
3,"(8, 64)",-1
3,"(8, 65)",-1
3,"(8, 67)",-1
3,"(8, 68)",-1
3,"(8, 69)",-1
3,"(8, 70)",-1
3,"(8, 71)",-1
3,"(8, 72)",-1
3,"(8, 73)",-1
3,"(8, 74)",-1
3,"(8, 76)",-1
3,"(8, 77)",-1
3,"(8, 78)",-1
3,"(8, 79)",-1
3,"(8, 80)",-1
3,"(8, 81)",-1
3,"(8, 82)",-1
3,"(8, 84)",-1
3,"(8, 86)",-1
3,"(8, 87)",-1
3,"(8, 88)",-1
3,"(8, 89)",-1
3,"(8, 90)",-1
3,"(8, 92)",-1
3,"(8, 94)",-1
3,"(8, 95)",-1
3,"(8, 96)",-1
3,"(8, 97)",-1
3,"(8, 98)",-1
3,"(8, 99)",-1
3,"(9, 0)",-1
3,"(9, 1)",-1
3,"(9, 2)",-1
3,"(9, 3)",-1
3,"(9, 6)",-1
3,"(9, 7)",-1
3,"(9, 8)",-1
3,"(9, 9)",-1
3,"(9, 10)",-1
3,"(9, 11)",-1
3,"(9, 12)",-1
3,"(9, 14)",-1
3,"(9, 15)",-1
3,"(9, 16)",-1
3,"(9, 17)",-1
3,"(9, 18)",-1
3,"(9, 19)",-1
3,"(9, 20)",-1
3,"(9, 22)",-1
3,"(9, 23)",-1
3,"(9, 24)",-1
3,"(9, 25)",-1
3,"(9, 26)",-1
3,"(9, 29)",-1
3,"(9, 30)",-1
3,"(9, 31)",-1
3,"(9, 32)",-1
3,"(9, 33)",-1
3,"(9, 34)",-1
3,"(9, 36)",-1
3,"(9, 37)",-1
3,"(9, 38)",-1
3,"(9, 39)",-1
3,"(9, 40)",-1
3,"(9, 41)",-1
3,"(9, 42)",-1
3,"(9, 43)",-1
3,"(9, 44)",-1
3,"(9, 45)",-1
3,"(9, 47)",-1
3,"(9, 48)",-1
3,"(9, 50)",-1
3,"(9, 51)",-1
3,"(9, 52)",-1
3,"(9, 53)",-1
3,"(9, 54)",-1
3,"(9, 55)",-1
3,"(9, 57)",-1
3,"(9, 58)",-1
3,"(9, 59)",-1
3,"(9, 63)",-1
3,"(9, 66)",-1
3,"(9, 69)",-1
3,"(9, 71)",-1
3,"(9, 72)",-1
3,"(9, 73)",-1
3,"(9, 75)",-1
3,"(9, 76)",-1
3,"(9, 78)",-1
3,"(9, 79)",-1
3,"(9, 80)",-1
3,"(9, 82)",-1
3,"(9, 83)",-1
3,"(9, 85)",-1
3,"(9, 86)",-1
3,"(9, 87)",-1
3,"(9, 88)",-1
3,"(9, 89)",-1
3,"(9, 90)",-1
3,"(9, 91)",-1
3,"(9, 92)",-1
3,"(9, 93)",-1
3,"(9, 94)",-1
3,"(9, 95)",-1
3,"(9, 96)",-1
3,"(9, 97)",-1
3,"(9, 98)",-1
3,"(9, 99)",-1
3,"(10, 1)",-1
3,"(10, 2)",-1
3,"(10, 3)",-1
3,"(10, 5)",-1
3,"(10, 7)",-1
3,"(10, 8)",-1
3,"(10, 9)",-1
3,"(10, 11)",-1
3,"(10, 12)",-1
3,"(10, 13)",-1
3,"(10, 14)",-1
3,"(10, 15)",-1
3,"(10, 17)",-1
3,"(10, 18)",-1
3,"(10, 20)",-1
3,"(10, 21)",-1
3,"(10, 22)",-1
3,"(10, 23)",-1
3,"(10, 24)",-1
3,"(10, 25)",-1
3,"(10, 27)",-1
3,"(10, 28)",-1
3,"(10, 29)",-1
3,"(10, 30)",-1
3,"(10, 31)",-1
3,"(10, 32)",-1
3,"(10, 34)",-1
3,"(10, 36)",-1
3,"(10, 37)",-1
3,"(10, 38)",-1
3,"(10, 39)",-1
3,"(10, 40)",-1
3,"(10, 41)",-1
3,"(10, 42)",-1
3,"(10, 43)",-1
3,"(10, 45)",-1
3,"(10, 47)",-1
3,"(10, 48)",-1
3,"(10, 49)",-1
3,"(10, 50)",-1
3,"(10, 51)",-1
3,"(10, 54)",-1
3,"(10, 55)",-1
3,"(10, 56)",-1
3,"(10, 57)",-1
3,"(10, 58)",-1
3,"(10, 59)",-1
3,"(10, 60)",-1
3,"(10, 61)",-1
3,"(10, 62)",-1
3,"(10, 63)",-1
3,"(10, 66)",-1
3,"(10, 68)",-1
3,"(10, 69)",-1
3,"(10, 70)",-1
3,"(10, 71)",-1
3,"(10, 72)",-1
3,"(10, 73)",-1
3,"(10, 75)",-1
3,"(10, 76)",-1
3,"(10, 77)",-1
3,"(10, 78)",-1
3,"(10, 79)",-1
3,"(10, 80)",-1
3,"(10, 82)",-1
3,"(10, 85)",-1
3,"(10, 86)",-1
3,"(10, 87)",-1
3,"(10, 88)",-1
3,"(10, 90)",-1
3,"(10, 92)",-1
3,"(10, 93)",-1
3,"(10, 94)",-1
3,"(10, 95)",-1
3,"(10, 96)",-1
3,"(10, 97)",-1
3,"(10, 98)",-1
3,"(10, 99)",-1
3,"(11, 0)",-1
3,"(11, 1)",-1
3,"(11, 2)",-1
3,"(11, 4)",-1
3,"(11, 5)",-1
3,"(11, 6)",-1
3,"(11, 7)",-1
3,"(11, 8)",-1
3,"(11, 9)",-1
3,"(11, 10)",-1
3,"(11, 11)",-1
3,"(11, 12)",-1
3,"(11, 13)",-1
3,"(11, 15)",-1
3,"(11, 16)",-1
3,"(11, 17)",-1
3,"(11, 18)",-1
3,"(11, 19)",-1
3,"(11, 20)",-1
3,"(11, 21)",-1
3,"(11, 22)",-1
3,"(11, 25)",-1
3,"(11, 26)",-1
3,"(11, 27)",-1
3,"(11, 28)",-1
3,"(11, 29)",-1
3,"(11, 30)",-1
3,"(11, 31)",-1
3,"(11, 33)",-1
3,"(11, 34)",-1
3,"(11, 35)",-1
3,"(11, 39)",-1
3,"(11, 40)",-1
3,"(11, 41)",-1
3,"(11, 42)",-1
3,"(11, 43)",-1
3,"(11, 44)",-1
3,"(11, 45)",-1
3,"(11, 46)",-1
3,"(11, 47)",-1
3,"(11, 48)",-1
3,"(11, 49)",-1
3,"(11, 53)",-1
3,"(11, 54)",-1
3,"(11, 55)",-1
3,"(11, 56)",-1
3,"(11, 58)",-1
3,"(11, 59)",-1
3,"(11, 60)",-1
3,"(11, 61)",-1
3,"(11, 62)",-1
3,"(11, 63)",-1
3,"(11, 64)",-1
3,"(11, 65)",-1
3,"(11, 66)",-1
3,"(11, 67)",-1
3,"(11, 68)",-1
3,"(11, 69)",-1
3,"(11, 70)",-1
3,"(11, 72)",-1
3,"(11, 73)",-1
3,"(11, 74)",-1
3,"(11, 75)",-1
3,"(11, 76)",-1
3,"(11, 77)",-1
3,"(11, 79)",-1
3,"(11, 80)",-1
3,"(11, 81)",-1
3,"(11, 82)",-1
3,"(11, 84)",-1
3,"(11, 85)",-1
3,"(11, 86)",-1
3,"(11, 87)",-1
3,"(11, 88)",-1
3,"(11, 90)",-1
3,"(11, 91)",-1
3,"(11, 92)",-1
3,"(11, 93)",-1
3,"(11, 95)",-1
3,"(11, 96)",-1
3,"(11, 98)",-1
3,"(11, 99)",-1
3,"(12, 0)",-1
3,"(12, 4)",-1
3,"(12, 5)",-1
3,"(12, 6)",-1
3,"(12, 7)",-1
3,"(12, 8)",-1
3,"(12, 10)",-1
3,"(12, 12)",-1
3,"(12, 13)",-1
3,"(12, 14)",-1
3,"(12, 15)",-1
3,"(12, 16)",-1
3,"(12, 18)",-1
3,"(12, 20)",-1
3,"(12, 21)",-1
3,"(12, 22)",-1
3,"(12, 23)",-1
3,"(12, 24)",-1
3,"(12, 26)",-1
3,"(12, 27)",-1
3,"(12, 28)",-1
3,"(12, 29)",-1
3,"(12, 30)",-1
3,"(12, 31)",-1
3,"(12, 32)",-1
3,"(12, 33)",-1
3,"(12, 35)",-1
3,"(12, 36)",-1
3,"(12, 37)",-1
3,"(12, 38)",-1
3,"(12, 39)",-1
3,"(12, 40)",-1
3,"(12, 41)",-1
3,"(12, 42)",-1
3,"(12, 43)",-1
3,"(12, 44)",-1
3,"(12, 46)",-1
3,"(12, 47)",-1
3,"(12, 48)",-1
3,"(12, 49)",-1
3,"(12, 50)",-1
3,"(12, 51)",-1
3,"(12, 52)",-1
3,"(12, 54)",-1
3,"(12, 56)",-1
3,"(12, 59)",-1
3,"(12, 60)",-1
3,"(12, 62)",-1
3,"(12, 63)",-1
3,"(12, 64)",-1
3,"(12, 66)",-1
3,"(12, 67)",-1
3,"(12, 69)",-1
3,"(12, 70)",-1
3,"(12, 72)",-1
