Step,AgentID,State
0,"(3, 84)",-1
0,"(3, 85)",-1
0,"(3, 88)",-1
0,"(3, 89)",-1
0,"(3, 90)",-1
0,"(3, 91)",-1
0,"(3, 93)",-1
0,"(3, 94)",-1
0,"(3, 95)",-1
0,"(3, 96)",-1
0,"(3, 97)",-1
0,"(3, 99)",-1
0,"(4, 0)",-1
0,"(4, 1)",-1
0,"(4, 3)",-1
0,"(4, 4)",-1
0,"(4, 5)",-1
0,"(4, 8)",-1
0,"(4, 11)",-1
0,"(4, 13)",-1
0,"(4, 14)",-1
0,"(4, 15)",-1
0,"(4, 16)",-1
0,"(4, 20)",-1
0,"(4, 21)",-1
0,"(4, 23)",-1
0,"(4, 25)",-1
0,"(4, 26)",-1
0,"(4, 28)",-1
0,"(4, 29)",-1
0,"(4, 31)",-1
0,"(4, 32)",-1
0,"(4, 36)",-1
0,"(4, 37)",-1
0,"(4, 38)",-1
0,"(4, 39)",-1
0,"(4, 40)",-1
0,"(4, 41)",-1
0,"(4, 42)",-1
0,"(4, 43)",-1
0,"(4, 44)",-1
0,"(4, 45)",-1
0,"(4, 46)",-1
0,"(4, 48)",-1
0,"(4, 49)",-1
0,"(4, 53)",-1
0,"(4, 54)",-1
0,"(4, 56)",-1
0,"(4, 57)",-1
0,"(4, 58)",-1
0,"(4, 60)",-1
0,"(4, 61)",-1
0,"(4, 63)",-1
0,"(4, 65)",-1
0,"(4, 68)",-1
0,"(4, 70)",-1
0,"(4, 71)",-1
0,"(4, 73)",-1
0,"(4, 74)",-1
0,"(4, 75)",-1
0,"(4, 77)",-1
0,"(4, 78)",-1
0,"(4, 79)",-1
0,"(4, 80)",-1
0,"(4, 81)",-1
0,"(4, 84)",-1
0,"(4, 85)",-1
0,"(4, 87)",-1
0,"(4, 88)",-1
0,"(4, 89)",-1
0,"(4, 90)",-1
0,"(4, 92)",-1
0,"(4, 93)",-1
0,"(4, 95)",-1
0,"(4, 98)",-1
0,"(5, 0)",-1
0,"(5, 1)",-1
0,"(5, 3)",-1
0,"(5, 8)",-1
0,"(5, 10)",-1
0,"(5, 11)",-1
0,"(5, 13)",-1
0,"(5, 14)",-1
0,"(5, 18)",-1
0,"(5, 19)",-1
0,"(5, 21)",-1
0,"(5, 22)",-1
0,"(5, 24)",-1
0,"(5, 25)",-1
0,"(5, 26)",-1
0,"(5, 27)",-1
0,"(5, 28)",-1
0,"(5, 29)",-1
0,"(5, 30)",-1
0,"(5, 32)",-1
0,"(5, 34)",-1
0,"(5, 35)",-1
0,"(5, 38)",-1
0,"(5, 39)",-1
0,"(5, 40)",-1
0,"(5, 41)",-1
0,"(5, 43)",-1
0,"(5, 45)",-1
0,"(5, 49)",-1
0,"(5, 50)",-1
0,"(5, 51)",-1
0,"(5, 52)",-1
0,"(5, 53)",-1
0,"(5, 55)",-1
0,"(5, 56)",-1
0,"(5, 57)",-1
0,"(5, 58)",-1
0,"(5, 59)",-1
0,"(5, 61)",-1
0,"(5, 63)",-1
0,"(5, 64)",-1
0,"(5, 66)",-1
0,"(5, 67)",-1
0,"(5, 70)",-1
0,"(5, 71)",-1
0,"(5, 72)",-1
0,"(5, 73)",-1
0,"(5, 74)",-1
0,"(5, 75)",-1
0,"(5, 76)",-1
0,"(5, 78)",-1
0,"(5, 79)",-1
0,"(5, 82)",-1
0,"(5, 83)",-1
0,"(5, 84)",-1
0,"(5, 85)",-1
0,"(5, 86)",-1
0,"(5, 88)",-1
0,"(5, 89)",-1
0,"(5, 90)",-1
0,"(5, 92)",-1
0,"(5, 95)",-1
0,"(5, 96)",-1
0,"(5, 97)",-1
0,"(5, 98)",-1
0,"(6, 1)",-1
0,"(6, 2)",-1
0,"(6, 3)",-1
0,"(6, 5)",-1
0,"(6, 6)",-1
0,"(6, 7)",-1
0,"(6, 8)",-1
0,"(6, 9)",-1
0,"(6, 12)",-1
0,"(6, 13)",-1
0,"(6, 14)",-1
0,"(6, 15)",-1
0,"(6, 17)",-1
0,"(6, 18)",-1
