,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5473,55,0,12,456.1,0,0
1,100,100,0.55,0.32,5396,44,88,13,415.1,20,4.4
2,100,100,0.55,0.32,5320,47,161,16,332.5,15,10.7
3,100,100,0.55,0.32,5219,54,255,24,217.5,13,19.6
4,100,100,0.55,0.32,5120,58,350,29,176.6,9,38.9
5,100,100,0.55,0.32,5051,49,428,30,168.4,7,61.1
6,100,100,0.55,0.32,4939,65,524,38,130.0,6,87.3
7,100,100,0.55,0.32,4841,58,629,34,142.4,5,125.8
8,100,100,0.55,0.32,4766,41,721,37,128.8,4,180.2
9,100,100,0.55,0.32,4701,37,790,36,130.6,3,263.3
10,100,100,0.55,0.32,4618,46,864,41,112.6,3,288.0
11,100,100,0.55,0.32,4516,57,955,44,102.6,3,318.3
12,100,100,0.55,0.32,4435,47,1046,46,96.4,3,348.7
13,100,100,0.55,0.32,4378,39,1111,47,93.1,3,370.3
14,100,100,0.55,0.32,4310,34,1184,47,91.7,3,394.7
15,100,100,0.55,0.32,4228,50,1250,49,86.3,3,416.7
16,100,100,0.55,0.32,4132,50,1346,50,82.6,3,448.7
17,100,100,0.55,0.32,4049,49,1430,57,71.0,2,715.0
18,100,100,0.55,0.32,3959,58,1511,59,67.1,2,755.5
19,100,100,0.55,0.32,3860,56,1612,60,64.3,2,806.0
20,100,100,0.55,0.32,3781,45,1702,65,58.2,2,851.0
21,100,100,0.55,0.32,3693,53,1782,67,55.1,2,891.0
22,100,100,0.55,0.32,3612,48,1868,66,54.7,2,934.0
23,100,100,0.55,0.32,3535,44,1949,68,52.0,2,974.5
24,100,100,0.55,0.32,3437,48,2043,72,47.7,2,1021.5
25,100,100,0.55,0.32,3308,78,2142,79,41.9,2,1071.0
26,100,100,0.55,0.32,3199,62,2267,81,39.5,2,1133.5
27,100,100,0.55,0.32,3122,39,2367,79,39.5,2,1183.5
28,100,100,0.55,0.32,3071,33,2424,79,38.9,2,1212.0
29,100,100,0.55,0.32,3025,25,2478,79,38.3,2,1239.0
30,100,100,0.55,0.32,2982,21,2525,81,36.8,2,1262.5
31,100,100,0.55,0.32,2939,27,2562,82,35.8,2,1281.0
32,100,100,0.55,0.32,2895,24,2609,81,35.7,2,1304.5
33,100,100,0.55,0.32,2862,20,2646,82,34.9,2,1323.0
34,100,100,0.55,0.32,2824,22,2682,81,34.9,2,1341.0
35,100,100,0.55,0.32,2780,26,2722,82,33.9,2,1361.0
36,100,100,0.55,0.32,2718,37,2773,84,32.4,2,1386.5
37,100,100,0.55,0.32,2634,47,2847,87,30.3,2,1423.5
38,100,100,0.55,0.32,2550,52,2926,92,27.7,2,1463.0
39,100,100,0.55,0.32,2479,41,3008,89,27.9,2,1504.0
40,100,100,0.55,0.32,2413,43,3072,93,25.9,2,1536.0
41,100,100,0.55,0.32,2348,47,3133,90,26.1,2,1566.5
42,100,100,0.55,0.32,2254,55,3219,91,24.8,2,1609.5
43,100,100,0.55,0.32,2195,39,3294,93,23.6,2,1647.0
44,100,100,0.55,0.32,2104,56,3368,96,21.9,2,1684.0
45,100,100,0.55,0.32,1997,65,3466,102,19.6,2,1733.0
46,100,100,0.55,0.32,1894,57,3577,105,18.0,2,1788.5
47,100,100,0.55,0.32,1771,64,3693,108,16.4,2,1846.5
48,100,100,0.55,0.32,1696,46,3786,110,15.4,2,1893.0
49,100,100,0.55,0.32,1590,55,3883,116,13.7,2,1941.5
50,100,100,0.55,0.32,1500,43,3985,118,12.7,2,1992.5
51,100,100,0.55,0.32,1436,35,4057,123,11.7,2,2028.5
52,100,100,0.55,0.32,1351,46,4131,124,10.9,2,2065.5
53,100,100,0.55,0.32,1294,31,4203,123,10.5,2,2101.5
54,100,100,0.55,0.32,1235,32,4261,125,9.9,2,2130.5
55,100,100,0.55,0.32,1178,32,4318,127,9.3,2,2159.0
56,100,100,0.55,0.32,1108,38,4382,131,8.5,2,2191.0
57,100,100,0.55,0.32,1036,40,4452,130,8.0,2,2226.0
58,100,100,0.55,0.32,952,38,4538,138,6.9,2,2269.0
59,100,100,0.55,0.32,877,37,4614,145,6.0,2,2307.0
60,100,100,0.55,0.32,814,32,4682,147,5.5,2,2341.0
61,100,100,0.55,0.32,759,29,4740,144,5.3,2,2370.0
62,100,100,0.55,0.32,739,13,4776,142,5.2,2,2388.0
63,100,100,0.55,0.32,717,8,4803,140,5.1,2,2401.5
64,100,100,0.55,0.32,708,4,4816,139,5.1,2,2408.0
65,100,100,0.55,0.32,703,5,4820,139,5.1,2,2410.0
66,100,100,0.55,0.32,693,6,4829,141,4.9,2,2414.5
67,100,100,0.55,0.32,683,6,4839,141,4.8,2,2419.5
68,100,100,0.55,0.32,670,9,4849,141,4.8,2,2424.5
69,100,100,0.55,0.32,653,8,4867,142,4.6,2,2433.5
70,100,100,0.55,0.32,633,10,4885,145,4.4,2,2442.5
71,100,100,0.55,0.32,618,9,4901,143,4.3,2,2450.5
72,100,100,0.55,0.32,615,1,4912,141,4.4,2,2456.0
73,100,100,0.55,0.32,615,0,4913,141,4.4,2,2456.5
