Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
64,"(0, 0)",100,100,0.55,0.32,0
64,"(0, 2)",100,100,0.55,0.32,0
64,"(0, 6)",100,100,0.55,0.32,0
64,"(0, 7)",100,100,0.55,0.32,0
64,"(0, 8)",100,100,0.55,0.32,0
64,"(0, 9)",100,100,0.55,0.32,0
64,"(0, 10)",100,100,0.55,0.32,0
64,"(0, 11)",100,100,0.55,0.32,0
64,"(0, 12)",100,100,0.55,0.32,0
64,"(0, 13)",100,100,0.55,0.32,0
64,"(0, 17)",100,100,0.55,0.32,0
64,"(0, 19)",100,100,0.55,0.32,0
64,"(0, 20)",100,100,0.55,0.32,0
64,"(0, 22)",100,100,0.55,0.32,0
64,"(0, 23)",100,100,0.55,0.32,0
64,"(0, 25)",100,100,0.55,0.32,0
64,"(0, 26)",100,100,0.55,0.32,0
64,"(0, 27)",100,100,0.55,0.32,0
64,"(0, 28)",100,100,0.55,0.32,0
64,"(0, 30)",100,100,0.55,0.32,0
64,"(0, 31)",100,100,0.55,0.32,0
64,"(0, 32)",100,100,0.55,0.32,0
64,"(0, 33)",100,100,0.55,0.32,0
64,"(0, 36)",100,100,0.55,0.32,0
64,"(0, 37)",100,100,0.55,0.32,0
64,"(0, 38)",100,100,0.55,0.32,0
64,"(0, 39)",100,100,0.55,0.32,0
64,"(0, 41)",100,100,0.55,0.32,0
64,"(0, 43)",100,100,0.55,0.32,0
64,"(0, 47)",100,100,0.55,0.32,0
64,"(0, 48)",100,100,0.55,0.32,0
64,"(0, 49)",100,100,0.55,0.32,0
64,"(0, 52)",100,100,0.55,0.32,0
64,"(0, 53)",100,100,0.55,0.32,0
64,"(0, 54)",100,100,0.55,0.32,0
64,"(0, 55)",100,100,0.55,0.32,0
64,"(0, 59)",100,100,0.55,0.32,0
64,"(0, 68)",100,100,0.55,0.32,0
64,"(0, 69)",100,100,0.55,0.32,0
64,"(0, 70)",100,100,0.55,0.32,0
64,"(0, 72)",100,100,0.55,0.32,0
64,"(0, 73)",100,100,0.55,0.32,0
64,"(0, 76)",100,100,0.55,0.32,0
64,"(0, 77)",100,100,0.55,0.32,0
64,"(0, 78)",100,100,0.55,0.32,0
