,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5451,54,0,21,259.6,0,0
1,100,100,0.55,0.32,5358,58,89,22,243.5,22,4.0
2,100,100,0.55,0.32,5272,47,186,22,239.6,10,18.6
3,100,100,0.55,0.32,5144,60,301,27,190.5,6,50.2
4,100,100,0.55,0.32,5030,63,412,37,135.9,4,103.0
5,100,100,0.55,0.32,4940,58,507,37,133.5,1,507.0
6,100,100,0.55,0.32,4874,36,595,35,139.3,1,595.0
7,100,100,0.55,0.32,4816,44,645,37,130.2,1,645.0
8,100,100,0.55,0.32,4737,48,720,39,121.5,1,720.0
9,100,100,0.55,0.32,4626,62,817,48,96.4,1,817.0
10,100,100,0.55,0.32,4531,51,923,50,90.6,1,923.0
11,100,100,0.55,0.32,4442,49,1014,50,88.8,1,1014.0
12,100,100,0.55,0.32,4372,42,1091,48,91.1,1,1091.0
13,100,100,0.55,0.32,4304,40,1161,49,87.8,1,1161.0
14,100,100,0.55,0.32,4245,34,1226,51,83.2,1,1226.0
15,100,100,0.55,0.32,4187,33,1285,51,82.1,1,1285.0
16,100,100,0.55,0.32,4139,33,1333,52,79.6,1,1333.0
17,100,100,0.55,0.32,4085,32,1388,52,78.6,1,1388.0
18,100,100,0.55,0.32,3978,59,1468,58,68.6,1,1468.0
19,100,100,0.55,0.32,3890,44,1571,61,63.8,1,1571.0
20,100,100,0.55,0.32,3830,41,1634,67,57.2,1,1634.0
21,100,100,0.55,0.32,3772,25,1708,69,54.7,1,1708.0
22,100,100,0.55,0.32,3737,20,1748,69,54.2,1,1748.0
23,100,100,0.55,0.32,3668,34,1803,78,47.0,1,1803.0
24,100,100,0.55,0.32,3620,18,1867,77,47.0,1,1867.0
25,100,100,0.55,0.32,3603,11,1891,75,48.0,1,1891.0
26,100,100,0.55,0.32,3574,14,1917,75,47.7,1,1917.0
27,100,100,0.55,0.32,3561,8,1936,78,45.7,1,1936.0
28,100,100,0.55,0.32,3552,5,1948,76,46.7,1,1948.0
29,100,100,0.55,0.32,3545,5,1955,76,46.6,1,1955.0
30,100,100,0.55,0.32,3537,5,1963,76,46.5,1,1963.0
31,100,100,0.55,0.32,3519,5,1981,78,45.1,1,1981.0
32,100,100,0.55,0.32,3490,12,2003,79,44.2,1,2003.0
33,100,100,0.55,0.32,3474,9,2022,79,44.0,1,2022.0
34,100,100,0.55,0.32,3461,8,2036,80,43.3,1,2036.0
35,100,100,0.55,0.32,3447,7,2051,81,42.6,1,2051.0
36,100,100,0.55,0.32,3427,13,2065,83,41.3,1,2065.0
37,100,100,0.55,0.32,3413,9,2083,83,41.1,1,2083.0
38,100,100,0.55,0.32,3405,6,2094,82,41.5,1,2094.0
39,100,100,0.55,0.32,3397,4,2104,82,41.4,1,2104.0
40,100,100,0.55,0.32,3382,5,2118,82,41.2,1,2118.0
41,100,100,0.55,0.32,3364,11,2130,82,41.0,1,2130.0
42,100,100,0.55,0.32,3342,13,2150,82,40.8,1,2150.0
43,100,100,0.55,0.32,3308,16,2181,87,38.0,1,2181.0
44,100,100,0.55,0.32,3294,6,2205,84,39.2,1,2205.0
45,100,100,0.55,0.32,3284,7,2214,85,38.6,1,2214.0
46,100,100,0.55,0.32,3264,10,2231,86,38.0,1,2231.0
47,100,100,0.55,0.32,3242,10,2253,87,37.3,1,2253.0
48,100,100,0.55,0.32,3227,7,2271,87,37.1,1,2271.0
49,100,100,0.55,0.32,3214,7,2284,87,36.9,1,2284.0
50,100,100,0.55,0.32,3200,6,2299,87,36.8,1,2299.0
51,100,100,0.55,0.32,3184,10,2311,89,35.8,1,2311.0
52,100,100,0.55,0.32,3166,11,2328,91,34.8,1,2328.0
53,100,100,0.55,0.32,3159,4,2342,89,35.5,1,2342.0
54,100,100,0.55,0.32,3159,0,2346,89,35.5,1,2346.0
