Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
94,"(0, 0)",100,100,0.55,0.32,0
94,"(0, 1)",100,100,0.55,0.32,0
94,"(0, 3)",100,100,0.55,0.32,0
94,"(0, 5)",100,100,0.55,0.32,0
94,"(0, 6)",100,100,0.55,0.32,0
94,"(0, 7)",100,100,0.55,0.32,0
94,"(0, 9)",100,100,0.55,0.32,0
94,"(0, 10)",100,100,0.55,0.32,0
94,"(0, 11)",100,100,0.55,0.32,0
94,"(0, 13)",100,100,0.55,0.32,0
94,"(0, 16)",100,100,0.55,0.32,0
94,"(0, 19)",100,100,0.55,0.32,0
94,"(0, 22)",100,100,0.55,0.32,0
94,"(0, 24)",100,100,0.55,0.32,0
94,"(0, 27)",100,100,0.55,0.32,0
94,"(0, 30)",100,100,0.55,0.32,0
94,"(0, 31)",100,100,0.55,0.32,0
94,"(0, 32)",100,100,0.55,0.32,0
94,"(0, 34)",100,100,0.55,0.32,0
94,"(0, 35)",100,100,0.55,0.32,0
94,"(0, 36)",100,100,0.55,0.32,0
94,"(0, 38)",100,100,0.55,0.32,0
94,"(0, 43)",100,100,0.55,0.32,0
94,"(0, 44)",100,100,0.55,0.32,0
94,"(0, 45)",100,100,0.55,0.32,0
94,"(0, 46)",100,100,0.55,0.32,0
94,"(0, 47)",100,100,0.55,0.32,0
94,"(0, 51)",100,100,0.55,0.32,0
94,"(0, 53)",100,100,0.55,0.32,0
94,"(0, 54)",100,100,0.55,0.32,0
94,"(0, 55)",100,100,0.55,0.32,0
94,"(0, 56)",100,100,0.55,0.32,0
94,"(0, 59)",100,100,0.55,0.32,0
94,"(0, 60)",100,100,0.55,0.32,0
94,"(0, 61)",100,100,0.55,0.32,0
94,"(0, 65)",100,100,0.55,0.32,0
94,"(0, 67)",100,100,0.55,0.32,0
94,"(0, 69)",100,100,0.55,0.32,0
94,"(0, 70)",100,100,0.55,0.32,0
94,"(0, 71)",100,100,0.55,0.32,0
94,"(0, 72)",100,100,0.55,0.32,0
94,"(0, 75)",100,100,0.55,0.32,0
94,"(0, 79)",100,100,0.55,0.32,0
94,"(0, 80)",100,100,0.55,0.32,0
94,"(0, 81)",100,100,0.55,0.32,0
94,"(0, 83)",100,100,0.55,0.32,0
94,"(0, 87)",100,100,0.55,0.32,0
94,"(0, 88)",100,100,0.55,0.32,0
94,"(0, 89)",100,100,0.55,0.32,0
94,"(0, 90)",100,100,0.55,0.32,0
94,"(0, 91)",100,100,0.55,0.32,0
94,"(0, 94)",100,100,0.55,0.32,0
94,"(0, 95)",100,100,0.55,0.32,0
94,"(0, 96)",100,100,0.55,0.32,0
94,"(0, 97)",100,100,0.55,0.32,0
94,"(0, 98)",100,100,0.55,0.32,0
94,"(0, 99)",100,100,0.55,0.32,0
94,"(1, 2)",100,100,0.55,0.32,1
94,"(1, 3)",100,100,0.55,0.32,1
94,"(1, 5)",100,100,0.55,0.32,1
94,"(1, 9)",100,100,0.55,0.32,-1
94,"(1, 11)",100,100,0.55,0.32,1
