,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5503,56,0,19,289.6,0,0
1,100,100,0.55,0.32,5407,45,107,22,245.8,16,6.7
2,100,100,0.55,0.32,5341,36,182,23,232.2,11,16.5
3,100,100,0.55,0.32,5285,34,240,26,203.3,9,26.7
4,100,100,0.55,0.32,5231,24,304,28,186.8,9,33.8
5,100,100,0.55,0.32,5199,15,345,28,185.7,8,43.1
6,100,100,0.55,0.32,5165,18,376,30,172.2,8,47.0
7,100,100,0.55,0.32,5137,15,407,30,171.2,8,50.9
8,100,100,0.55,0.32,5105,20,434,31,164.7,8,54.2
9,100,100,0.55,0.32,5070,19,470,36,140.8,8,58.8
10,100,100,0.55,0.32,5032,25,502,35,143.8,8,62.8
11,100,100,0.55,0.32,4965,34,560,37,134.2,8,70.0
12,100,100,0.55,0.32,4902,30,627,38,129.0,8,78.4
13,100,100,0.55,0.32,4860,28,671,38,127.9,8,83.9
14,100,100,0.55,0.32,4807,38,714,43,111.8,8,89.2
15,100,100,0.55,0.32,4731,35,793,45,105.1,8,99.1
16,100,100,0.55,0.32,4653,44,862,45,103.4,7,123.1
17,100,100,0.55,0.32,4600,33,926,43,107.0,7,132.3
18,100,100,0.55,0.32,4538,42,979,46,98.7,7,139.9
19,100,100,0.55,0.32,4460,42,1057,54,82.6,7,151.0
20,100,100,0.55,0.32,4359,57,1143,58,75.2,7,163.3
21,100,100,0.55,0.32,4295,36,1228,55,78.1,7,175.4
22,100,100,0.55,0.32,4247,29,1283,57,74.5,7,183.3
23,100,100,0.55,0.32,4194,29,1336,56,74.9,6,222.7
24,100,100,0.55,0.32,4132,38,1389,62,66.6,6,231.5
25,100,100,0.55,0.32,4086,31,1442,64,63.8,6,240.3
26,100,100,0.55,0.32,4013,37,1509,65,61.7,6,251.5
27,100,100,0.55,0.32,3954,40,1565,67,59.0,6,260.8
28,100,100,0.55,0.32,3883,41,1635,67,58.0,6,272.5
29,100,100,0.55,0.32,3827,30,1702,67,57.1,6,283.7
30,100,100,0.55,0.32,3774,29,1756,70,53.9,6,292.7
31,100,100,0.55,0.32,3733,24,1802,70,53.3,6,300.3
32,100,100,0.55,0.32,3669,39,1851,75,48.9,6,308.5
33,100,100,0.55,0.32,3583,41,1935,78,45.9,6,322.5
34,100,100,0.55,0.32,3526,30,2003,78,45.2,6,333.8
35,100,100,0.55,0.32,3446,47,2066,81,42.5,6,344.3
36,100,100,0.55,0.32,3385,38,2136,80,42.3,6,356.0
37,100,100,0.55,0.32,3340,29,2190,79,42.3,6,365.0
38,100,100,0.55,0.32,3294,27,2238,78,42.2,6,373.0
39,100,100,0.55,0.32,3244,30,2285,81,40.0,6,380.8
40,100,100,0.55,0.32,3201,28,2330,82,39.0,6,388.3
41,100,100,0.55,0.32,3132,36,2391,84,37.3,6,398.5
42,100,100,0.55,0.32,3081,32,2446,83,37.1,6,407.7
43,100,100,0.55,0.32,3024,36,2499,87,34.8,6,416.5
44,100,100,0.55,0.32,2928,58,2573,89,32.9,6,428.8
45,100,100,0.55,0.32,2833,56,2670,93,30.5,6,445.0
46,100,100,0.55,0.32,2734,57,2768,101,27.1,6,461.3
47,100,100,0.55,0.32,2645,52,2862,103,25.7,6,477.0
48,100,100,0.55,0.32,2584,41,2934,104,24.8,6,489.0
49,100,100,0.55,0.32,2514,36,3009,105,23.9,6,501.5
50,100,100,0.55,0.32,2441,41,3077,104,23.5,6,512.8
51,100,100,0.55,0.32,2369,50,3140,112,21.2,6,523.3
52,100,100,0.55,0.32,2271,58,3230,117,19.4,6,538.3
53,100,100,0.55,0.32,2164,58,3337,119,18.2,6,556.2
54,100,100,0.55,0.32,2079,57,3423,114,18.2,6,570.5
55,100,100,0.55,0.32,1990,56,3513,120,16.6,6,585.5
56,100,100,0.55,0.32,1840,79,3640,126,14.6,6,606.7
57,100,100,0.55,0.32,1704,72,3783,124,13.7,6,630.5
58,100,100,0.55,0.32,1584,67,3908,128,12.4,6,651.3
59,100,100,0.55,0.32,1478,52,4029,132,11.2,6,671.5
60,100,100,0.55,0.32,1373,59,4127,135,10.2,6,687.8
61,100,100,0.55,0.32,1289,44,4226,136,9.5,6,704.3
62,100,100,0.55,0.32,1217,42,4300,145,8.4,6,716.7
63,100,100,0.55,0.32,1143,39,4377,150,7.6,6,729.5
64,100,100,0.55,0.32,1058,48,4453,151,7.0,6,742.2
65,100,100,0.55,0.32,1004,29,4526,146,6.9,6,754.3
66,100,100,0.55,0.32,954,31,4574,149,6.4,6,762.3
67,100,100,0.55,0.32,902,34,4623,154,5.9,6,770.5
68,100,100,0.55,0.32,818,45,4696,158,5.2,6,782.7
69,100,100,0.55,0.32,733,41,4785,163,4.5,6,797.5
70,100,100,0.55,0.32,643,45,4871,165,3.9,6,811.8
71,100,100,0.55,0.32,579,31,4949,164,3.5,6,824.8
72,100,100,0.55,0.32,549,17,4993,162,3.4,6,832.2
73,100,100,0.55,0.32,529,13,5017,165,3.2,6,836.2
74,100,100,0.55,0.32,515,8,5036,162,3.2,6,839.3
75,100,100,0.55,0.32,508,6,5045,161,3.2,6,840.8
76,100,100,0.55,0.32,506,1,5052,160,3.2,6,842.0
77,100,100,0.55,0.32,506,0,5053,160,3.2,6,842.2
