Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
71,"(0, 0)",100,100,0.55,0.32,0
71,"(0, 1)",100,100,0.55,0.32,0
71,"(0, 2)",100,100,0.55,0.32,0
71,"(0, 4)",100,100,0.55,0.32,0
71,"(0, 5)",100,100,0.55,0.32,0
71,"(0, 6)",100,100,0.55,0.32,0
71,"(0, 7)",100,100,0.55,0.32,0
71,"(0, 8)",100,100,0.55,0.32,0
71,"(0, 11)",100,100,0.55,0.32,0
71,"(0, 15)",100,100,0.55,0.32,0
71,"(0, 16)",100,100,0.55,0.32,0
71,"(0, 17)",100,100,0.55,0.32,0
71,"(0, 19)",100,100,0.55,0.32,0
71,"(0, 20)",100,100,0.55,0.32,0
71,"(0, 21)",100,100,0.55,0.32,0
71,"(0, 22)",100,100,0.55,0.32,0
71,"(0, 28)",100,100,0.55,0.32,0
71,"(0, 29)",100,100,0.55,0.32,0
71,"(0, 30)",100,100,0.55,0.32,0
71,"(0, 31)",100,100,0.55,0.32,0
71,"(0, 33)",100,100,0.55,0.32,0
71,"(0, 34)",100,100,0.55,0.32,0
71,"(0, 35)",100,100,0.55,0.32,0
71,"(0, 36)",100,100,0.55,0.32,0
71,"(0, 38)",100,100,0.55,0.32,0
71,"(0, 39)",100,100,0.55,0.32,0
71,"(0, 40)",100,100,0.55,0.32,0
71,"(0, 43)",100,100,0.55,0.32,0
71,"(0, 44)",100,100,0.55,0.32,0
71,"(0, 51)",100,100,0.55,0.32,0
71,"(0, 53)",100,100,0.55,0.32,0
71,"(0, 54)",100,100,0.55,0.32,0
71,"(0, 56)",100,100,0.55,0.32,0
71,"(0, 60)",100,100,0.55,0.32,0
71,"(0, 62)",100,100,0.55,0.32,0
71,"(0, 65)",100,100,0.55,0.32,0
71,"(0, 66)",100,100,0.55,0.32,0
71,"(0, 67)",100,100,0.55,0.32,0
71,"(0, 68)",100,100,0.55,0.32,0
71,"(0, 70)",100,100,0.55,0.32,0
71,"(0, 72)",100,100,0.55,0.32,0
71,"(0, 74)",100,100,0.55,0.32,0
71,"(0, 75)",100,100,0.55,0.32,0
71,"(0, 77)",100,100,0.55,0.32,0
71,"(0, 79)",100,100,0.55,0.32,0
71,"(0, 80)",100,100,0.55,0.32,0
71,"(0, 83)",100,100,0.55,0.32,0
71,"(0, 86)",100,100,0.55,0.32,0
71,"(0, 88)",100,100,0.55,0.32,0
71,"(0, 91)",100,100,0.55,0.32,0
71,"(0, 93)",100,100,0.55,0.32,0
71,"(0, 94)",100,100,0.55,0.32,0
71,"(0, 95)",100,100,0.55,0.32,0
71,"(0, 96)",100,100,0.55,0.32,0
71,"(0, 97)",100,100,0.55,0.32,0
71,"(0, 98)",100,100,0.55,0.32,0
71,"(0, 99)",100,100,0.55,0.32,0
71,"(1, 0)",100,100,0.55,0.32,1
71,"(1, 1)",100,100,0.55,0.32,1
71,"(1, 3)",100,100,0.55,0.32,1
71,"(1, 4)",100,100,0.55,0.32,1
71,"(1, 5)",100,100,0.55,0.32,1
71,"(1, 8)",100,100,0.55,0.32,1
71,"(1, 9)",100,100,0.55,0.32,1
71,"(1, 10)",100,100,0.55,0.32,2
71,"(1, 12)",100,100,0.55,0.32,1
71,"(1, 13)",100,100,0.55,0.32,2
71,"(1, 14)",100,100,0.55,0.32,2
71,"(1, 16)",100,100,0.55,0.32,1
71,"(1, 17)",100,100,0.55,0.32,2
71,"(1, 20)",100,100,0.55,0.32,1
71,"(1, 21)",100,100,0.55,0.32,1
71,"(1, 22)",100,100,0.55,0.32,1
71,"(1, 23)",100,100,0.55,0.32,1
71,"(1, 25)",100,100,0.55,0.32,-1
71,"(1, 27)",100,100,0.55,0.32,-1
71,"(1, 29)",100,100,0.55,0.32,1
71,"(1, 31)",100,100,0.55,0.32,1
71,"(1, 33)",100,100,0.55,0.32,1
71,"(1, 38)",100,100,0.55,0.32,1
71,"(1, 39)",100,100,0.55,0.32,1
71,"(1, 41)",100,100,0.55,0.32,3
71,"(1, 43)",100,100,0.55,0.32,1
71,"(1, 44)",100,100,0.55,0.32,1
71,"(1, 45)",100,100,0.55,0.32,1
71,"(1, 46)",100,100,0.55,0.32,-1
71,"(1, 48)",100,100,0.55,0.32,3
71,"(1, 49)",100,100,0.55,0.32,2
71,"(1, 50)",100,100,0.55,0.32,1
71,"(1, 51)",100,100,0.55,0.32,1
71,"(1, 52)",100,100,0.55,0.32,1
71,"(1, 56)",100,100,0.55,0.32,4
71,"(1, 58)",100,100,0.55,0.32,-1
71,"(1, 60)",100,100,0.55,0.32,1
71,"(1, 61)",100,100,0.55,0.32,1
71,"(1, 62)",100,100,0.55,0.32,1
71,"(1, 64)",100,100,0.55,0.32,2
71,"(1, 65)",100,100,0.55,0.32,1
71,"(1, 69)",100,100,0.55,0.32,1
71,"(1, 70)",100,100,0.55,0.32,1
71,"(1, 72)",100,100,0.55,0.32,2
71,"(1, 73)",100,100,0.55,0.32,1
71,"(1, 75)",100,100,0.55,0.32,1
71,"(1, 76)",100,100,0.55,0.32,1
71,"(1, 77)",100,100,0.55,0.32,1
71,"(1, 79)",100,100,0.55,0.32,-1
71,"(1, 81)",100,100,0.55,0.32,1
71,"(1, 83)",100,100,0.55,0.32,1
71,"(1, 84)",100,100,0.55,0.32,1
71,"(1, 86)",100,100,0.55,0.32,1
71,"(1, 87)",100,100,0.55,0.32,1
71,"(1, 88)",100,100,0.55,0.32,1
71,"(1, 89)",100,100,0.55,0.32,1
71,"(1, 91)",100,100,0.55,0.32,2
71,"(1, 92)",100,100,0.55,0.32,1
71,"(1, 93)",100,100,0.55,0.32,1
71,"(1, 94)",100,100,0.55,0.32,1
71,"(1, 96)",100,100,0.55,0.32,1
71,"(2, 1)",100,100,0.55,0.32,1
71,"(2, 2)",100,100,0.55,0.32,1
71,"(2, 5)",100,100,0.55,0.32,1
71,"(2, 8)",100,100,0.55,0.32,2
71,"(2, 10)",100,100,0.55,0.32,2
71,"(2, 11)",100,100,0.55,0.32,1
71,"(2, 13)",100,100,0.55,0.32,1
71,"(2, 17)",100,100,0.55,0.32,1
71,"(2, 18)",100,100,0.55,0.32,1
71,"(2, 19)",100,100,0.55,0.32,1
71,"(2, 21)",100,100,0.55,0.32,1
71,"(2, 24)",100,100,0.55,0.32,-1
71,"(2, 27)",100,100,0.55,0.32,3
71,"(2, 28)",100,100,0.55,0.32,3
71,"(2, 30)",100,100,0.55,0.32,2
71,"(2, 31)",100,100,0.55,0.32,2
71,"(2, 32)",100,100,0.55,0.32,2
71,"(2, 34)",100,100,0.55,0.32,1
71,"(2, 35)",100,100,0.55,0.32,2
71,"(2, 37)",100,100,0.55,0.32,1
71,"(2, 39)",100,100,0.55,0.32,1
71,"(2, 41)",100,100,0.55,0.32,3
71,"(2, 42)",100,100,0.55,0.32,2
71,"(2, 43)",100,100,0.55,0.32,1
71,"(2, 44)",100,100,0.55,0.32,1
71,"(2, 46)",100,100,0.55,0.32,-1
71,"(2, 48)",100,100,0.55,0.32,2
71,"(2, 51)",100,100,0.55,0.32,1
71,"(2, 52)",100,100,0.55,0.32,1
71,"(2, 53)",100,100,0.55,0.32,1
71,"(2, 54)",100,100,0.55,0.32,1
71,"(2, 55)",100,100,0.55,0.32,3
71,"(2, 56)",100,100,0.55,0.32,3
71,"(2, 60)",100,100,0.55,0.32,1
71,"(2, 61)",100,100,0.55,0.32,1
71,"(2, 62)",100,100,0.55,0.32,1
71,"(2, 63)",100,100,0.55,0.32,1
71,"(2, 66)",100,100,0.55,0.32,2
71,"(2, 67)",100,100,0.55,0.32,2
71,"(2, 68)",100,100,0.55,0.32,1
71,"(2, 70)",100,100,0.55,0.32,1
71,"(2, 71)",100,100,0.55,0.32,2
71,"(2, 74)",100,100,0.55,0.32,2
71,"(2, 76)",100,100,0.55,0.32,1
71,"(2, 81)",100,100,0.55,0.32,3
71,"(2, 82)",100,100,0.55,0.32,1
71,"(2, 85)",100,100,0.55,0.32,1
71,"(2, 87)",100,100,0.55,0.32,1
71,"(2, 88)",100,100,0.55,0.32,1
71,"(2, 89)",100,100,0.55,0.32,1
71,"(2, 90)",100,100,0.55,0.32,-1
71,"(2, 93)",100,100,0.55,0.32,1
71,"(2, 95)",100,100,0.55,0.32,1
71,"(2, 96)",100,100,0.55,0.32,1
71,"(2, 98)",100,100,0.55,0.32,3
71,"(2, 99)",100,100,0.55,0.32,3
71,"(3, 0)",100,100,0.55,0.32,2
71,"(3, 1)",100,100,0.55,0.32,1
71,"(3, 6)",100,100,0.55,0.32,3
71,"(3, 10)",100,100,0.55,0.32,2
71,"(3, 11)",100,100,0.55,0.32,2
71,"(3, 12)",100,100,0.55,0.32,2
71,"(3, 15)",100,100,0.55,0.32,4
71,"(3, 21)",100,100,0.55,0.32,1
71,"(3, 22)",100,100,0.55,0.32,1
71,"(3, 26)",100,100,0.55,0.32,4
71,"(3, 28)",100,100,0.55,0.32,3
71,"(3, 29)",100,100,0.55,0.32,2
71,"(3, 31)",100,100,0.55,0.32,2
71,"(3, 32)",100,100,0.55,0.32,2
71,"(3, 33)",100,100,0.55,0.32,3
71,"(3, 34)",100,100,0.55,0.32,2
71,"(3, 37)",100,100,0.55,0.32,2
71,"(3, 38)",100,100,0.55,0.32,3
71,"(3, 41)",100,100,0.55,0.32,3
71,"(3, 42)",100,100,0.55,0.32,2
71,"(3, 43)",100,100,0.55,0.32,1
71,"(3, 44)",100,100,0.55,0.32,1
71,"(3, 45)",100,100,0.55,0.32,1
71,"(3, 46)",100,100,0.55,0.32,-1
71,"(3, 48)",100,100,0.55,0.32,3
71,"(3, 49)",100,100,0.55,0.32,2
71,"(3, 50)",100,100,0.55,0.32,1
71,"(3, 51)",100,100,0.55,0.32,1
71,"(3, 52)",100,100,0.55,0.32,1
71,"(3, 53)",100,100,0.55,0.32,1
71,"(3, 55)",100,100,0.55,0.32,3
71,"(3, 56)",100,100,0.55,0.32,3
71,"(3, 57)",100,100,0.55,0.32,3
71,"(3, 58)",100,100,0.55,0.32,3
71,"(3, 63)",100,100,0.55,0.32,2
71,"(3, 64)",100,100,0.55,0.32,3
71,"(3, 65)",100,100,0.55,0.32,2
71,"(3, 66)",100,100,0.55,0.32,2
71,"(3, 67)",100,100,0.55,0.32,2
71,"(3, 68)",100,100,0.55,0.32,2
71,"(3, 69)",100,100,0.55,0.32,1
71,"(3, 72)",100,100,0.55,0.32,3
71,"(3, 73)",100,100,0.55,0.32,3
71,"(3, 74)",100,100,0.55,0.32,3
71,"(3, 75)",100,100,0.55,0.32,2
71,"(3, 77)",100,100,0.55,0.32,2
71,"(3, 78)",100,100,0.55,0.32,4
71,"(3, 79)",100,100,0.55,0.32,4
71,"(3, 80)",100,100,0.55,0.32,4
71,"(3, 82)",100,100,0.55,0.32,2
71,"(3, 83)",100,100,0.55,0.32,2
71,"(3, 84)",100,100,0.55,0.32,2
71,"(3, 86)",100,100,0.55,0.32,2
71,"(3, 87)",100,100,0.55,0.32,1
71,"(3, 93)",100,100,0.55,0.32,2
71,"(3, 94)",100,100,0.55,0.32,2
71,"(3, 95)",100,100,0.55,0.32,2
71,"(3, 96)",100,100,0.55,0.32,2
71,"(3, 97)",100,100,0.55,0.32,2
71,"(4, 0)",100,100,0.55,0.32,2
71,"(4, 1)",100,100,0.55,0.32,2
71,"(4, 3)",100,100,0.55,0.32,4
71,"(4, 7)",100,100,0.55,0.32,3
71,"(4, 8)",100,100,0.55,0.32,3
71,"(4, 9)",100,100,0.55,0.32,2
71,"(4, 10)",100,100,0.55,0.32,2
71,"(4, 11)",100,100,0.55,0.32,3
71,"(4, 13)",100,100,0.55,0.32,3
71,"(4, 15)",100,100,0.55,0.32,4
71,"(4, 16)",100,100,0.55,0.32,4
71,"(4, 17)",100,100,0.55,0.32,3
71,"(4, 18)",100,100,0.55,0.32,3
71,"(4, 19)",100,100,0.55,0.32,2
71,"(4, 20)",100,100,0.55,0.32,1
71,"(4, 22)",100,100,0.55,0.32,1
71,"(4, 24)",100,100,0.55,0.32,6
71,"(4, 26)",100,100,0.55,0.32,4
71,"(4, 27)",100,100,0.55,0.32,3
71,"(4, 29)",100,100,0.55,0.32,3
71,"(4, 30)",100,100,0.55,0.32,3
71,"(4, 31)",100,100,0.55,0.32,3
71,"(4, 32)",100,100,0.55,0.32,3
71,"(4, 34)",100,100,0.55,0.32,2
71,"(4, 35)",100,100,0.55,0.32,2
71,"(4, 37)",100,100,0.55,0.32,3
71,"(4, 39)",100,100,0.55,0.32,5
71,"(4, 40)",100,100,0.55,0.32,4
71,"(4, 41)",100,100,0.55,0.32,3
