,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5522,61,0,24,230.1,0,0
1,100,100,0.55,0.32,5407,59,117,23,235.1,15,7.8
2,100,100,0.55,0.32,5314,56,213,25,212.6,8,26.6
3,100,100,0.55,0.32,5204,62,317,30,173.5,6,52.8
4,100,100,0.55,0.32,5071,69,443,33,153.7,3,147.7
5,100,100,0.55,0.32,4997,41,545,34,147.0,2,272.5
6,100,100,0.55,0.32,4911,46,626,38,129.2,1,626.0
7,100,100,0.55,0.32,4836,42,705,37,130.7,1,705.0
8,100,100,0.55,0.32,4761,37,785,39,122.1,1,785.0
9,100,100,0.55,0.32,4693,40,850,36,130.4,1,850.0
10,100,100,0.55,0.32,4619,42,922,40,115.5,1,922.0
11,100,100,0.55,0.32,4535,51,997,46,98.6,1,997.0
12,100,100,0.55,0.32,4444,44,1095,52,85.5,1,1095.0
13,100,100,0.55,0.32,4334,67,1182,49,88.4,1,1182.0
14,100,100,0.55,0.32,4223,63,1297,53,79.7,1,1297.0
15,100,100,0.55,0.32,4114,61,1408,58,70.9,1,1408.0
16,100,100,0.55,0.32,4003,55,1525,57,70.2,1,1525.0
17,100,100,0.55,0.32,3939,38,1606,59,66.8,1,1606.0
18,100,100,0.55,0.32,3870,36,1677,63,61.4,1,1677.0
19,100,100,0.55,0.32,3795,40,1748,63,60.2,1,1748.0
20,100,100,0.55,0.32,3726,39,1818,69,54.0,1,1818.0
21,100,100,0.55,0.32,3649,44,1890,70,52.1,1,1890.0
22,100,100,0.55,0.32,3559,51,1973,73,48.8,1,1973.0
23,100,100,0.55,0.32,3496,40,2047,78,44.8,1,2047.0
24,100,100,0.55,0.32,3426,36,2121,74,46.3,1,2121.0
25,100,100,0.55,0.32,3380,22,2181,72,46.9,1,2181.0
26,100,100,0.55,0.32,3331,29,2223,77,43.3,1,2223.0
27,100,100,0.55,0.32,3274,36,2273,75,43.7,1,2273.0
