,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5505,55,0,16,344.1,0,0
1,100,100,0.55,0.32,5437,41,82,18,302.1,21,3.9
2,100,100,0.55,0.32,5364,46,150,19,282.3,15,10.0
3,100,100,0.55,0.32,5293,37,230,21,252.0,12,19.2
4,100,100,0.55,0.32,5242,30,288,20,262.1,9,32.0
5,100,100,0.55,0.32,5202,24,334,20,260.1,7,47.7
6,100,100,0.55,0.32,5164,18,378,20,258.2,6,63.0
7,100,100,0.55,0.32,5099,37,424,23,221.7,6,70.7
8,100,100,0.55,0.32,5026,39,495,27,186.1,6,82.5
9,100,100,0.55,0.32,4969,33,558,29,171.3,5,111.6
10,100,100,0.55,0.32,4896,34,630,31,157.9,5,126.0
11,100,100,0.55,0.32,4817,53,690,38,126.8,5,138.0
12,100,100,0.55,0.32,4723,50,787,42,112.5,5,157.4
13,100,100,0.55,0.32,4624,50,886,41,112.8,5,177.2
14,100,100,0.55,0.32,4530,48,982,44,103.0,4,245.5
15,100,100,0.55,0.32,4424,59,1077,46,96.2,4,269.2
16,100,100,0.55,0.32,4292,77,1191,49,87.6,4,297.8
17,100,100,0.55,0.32,4187,67,1306,52,80.5,3,435.3
18,100,100,0.55,0.32,4029,83,1448,62,65.0,3,482.7
19,100,100,0.55,0.32,3894,75,1591,66,59.0,3,530.3
20,100,100,0.55,0.32,3748,82,1730,63,59.5,2,865.0
21,100,100,0.55,0.32,3634,62,1864,64,56.8,2,932.0
22,100,100,0.55,0.32,3548,49,1963,65,54.6,2,981.5
23,100,100,0.55,0.32,3481,39,2040,66,52.7,2,1020.0
24,100,100,0.55,0.32,3417,28,2115,66,51.8,2,1057.5
25,100,100,0.55,0.32,3330,52,2178,77,43.2,2,1089.0
26,100,100,0.55,0.32,3180,94,2286,84,37.9,2,1143.0
27,100,100,0.55,0.32,3043,70,2447,86,35.4,2,1223.5
28,100,100,0.55,0.32,2952,51,2557,85,34.7,2,1278.5
29,100,100,0.55,0.32,2864,48,2648,87,32.9,2,1324.0
30,100,100,0.55,0.32,2778,50,2732,86,32.3,2,1366.0
31,100,100,0.55,0.32,2694,45,2821,89,30.3,2,1410.5
32,100,100,0.55,0.32,2584,61,2915,97,26.6,2,1457.5
33,100,100,0.55,0.32,2474,57,3029,98,25.2,2,1514.5
34,100,100,0.55,0.32,2392,45,3123,97,24.7,2,1561.5
35,100,100,0.55,0.32,2326,45,3189,100,23.3,2,1594.5
36,100,100,0.55,0.32,2234,60,3266,103,21.7,2,1633.0
37,100,100,0.55,0.32,2127,67,3366,107,19.9,2,1683.0
38,100,100,0.55,0.32,2020,59,3481,111,18.2,2,1740.5
39,100,100,0.55,0.32,1891,73,3596,120,15.8,2,1798.0
40,100,100,0.55,0.32,1762,75,3723,129,13.7,2,1861.5
41,100,100,0.55,0.32,1645,67,3848,128,12.9,2,1924.0
42,100,100,0.55,0.32,1557,49,3954,131,11.9,2,1977.0
43,100,100,0.55,0.32,1454,59,4047,134,10.9,2,2023.5
44,100,100,0.55,0.32,1351,56,4153,133,10.2,2,2076.5
45,100,100,0.55,0.32,1250,62,4248,141,8.9,2,2124.0
46,100,100,0.55,0.32,1147,54,4359,143,8.0,2,2179.5
47,100,100,0.55,0.32,1088,38,4434,143,7.6,2,2217.0
48,100,100,0.55,0.32,1007,36,4517,149,6.8,2,2258.5
49,100,100,0.55,0.32,952,32,4576,149,6.4,2,2288.0
50,100,100,0.55,0.32,893,36,4631,151,5.9,2,2315.5
51,100,100,0.55,0.32,833,34,4693,153,5.4,2,2346.5
52,100,100,0.55,0.32,797,19,4744,151,5.3,2,2372.0
53,100,100,0.55,0.32,777,14,4769,154,5.0,2,2384.5
54,100,100,0.55,0.32,760,9,4791,152,5.0,2,2395.5
55,100,100,0.55,0.32,753,4,4803,152,5.0,2,2401.5
56,100,100,0.55,0.32,746,5,4809,151,4.9,2,2404.5
57,100,100,0.55,0.32,745,1,4814,151,4.9,2,2407.0
58,100,100,0.55,0.32,745,0,4815,151,4.9,2,2407.5
