,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5498,62,0,21,261.8,0,0
1,100,100,0.55,0.32,5411,49,100,22,246.0,16,6.2
2,100,100,0.55,0.32,5321,44,195,26,204.7,8,24.4
3,100,100,0.55,0.32,5232,45,283,28,186.9,6,47.2
4,100,100,0.55,0.32,5165,32,363,31,166.6,5,72.6
5,100,100,0.55,0.32,5118,23,419,31,165.1,5,83.8
6,100,100,0.55,0.32,5073,25,462,33,153.7,4,115.5
7,100,100,0.55,0.32,5030,23,507,37,135.9,4,126.8
8,100,100,0.55,0.32,5000,14,546,37,135.1,4,136.5
9,100,100,0.55,0.32,4953,23,584,37,133.9,4,146.0
10,100,100,0.55,0.32,4904,30,626,40,122.6,4,156.5
11,100,100,0.55,0.32,4832,36,692,39,123.9,4,173.0
12,100,100,0.55,0.32,4763,39,758,45,105.8,4,189.5
13,100,100,0.55,0.32,4704,32,824,48,98.0,4,206.0
14,100,100,0.55,0.32,4634,45,881,49,94.6,4,220.2
15,100,100,0.55,0.32,4568,34,958,52,87.8,4,239.5
16,100,100,0.55,0.32,4505,38,1017,53,85.0,4,254.2
17,100,100,0.55,0.32,4427,45,1088,55,80.5,4,272.0
18,100,100,0.55,0.32,4355,38,1167,56,77.8,4,291.8
19,100,100,0.55,0.32,4290,41,1229,61,70.3,4,307.2
20,100,100,0.55,0.32,4203,54,1303,63,66.7,4,325.8
21,100,100,0.55,0.32,4090,62,1408,69,59.3,4,352.0
22,100,100,0.55,0.32,4002,45,1513,72,55.6,4,378.2
23,100,100,0.55,0.32,3935,35,1590,73,53.9,4,397.5
24,100,100,0.55,0.32,3880,27,1653,77,50.4,4,413.2
25,100,100,0.55,0.32,3831,28,1701,80,47.9,4,425.2
26,100,100,0.55,0.32,3767,38,1755,82,45.9,4,438.8
27,100,100,0.55,0.32,3659,59,1842,90,40.7,4,460.5
28,100,100,0.55,0.32,3590,46,1924,94,38.2,4,481.0
29,100,100,0.55,0.32,3508,52,2000,101,34.7,4,500.0
30,100,100,0.55,0.32,3436,42,2082,94,36.6,4,520.5
31,100,100,0.55,0.32,3377,29,2154,94,35.9,4,538.5
32,100,100,0.55,0.32,3330,27,2203,93,35.8,4,550.8
33,100,100,0.55,0.32,3275,36,2249,92,35.6,4,562.2
34,100,100,0.55,0.32,3205,43,2312,97,33.0,4,578.0
35,100,100,0.55,0.32,3110,48,2402,105,29.6,4,600.5
36,100,100,0.55,0.32,3031,46,2483,107,28.3,4,620.8
37,100,100,0.55,0.32,2944,57,2559,104,28.3,4,639.8
38,100,100,0.55,0.32,2820,66,2674,115,24.5,4,668.5
39,100,100,0.55,0.32,2725,52,2783,116,23.5,4,695.8
40,100,100,0.55,0.32,2644,40,2876,114,23.2,4,719.0
41,100,100,0.55,0.32,2580,40,2940,117,22.1,4,735.0
42,100,100,0.55,0.32,2500,44,3016,124,20.2,4,754.0
43,100,100,0.55,0.32,2412,44,3104,122,19.8,4,776.0
44,100,100,0.55,0.32,2340,40,3180,125,18.7,4,795.0
45,100,100,0.55,0.32,2237,57,3266,126,17.8,4,816.5
46,100,100,0.55,0.32,2163,37,3360,131,16.5,4,840.0
47,100,100,0.55,0.32,2087,49,3424,134,15.6,4,856.0
48,100,100,0.55,0.32,1986,58,3516,135,14.7,4,879.0
49,100,100,0.55,0.32,1882,64,3614,143,13.2,4,903.5
50,100,100,0.55,0.32,1756,69,3735,149,11.8,4,933.8
51,100,100,0.55,0.32,1651,60,3849,153,10.8,4,962.2
52,100,100,0.55,0.32,1559,41,3960,146,10.7,4,990.0
53,100,100,0.55,0.32,1497,38,4025,149,10.0,4,1006.2
54,100,100,0.55,0.32,1420,37,4103,154,9.2,4,1025.8
55,100,100,0.55,0.32,1367,35,4158,154,8.9,4,1039.5
56,100,100,0.55,0.32,1317,31,4212,161,8.2,4,1053.0
57,100,100,0.55,0.32,1244,41,4275,162,7.7,4,1068.8
58,100,100,0.55,0.32,1163,42,4355,166,7.0,4,1088.8
59,100,100,0.55,0.32,1070,51,4439,170,6.3,4,1109.8
60,100,100,0.55,0.32,1005,35,4520,172,5.8,4,1130.0
61,100,100,0.55,0.32,938,34,4588,173,5.4,4,1147.0
62,100,100,0.55,0.32,883,30,4647,173,5.1,4,1161.8
63,100,100,0.55,0.32,857,17,4686,175,4.9,4,1171.5
64,100,100,0.55,0.32,834,16,4710,174,4.8,4,1177.5
65,100,100,0.55,0.32,815,10,4735,175,4.7,4,1183.8
66,100,100,0.55,0.32,797,12,4751,176,4.5,4,1187.8
67,100,100,0.55,0.32,788,5,4767,174,4.5,4,1191.8
68,100,100,0.55,0.32,786,2,4772,174,4.5,4,1193.0
69,100,100,0.55,0.32,785,1,4774,174,4.5,4,1193.5
70,100,100,0.55,0.32,783,1,4776,174,4.5,4,1194.0
71,100,100,0.55,0.32,783,0,4777,174,4.5,4,1194.2
