Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
109,"(0, 0)",100,100,0.55,0.32,0
109,"(0, 2)",100,100,0.55,0.32,0
109,"(0, 5)",100,100,0.55,0.32,0
109,"(0, 7)",100,100,0.55,0.32,0
109,"(0, 8)",100,100,0.55,0.32,0
109,"(0, 9)",100,100,0.55,0.32,0
109,"(0, 12)",100,100,0.55,0.32,0
109,"(0, 13)",100,100,0.55,0.32,0
109,"(0, 14)",100,100,0.55,0.32,0
109,"(0, 15)",100,100,0.55,0.32,0
109,"(0, 18)",100,100,0.55,0.32,0
109,"(0, 19)",100,100,0.55,0.32,0
109,"(0, 21)",100,100,0.55,0.32,0
109,"(0, 23)",100,100,0.55,0.32,0
109,"(0, 26)",100,100,0.55,0.32,0
109,"(0, 27)",100,100,0.55,0.32,0
109,"(0, 29)",100,100,0.55,0.32,0
109,"(0, 30)",100,100,0.55,0.32,0
109,"(0, 31)",100,100,0.55,0.32,0
109,"(0, 32)",100,100,0.55,0.32,0
109,"(0, 34)",100,100,0.55,0.32,0
109,"(0, 35)",100,100,0.55,0.32,0
109,"(0, 37)",100,100,0.55,0.32,0
109,"(0, 39)",100,100,0.55,0.32,0
109,"(0, 40)",100,100,0.55,0.32,0
109,"(0, 41)",100,100,0.55,0.32,0
109,"(0, 44)",100,100,0.55,0.32,0
109,"(0, 47)",100,100,0.55,0.32,0
109,"(0, 48)",100,100,0.55,0.32,0
109,"(0, 49)",100,100,0.55,0.32,0
109,"(0, 50)",100,100,0.55,0.32,0
109,"(0, 51)",100,100,0.55,0.32,0
109,"(0, 53)",100,100,0.55,0.32,0
109,"(0, 54)",100,100,0.55,0.32,0
109,"(0, 55)",100,100,0.55,0.32,0
109,"(0, 59)",100,100,0.55,0.32,0
109,"(0, 60)",100,100,0.55,0.32,0
109,"(0, 61)",100,100,0.55,0.32,0
109,"(0, 66)",100,100,0.55,0.32,0
109,"(0, 69)",100,100,0.55,0.32,0
109,"(0, 70)",100,100,0.55,0.32,0
109,"(0, 71)",100,100,0.55,0.32,0
109,"(0, 72)",100,100,0.55,0.32,0
109,"(0, 73)",100,100,0.55,0.32,0
109,"(0, 74)",100,100,0.55,0.32,0
109,"(0, 76)",100,100,0.55,0.32,0
109,"(0, 77)",100,100,0.55,0.32,0
109,"(0, 78)",100,100,0.55,0.32,0
109,"(0, 79)",100,100,0.55,0.32,0
109,"(0, 81)",100,100,0.55,0.32,0
109,"(0, 84)",100,100,0.55,0.32,0
109,"(0, 85)",100,100,0.55,0.32,0
109,"(0, 88)",100,100,0.55,0.32,0
109,"(0, 90)",100,100,0.55,0.32,0
109,"(0, 91)",100,100,0.55,0.32,0
109,"(0, 92)",100,100,0.55,0.32,0
109,"(0, 94)",100,100,0.55,0.32,0
109,"(0, 95)",100,100,0.55,0.32,0
109,"(0, 96)",100,100,0.55,0.32,0
109,"(0, 97)",100,100,0.55,0.32,0
109,"(1, 1)",100,100,0.55,0.32,1
109,"(1, 3)",100,100,0.55,0.32,1
109,"(1, 4)",100,100,0.55,0.32,1
109,"(1, 5)",100,100,0.55,0.32,1
109,"(1, 6)",100,100,0.55,0.32,1
109,"(1, 8)",100,100,0.55,0.32,1
109,"(1, 9)",100,100,0.55,0.32,1
109,"(1, 11)",100,100,0.55,0.32,1
109,"(1, 12)",100,100,0.55,0.32,1
109,"(1, 13)",100,100,0.55,0.32,1
109,"(1, 15)",100,100,0.55,0.32,1
109,"(1, 16)",100,100,0.55,0.32,1
109,"(1, 17)",100,100,0.55,0.32,2
109,"(1, 18)",100,100,0.55,0.32,2
109,"(1, 23)",100,100,0.55,0.32,1
109,"(1, 24)",100,100,0.55,0.32,1
109,"(1, 26)",100,100,0.55,0.32,1
109,"(1, 27)",100,100,0.55,0.32,2
109,"(1, 33)",100,100,0.55,0.32,1
109,"(1, 35)",100,100,0.55,0.32,1
109,"(1, 36)",100,100,0.55,0.32,1
109,"(1, 37)",100,100,0.55,0.32,1
109,"(1, 39)",100,100,0.55,0.32,1
109,"(1, 41)",100,100,0.55,0.32,1
109,"(1, 42)",100,100,0.55,0.32,1
109,"(1, 43)",100,100,0.55,0.32,1
109,"(1, 44)",100,100,0.55,0.32,1
109,"(1, 45)",100,100,0.55,0.32,-1
109,"(1, 48)",100,100,0.55,0.32,1
109,"(1, 50)",100,100,0.55,0.32,1
109,"(1, 52)",100,100,0.55,0.32,2
109,"(1, 53)",100,100,0.55,0.32,1
109,"(1, 57)",100,100,0.55,0.32,3
109,"(1, 58)",100,100,0.55,0.32,1
109,"(1, 59)",100,100,0.55,0.32,1
109,"(1, 60)",100,100,0.55,0.32,1
109,"(1, 61)",100,100,0.55,0.32,1
109,"(1, 62)",100,100,0.55,0.32,1
109,"(1, 63)",100,100,0.55,0.32,1
109,"(1, 64)",100,100,0.55,0.32,1
109,"(1, 66)",100,100,0.55,0.32,1
109,"(1, 67)",100,100,0.55,0.32,2
109,"(1, 69)",100,100,0.55,0.32,1
109,"(1, 71)",100,100,0.55,0.32,1
109,"(1, 72)",100,100,0.55,0.32,1
109,"(1, 74)",100,100,0.55,0.32,1
109,"(1, 75)",100,100,0.55,0.32,1
109,"(1, 77)",100,100,0.55,0.32,1
109,"(1, 78)",100,100,0.55,0.32,1
109,"(1, 79)",100,100,0.55,0.32,2
109,"(1, 80)",100,100,0.55,0.32,1
109,"(1, 81)",100,100,0.55,0.32,2
109,"(1, 83)",100,100,0.55,0.32,1
109,"(1, 84)",100,100,0.55,0.32,1
109,"(1, 89)",100,100,0.55,0.32,1
109,"(1, 91)",100,100,0.55,0.32,1
109,"(1, 93)",100,100,0.55,0.32,1
109,"(1, 94)",100,100,0.55,0.32,1
109,"(1, 95)",100,100,0.55,0.32,1
109,"(1, 98)",100,100,0.55,0.32,1
109,"(2, 0)",100,100,0.55,0.32,-1
109,"(2, 1)",100,100,0.55,0.32,3
109,"(2, 2)",100,100,0.55,0.32,2
109,"(2, 6)",100,100,0.55,0.32,1
109,"(2, 12)",100,100,0.55,0.32,2
109,"(2, 17)",100,100,0.55,0.32,1
109,"(2, 18)",100,100,0.55,0.32,2
109,"(2, 19)",100,100,0.55,0.32,3
109,"(2, 23)",100,100,0.55,0.32,1
109,"(2, 24)",100,100,0.55,0.32,1
109,"(2, 25)",100,100,0.55,0.32,1
109,"(2, 28)",100,100,0.55,0.32,3
109,"(2, 30)",100,100,0.55,0.32,-1
109,"(2, 32)",100,100,0.55,0.32,7
109,"(2, 33)",100,100,0.55,0.32,7
109,"(2, 35)",100,100,0.55,0.32,1
109,"(2, 36)",100,100,0.55,0.32,1
109,"(2, 37)",100,100,0.55,0.32,2
109,"(2, 39)",100,100,0.55,0.32,3
109,"(2, 40)",100,100,0.55,0.32,1
109,"(2, 41)",100,100,0.55,0.32,1
109,"(2, 43)",100,100,0.55,0.32,1
109,"(2, 47)",100,100,0.55,0.32,2
109,"(2, 48)",100,100,0.55,0.32,3
109,"(2, 49)",100,100,0.55,0.32,2
109,"(2, 50)",100,100,0.55,0.32,2
109,"(2, 51)",100,100,0.55,0.32,2
