,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5453,52,0,28,194.8,0,0
1,100,100,0.55,0.32,5376,42,87,31,173.4,26,3.3
2,100,100,0.55,0.32,5276,44,185,32,164.9,18,10.3
3,100,100,0.55,0.32,5192,45,268,34,152.7,13,20.6
4,100,100,0.55,0.32,5117,38,350,33,155.1,11,31.8
5,100,100,0.55,0.32,5040,48,417,35,144.0,11,37.9
6,100,100,0.55,0.32,4921,57,527,40,123.0,10,52.7
7,100,100,0.55,0.32,4826,60,619,41,117.7,10,61.9
8,100,100,0.55,0.32,4742,41,722,42,112.9,10,72.2
9,100,100,0.55,0.32,4664,38,803,44,106.0,9,89.2
10,100,100,0.55,0.32,4615,27,863,46,100.3,7,123.3
11,100,100,0.55,0.32,4531,38,936,48,94.4,7,133.7
12,100,100,0.55,0.32,4460,35,1010,50,89.2,7,144.3
13,100,100,0.55,0.32,4375,49,1081,54,81.0,7,154.4
14,100,100,0.55,0.32,4272,62,1171,57,74.9,7,167.3
15,100,100,0.55,0.32,4185,46,1274,57,73.4,7,182.0
16,100,100,0.55,0.32,4121,38,1346,58,71.1,6,224.3
17,100,100,0.55,0.32,4053,39,1413,63,64.3,6,235.5
18,100,100,0.55,0.32,3977,39,1489,63,63.1,6,248.2
19,100,100,0.55,0.32,3900,42,1563,68,57.4,6,260.5
20,100,100,0.55,0.32,3820,44,1641,72,53.1,6,273.5
21,100,100,0.55,0.32,3746,41,1718,72,52.0,6,286.3
22,100,100,0.55,0.32,3662,45,1798,83,44.1,6,299.7
23,100,100,0.55,0.32,3568,49,1888,87,41.0,6,314.7
24,100,100,0.55,0.32,3491,42,1972,83,42.1,6,328.7
25,100,100,0.55,0.32,3444,31,2030,85,40.5,6,338.3
26,100,100,0.55,0.32,3378,42,2085,86,39.3,6,347.5
27,100,100,0.55,0.32,3314,39,2152,90,36.8,6,358.7
28,100,100,0.55,0.32,3209,60,2236,97,33.1,6,372.7
29,100,100,0.55,0.32,3127,40,2338,98,31.9,6,389.7
30,100,100,0.55,0.32,3030,58,2417,100,30.3,6,402.8
31,100,100,0.55,0.32,2946,43,2516,99,29.8,6,419.3
32,100,100,0.55,0.32,2844,58,2603,100,28.4,6,433.8
33,100,100,0.55,0.32,2752,44,2709,107,25.7,6,451.5
34,100,100,0.55,0.32,2645,58,2802,108,24.5,6,467.0
35,100,100,0.55,0.32,2562,46,2897,111,23.1,6,482.8
36,100,100,0.55,0.32,2465,60,2980,113,21.8,6,496.7
37,100,100,0.55,0.32,2374,46,3085,118,20.1,6,514.2
38,100,100,0.55,0.32,2285,53,3167,115,19.9,6,527.8
39,100,100,0.55,0.32,2205,45,3255,118,18.7,6,542.5
40,100,100,0.55,0.32,2133,42,3330,126,16.9,6,555.0
41,100,100,0.55,0.32,2068,36,3401,123,16.8,6,566.8
42,100,100,0.55,0.32,2010,33,3462,126,16.0,6,577.0
43,100,100,0.55,0.32,1916,53,3536,131,14.6,6,589.3
44,100,100,0.55,0.32,1802,65,3638,140,12.9,6,606.3
45,100,100,0.55,0.32,1690,63,3752,144,11.7,6,625.3
46,100,100,0.55,0.32,1612,50,3843,140,11.5,6,640.5
47,100,100,0.55,0.32,1518,55,3932,145,10.5,6,655.3
48,100,100,0.55,0.32,1453,37,4015,143,10.2,6,669.2
49,100,100,0.55,0.32,1397,34,4074,144,9.7,6,679.0
50,100,100,0.55,0.32,1337,36,4132,150,8.9,6,688.7
51,100,100,0.55,0.32,1253,51,4201,154,8.1,6,700.2
52,100,100,0.55,0.32,1179,48,4278,154,7.7,6,713.0
53,100,100,0.55,0.32,1126,33,4346,155,7.3,6,724.3
54,100,100,0.55,0.32,1068,35,4402,157,6.8,6,733.7
55,100,100,0.55,0.32,1011,28,4466,156,6.5,6,744.3
56,100,100,0.55,0.32,991,9,4505,156,6.4,6,750.8
57,100,100,0.55,0.32,973,8,4524,156,6.2,6,754.0
58,100,100,0.55,0.32,964,4,4537,156,6.2,6,756.2
59,100,100,0.55,0.32,945,7,4553,156,6.1,6,758.8
60,100,100,0.55,0.32,942,3,4560,158,6.0,6,760.0
61,100,100,0.55,0.32,936,5,4564,159,5.9,6,760.7
62,100,100,0.55,0.32,911,12,4582,160,5.7,6,763.7
63,100,100,0.55,0.32,893,10,4602,162,5.5,6,767.0
64,100,100,0.55,0.32,873,13,4619,163,5.4,6,769.8
65,100,100,0.55,0.32,851,16,4638,163,5.2,6,773.0
66,100,100,0.55,0.32,829,12,4664,161,5.1,6,777.3
67,100,100,0.55,0.32,818,7,4680,163,5.0,6,780.0
68,100,100,0.55,0.32,804,8,4693,161,5.0,6,782.2
69,100,100,0.55,0.32,802,2,4701,161,5.0,6,783.5
70,100,100,0.55,0.32,800,2,4703,161,5.0,6,783.8
71,100,100,0.55,0.32,797,2,4706,164,4.9,6,784.3
72,100,100,0.55,0.32,793,2,4710,162,4.9,6,785.0
73,100,100,0.55,0.32,791,2,4712,163,4.9,6,785.3
74,100,100,0.55,0.32,788,1,4716,163,4.8,6,786.0
75,100,100,0.55,0.32,785,3,4717,165,4.8,6,786.2
76,100,100,0.55,0.32,778,4,4723,165,4.7,6,787.2
77,100,100,0.55,0.32,770,6,4729,166,4.6,6,788.2
78,100,100,0.55,0.32,762,6,4737,168,4.5,6,789.5
79,100,100,0.55,0.32,749,8,4748,171,4.4,6,791.3
80,100,100,0.55,0.32,738,6,4761,169,4.4,6,793.5
81,100,100,0.55,0.32,737,1,4767,168,4.4,6,794.5
82,100,100,0.55,0.32,737,0,4768,168,4.4,6,794.7
