,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5399,53,0,26,207.7,0,0
1,100,100,0.55,0.32,5328,48,76,24,222.0,20,3.8
2,100,100,0.55,0.32,5240,45,167,26,201.5,12,13.9
3,100,100,0.55,0.32,5155,42,255,28,184.1,9,28.3
4,100,100,0.55,0.32,5065,43,344,29,174.7,8,43.0
5,100,100,0.55,0.32,4985,40,427,35,142.4,7,61.0
6,100,100,0.55,0.32,4940,28,484,32,154.4,5,96.8
7,100,100,0.55,0.32,4889,31,532,31,157.7,5,106.4
8,100,100,0.55,0.32,4837,32,583,36,134.4,5,116.6
9,100,100,0.55,0.32,4752,52,648,40,118.8,5,129.6
10,100,100,0.55,0.32,4683,34,735,39,120.1,5,147.0
11,100,100,0.55,0.32,4638,23,791,38,122.1,5,158.2
12,100,100,0.55,0.32,4589,26,837,39,117.7,5,167.4
13,100,100,0.55,0.32,4551,24,877,44,103.4,5,175.4
14,100,100,0.55,0.32,4528,14,910,41,110.4,4,227.5
15,100,100,0.55,0.32,4484,24,944,40,112.1,4,236.0
16,100,100,0.55,0.32,4423,34,995,46,96.2,4,248.8
17,100,100,0.55,0.32,4366,32,1054,47,92.9,4,263.5
18,100,100,0.55,0.32,4306,40,1106,49,87.9,4,276.5
19,100,100,0.55,0.32,4261,25,1166,50,85.2,4,291.5
20,100,100,0.55,0.32,4212,26,1214,53,79.5,4,303.5
21,100,100,0.55,0.32,4160,29,1263,56,74.3,4,315.8
22,100,100,0.55,0.32,4075,56,1321,58,70.3,4,330.2
23,100,100,0.55,0.32,3978,50,1424,63,63.1,4,356.0
24,100,100,0.55,0.32,3901,37,1514,63,61.9,4,378.5
25,100,100,0.55,0.32,3846,32,1574,66,58.3,4,393.5
26,100,100,0.55,0.32,3798,31,1623,67,56.7,4,405.8
27,100,100,0.55,0.32,3755,28,1669,72,52.2,4,417.2
28,100,100,0.55,0.32,3698,28,1726,73,50.7,3,575.3
29,100,100,0.55,0.32,3635,30,1787,68,53.5,3,595.7
30,100,100,0.55,0.32,3559,48,1845,77,46.2,3,615.0
31,100,100,0.55,0.32,3481,43,1928,74,47.0,3,642.7
32,100,100,0.55,0.32,3428,29,1995,74,46.3,3,665.0
33,100,100,0.55,0.32,3365,34,2053,78,43.1,3,684.3
34,100,100,0.55,0.32,3272,50,2130,80,40.9,3,710.0
35,100,100,0.55,0.32,3196,48,2208,83,38.5,3,736.0
36,100,100,0.55,0.32,3129,38,2285,87,36.0,3,761.7
37,100,100,0.55,0.32,3057,41,2354,85,36.0,3,784.7
38,100,100,0.55,0.32,2974,47,2431,89,33.4,3,810.3
39,100,100,0.55,0.32,2897,44,2511,92,31.5,3,837.0
40,100,100,0.55,0.32,2808,42,2602,95,29.6,3,867.3
41,100,100,0.55,0.32,2751,31,2670,99,27.8,3,890.0
42,100,100,0.55,0.32,2690,32,2730,98,27.4,3,910.0
43,100,100,0.55,0.32,2631,35,2786,98,26.8,3,928.7
44,100,100,0.55,0.32,2557,41,2854,104,24.6,3,951.3
45,100,100,0.55,0.32,2482,55,2915,104,23.9,3,971.7
46,100,100,0.55,0.32,2398,52,3002,103,23.3,3,1000.7
47,100,100,0.55,0.32,2316,46,3090,106,21.8,3,1030.0
48,100,100,0.55,0.32,2196,66,3190,107,20.5,3,1063.3
49,100,100,0.55,0.32,2105,57,3290,113,18.6,3,1096.7
50,100,100,0.55,0.32,1977,66,3409,119,16.6,3,1136.3
51,100,100,0.55,0.32,1865,67,3520,126,14.8,3,1173.3
52,100,100,0.55,0.32,1753,66,3633,130,13.5,3,1211.0
53,100,100,0.55,0.32,1639,63,3750,131,12.5,3,1250.0
54,100,100,0.55,0.32,1529,56,3867,134,11.4,3,1289.0
55,100,100,0.55,0.32,1435,51,3966,137,10.5,3,1322.0
56,100,100,0.55,0.32,1344,48,4060,142,9.5,3,1353.3
57,100,100,0.55,0.32,1245,49,4158,144,8.6,3,1386.0
58,100,100,0.55,0.32,1181,36,4235,148,8.0,3,1411.7
59,100,100,0.55,0.32,1106,45,4301,156,7.1,3,1433.7
60,100,100,0.55,0.32,1037,39,4376,155,6.7,3,1458.7
61,100,100,0.55,0.32,994,25,4433,155,6.4,3,1477.7
62,100,100,0.55,0.32,958,18,4476,157,6.1,3,1492.0
63,100,100,0.55,0.32,922,23,4507,160,5.8,3,1502.3
64,100,100,0.55,0.32,881,22,4549,160,5.5,3,1516.3
65,100,100,0.55,0.32,852,17,4583,162,5.3,3,1527.7
66,100,100,0.55,0.32,822,19,4611,160,5.1,3,1537.0
67,100,100,0.55,0.32,800,15,4637,161,5.0,3,1545.7
68,100,100,0.55,0.32,776,15,4661,162,4.8,3,1553.7
69,100,100,0.55,0.32,746,13,4693,163,4.6,3,1564.3
70,100,100,0.55,0.32,712,18,4722,167,4.3,3,1574.0
71,100,100,0.55,0.32,692,12,4748,167,4.1,3,1582.7
72,100,100,0.55,0.32,664,11,4777,172,3.9,3,1592.3
73,100,100,0.55,0.32,651,10,4791,172,3.8,3,1597.0
74,100,100,0.55,0.32,632,13,4807,176,3.6,3,1602.3
75,100,100,0.55,0.32,620,3,4829,175,3.5,3,1609.7
76,100,100,0.55,0.32,617,0,4835,173,3.6,3,1611.7
