Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
85,"(0, 0)",100,100,0.55,0.32,0
85,"(0, 2)",100,100,0.55,0.32,0
85,"(0, 3)",100,100,0.55,0.32,0
85,"(0, 4)",100,100,0.55,0.32,0
85,"(0, 5)",100,100,0.55,0.32,0
85,"(0, 11)",100,100,0.55,0.32,0
85,"(0, 12)",100,100,0.55,0.32,0
85,"(0, 13)",100,100,0.55,0.32,0
85,"(0, 14)",100,100,0.55,0.32,0
85,"(0, 16)",100,100,0.55,0.32,0
85,"(0, 17)",100,100,0.55,0.32,0
85,"(0, 20)",100,100,0.55,0.32,0
85,"(0, 26)",100,100,0.55,0.32,0
85,"(0, 27)",100,100,0.55,0.32,0
85,"(0, 28)",100,100,0.55,0.32,0
85,"(0, 30)",100,100,0.55,0.32,0
85,"(0, 31)",100,100,0.55,0.32,0
85,"(0, 33)",100,100,0.55,0.32,0
85,"(0, 34)",100,100,0.55,0.32,0
85,"(0, 35)",100,100,0.55,0.32,0
85,"(0, 36)",100,100,0.55,0.32,0
85,"(0, 37)",100,100,0.55,0.32,0
85,"(0, 38)",100,100,0.55,0.32,0
85,"(0, 39)",100,100,0.55,0.32,0
85,"(0, 40)",100,100,0.55,0.32,0
85,"(0, 43)",100,100,0.55,0.32,0
85,"(0, 45)",100,100,0.55,0.32,0
85,"(0, 46)",100,100,0.55,0.32,0
85,"(0, 48)",100,100,0.55,0.32,0
85,"(0, 49)",100,100,0.55,0.32,0
85,"(0, 50)",100,100,0.55,0.32,0
85,"(0, 52)",100,100,0.55,0.32,0
85,"(0, 54)",100,100,0.55,0.32,0
85,"(0, 56)",100,100,0.55,0.32,0
85,"(0, 57)",100,100,0.55,0.32,0
85,"(0, 59)",100,100,0.55,0.32,0
85,"(0, 60)",100,100,0.55,0.32,0
85,"(0, 61)",100,100,0.55,0.32,0
85,"(0, 62)",100,100,0.55,0.32,0
85,"(0, 64)",100,100,0.55,0.32,0
85,"(0, 66)",100,100,0.55,0.32,0
85,"(0, 67)",100,100,0.55,0.32,0
85,"(0, 70)",100,100,0.55,0.32,0
85,"(0, 73)",100,100,0.55,0.32,0
85,"(0, 76)",100,100,0.55,0.32,0
85,"(0, 77)",100,100,0.55,0.32,0
85,"(0, 78)",100,100,0.55,0.32,0
85,"(0, 79)",100,100,0.55,0.32,0
85,"(0, 81)",100,100,0.55,0.32,0
85,"(0, 82)",100,100,0.55,0.32,0
85,"(0, 85)",100,100,0.55,0.32,0
85,"(0, 87)",100,100,0.55,0.32,0
85,"(0, 88)",100,100,0.55,0.32,0
85,"(0, 89)",100,100,0.55,0.32,0
85,"(0, 90)",100,100,0.55,0.32,0
85,"(0, 91)",100,100,0.55,0.32,0
85,"(0, 92)",100,100,0.55,0.32,0
85,"(0, 93)",100,100,0.55,0.32,0
85,"(0, 94)",100,100,0.55,0.32,0
