Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
76,"(0, 0)",100,100,0.55,0.32,0
76,"(0, 1)",100,100,0.55,0.32,0
76,"(0, 5)",100,100,0.55,0.32,0
76,"(0, 6)",100,100,0.55,0.32,0
76,"(0, 8)",100,100,0.55,0.32,0
76,"(0, 9)",100,100,0.55,0.32,0
76,"(0, 11)",100,100,0.55,0.32,0
76,"(0, 15)",100,100,0.55,0.32,0
76,"(0, 16)",100,100,0.55,0.32,0
76,"(0, 18)",100,100,0.55,0.32,0
76,"(0, 20)",100,100,0.55,0.32,0
76,"(0, 21)",100,100,0.55,0.32,0
76,"(0, 22)",100,100,0.55,0.32,0
76,"(0, 26)",100,100,0.55,0.32,0
76,"(0, 27)",100,100,0.55,0.32,0
76,"(0, 28)",100,100,0.55,0.32,0
76,"(0, 29)",100,100,0.55,0.32,0
76,"(0, 30)",100,100,0.55,0.32,0
76,"(0, 31)",100,100,0.55,0.32,0
76,"(0, 32)",100,100,0.55,0.32,0
76,"(0, 33)",100,100,0.55,0.32,0
76,"(0, 35)",100,100,0.55,0.32,0
76,"(0, 38)",100,100,0.55,0.32,0
76,"(0, 39)",100,100,0.55,0.32,0
76,"(0, 41)",100,100,0.55,0.32,0
76,"(0, 43)",100,100,0.55,0.32,0
76,"(0, 44)",100,100,0.55,0.32,0
76,"(0, 45)",100,100,0.55,0.32,0
76,"(0, 46)",100,100,0.55,0.32,0
76,"(0, 48)",100,100,0.55,0.32,0
76,"(0, 51)",100,100,0.55,0.32,0
76,"(0, 53)",100,100,0.55,0.32,0
76,"(0, 55)",100,100,0.55,0.32,0
76,"(0, 56)",100,100,0.55,0.32,0
76,"(0, 57)",100,100,0.55,0.32,0
76,"(0, 59)",100,100,0.55,0.32,0
76,"(0, 60)",100,100,0.55,0.32,0
76,"(0, 61)",100,100,0.55,0.32,0
76,"(0, 62)",100,100,0.55,0.32,0
76,"(0, 64)",100,100,0.55,0.32,0
76,"(0, 66)",100,100,0.55,0.32,0
76,"(0, 68)",100,100,0.55,0.32,0
76,"(0, 69)",100,100,0.55,0.32,0
76,"(0, 70)",100,100,0.55,0.32,0
76,"(0, 75)",100,100,0.55,0.32,0
76,"(0, 76)",100,100,0.55,0.32,0
76,"(0, 77)",100,100,0.55,0.32,0
76,"(0, 78)",100,100,0.55,0.32,0
76,"(0, 79)",100,100,0.55,0.32,0
76,"(0, 80)",100,100,0.55,0.32,0
76,"(0, 82)",100,100,0.55,0.32,0
76,"(0, 83)",100,100,0.55,0.32,0
76,"(0, 87)",100,100,0.55,0.32,0
76,"(0, 88)",100,100,0.55,0.32,0
76,"(0, 93)",100,100,0.55,0.32,0
76,"(0, 94)",100,100,0.55,0.32,0
76,"(0, 95)",100,100,0.55,0.32,0
76,"(0, 98)",100,100,0.55,0.32,0
76,"(1, 0)",100,100,0.55,0.32,1
76,"(1, 1)",100,100,0.55,0.32,1
76,"(1, 3)",100,100,0.55,0.32,2
76,"(1, 4)",100,100,0.55,0.32,2
76,"(1, 8)",100,100,0.55,0.32,2
76,"(1, 9)",100,100,0.55,0.32,1
76,"(1, 12)",100,100,0.55,0.32,1
76,"(1, 16)",100,100,0.55,0.32,-1
76,"(1, 17)",100,100,0.55,0.32,1
76,"(1, 18)",100,100,0.55,0.32,1
76,"(1, 21)",100,100,0.55,0.32,1
76,"(1, 23)",100,100,0.55,0.32,1
76,"(1, 25)",100,100,0.55,0.32,2
76,"(1, 26)",100,100,0.55,0.32,1
76,"(1, 32)",100,100,0.55,0.32,1
76,"(1, 35)",100,100,0.55,0.32,1
76,"(1, 36)",100,100,0.55,0.32,1
76,"(1, 39)",100,100,0.55,0.32,1
76,"(1, 40)",100,100,0.55,0.32,2
76,"(1, 42)",100,100,0.55,0.32,1
76,"(1, 44)",100,100,0.55,0.32,1
76,"(1, 46)",100,100,0.55,0.32,1
76,"(1, 50)",100,100,0.55,0.32,1
76,"(1, 53)",100,100,0.55,0.32,1
76,"(1, 54)",100,100,0.55,0.32,1
76,"(1, 55)",100,100,0.55,0.32,1
76,"(1, 56)",100,100,0.55,0.32,1
76,"(1, 58)",100,100,0.55,0.32,1
76,"(1, 61)",100,100,0.55,0.32,1
76,"(1, 62)",100,100,0.55,0.32,1
76,"(1, 65)",100,100,0.55,0.32,1
76,"(1, 69)",100,100,0.55,0.32,1
76,"(1, 70)",100,100,0.55,0.32,1
76,"(1, 71)",100,100,0.55,0.32,9
76,"(1, 72)",100,100,0.55,0.32,9
76,"(1, 73)",100,100,0.55,0.32,9
76,"(1, 75)",100,100,0.55,0.32,1
76,"(1, 77)",100,100,0.55,0.32,1
76,"(1, 80)",100,100,0.55,0.32,1
76,"(1, 82)",100,100,0.55,0.32,1
76,"(1, 83)",100,100,0.55,0.32,1
76,"(1, 84)",100,100,0.55,0.32,3
76,"(1, 85)",100,100,0.55,0.32,2
76,"(1, 88)",100,100,0.55,0.32,1
76,"(1, 89)",100,100,0.55,0.32,1
76,"(1, 90)",100,100,0.55,0.32,2
76,"(1, 91)",100,100,0.55,0.32,2
76,"(1, 92)",100,100,0.55,0.32,3
76,"(1, 98)",100,100,0.55,0.32,1
76,"(2, 1)",100,100,0.55,0.32,2
76,"(2, 2)",100,100,0.55,0.32,1
76,"(2, 3)",100,100,0.55,0.32,2
76,"(2, 4)",100,100,0.55,0.32,2
76,"(2, 8)",100,100,0.55,0.32,2
76,"(2, 9)",100,100,0.55,0.32,3
76,"(2, 10)",100,100,0.55,0.32,2
76,"(2, 11)",100,100,0.55,0.32,1
76,"(2, 12)",100,100,0.55,0.32,1
76,"(2, 13)",100,100,0.55,0.32,2
76,"(2, 21)",100,100,0.55,0.32,1
76,"(2, 22)",100,100,0.55,0.32,2
76,"(2, 26)",100,100,0.55,0.32,1
76,"(2, 27)",100,100,0.55,0.32,1
76,"(2, 31)",100,100,0.55,0.32,1
76,"(2, 32)",100,100,0.55,0.32,1
76,"(2, 34)",100,100,0.55,0.32,-1
76,"(2, 42)",100,100,0.55,0.32,3
76,"(2, 43)",100,100,0.55,0.32,1
76,"(2, 44)",100,100,0.55,0.32,2
76,"(2, 45)",100,100,0.55,0.32,1
76,"(2, 46)",100,100,0.55,0.32,1
76,"(2, 47)",100,100,0.55,0.32,1
76,"(2, 49)",100,100,0.55,0.32,2
76,"(2, 52)",100,100,0.55,0.32,3
76,"(2, 54)",100,100,0.55,0.32,2
76,"(2, 55)",100,100,0.55,0.32,2
76,"(2, 56)",100,100,0.55,0.32,2
76,"(2, 57)",100,100,0.55,0.32,2
76,"(2, 58)",100,100,0.55,0.32,2
76,"(2, 59)",100,100,0.55,0.32,3
76,"(2, 61)",100,100,0.55,0.32,1
76,"(2, 63)",100,100,0.55,0.32,1
76,"(2, 64)",100,100,0.55,0.32,1
76,"(2, 66)",100,100,0.55,0.32,-1
76,"(2, 67)",100,100,0.55,0.32,6
76,"(2, 68)",100,100,0.55,0.32,1
76,"(2, 69)",100,100,0.55,0.32,1
76,"(2, 72)",100,100,0.55,0.32,9
76,"(2, 75)",100,100,0.55,0.32,-1
76,"(2, 77)",100,100,0.55,0.32,11
76,"(2, 78)",100,100,0.55,0.32,11
76,"(2, 84)",100,100,0.55,0.32,3
76,"(2, 86)",100,100,0.55,0.32,1
76,"(2, 87)",100,100,0.55,0.32,1
76,"(2, 88)",100,100,0.55,0.32,1
76,"(2, 90)",100,100,0.55,0.32,2
76,"(2, 91)",100,100,0.55,0.32,2
76,"(2, 93)",100,100,0.55,0.32,3
76,"(2, 94)",100,100,0.55,0.32,4
76,"(2, 97)",100,100,0.55,0.32,2
76,"(2, 98)",100,100,0.55,0.32,3
76,"(3, 1)",100,100,0.55,0.32,2
76,"(3, 2)",100,100,0.55,0.32,2
76,"(3, 4)",100,100,0.55,0.32,2
76,"(3, 5)",100,100,0.55,0.32,2
76,"(3, 7)",100,100,0.55,0.32,4
76,"(3, 8)",100,100,0.55,0.32,3
76,"(3, 10)",100,100,0.55,0.32,3
76,"(3, 12)",100,100,0.55,0.32,2
76,"(3, 14)",100,100,0.55,0.32,3
76,"(3, 15)",100,100,0.55,0.32,3
76,"(3, 16)",100,100,0.55,0.32,4
76,"(3, 19)",100,100,0.55,0.32,3
76,"(3, 20)",100,100,0.55,0.32,2
76,"(3, 24)",100,100,0.55,0.32,-1
76,"(3, 25)",100,100,0.55,0.32,-1
76,"(3, 27)",100,100,0.55,0.32,2
76,"(3, 28)",100,100,0.55,0.32,2
76,"(3, 30)",100,100,0.55,0.32,2
76,"(3, 31)",100,100,0.55,0.32,2
76,"(3, 32)",100,100,0.55,0.32,2
76,"(3, 34)",100,100,0.55,0.32,-1
76,"(3, 36)",100,100,0.55,0.32,-1
76,"(3, 37)",100,100,0.55,0.32,-1
76,"(3, 38)",100,100,0.55,0.32,-1
76,"(3, 39)",100,100,0.55,0.32,-1
