Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
83,"(0, 4)",100,100,0.55,0.32,0
83,"(0, 8)",100,100,0.55,0.32,0
83,"(0, 9)",100,100,0.55,0.32,0
83,"(0, 11)",100,100,0.55,0.32,0
83,"(0, 14)",100,100,0.55,0.32,0
83,"(0, 15)",100,100,0.55,0.32,0
83,"(0, 19)",100,100,0.55,0.32,0
83,"(0, 20)",100,100,0.55,0.32,0
83,"(0, 23)",100,100,0.55,0.32,0
83,"(0, 24)",100,100,0.55,0.32,0
83,"(0, 27)",100,100,0.55,0.32,0
83,"(0, 30)",100,100,0.55,0.32,0
83,"(0, 31)",100,100,0.55,0.32,0
83,"(0, 33)",100,100,0.55,0.32,0
83,"(0, 35)",100,100,0.55,0.32,0
83,"(0, 37)",100,100,0.55,0.32,0
83,"(0, 39)",100,100,0.55,0.32,0
83,"(0, 40)",100,100,0.55,0.32,0
83,"(0, 42)",100,100,0.55,0.32,0
83,"(0, 43)",100,100,0.55,0.32,0
83,"(0, 45)",100,100,0.55,0.32,0
83,"(0, 46)",100,100,0.55,0.32,0
83,"(0, 48)",100,100,0.55,0.32,0
83,"(0, 52)",100,100,0.55,0.32,0
83,"(0, 54)",100,100,0.55,0.32,0
83,"(0, 55)",100,100,0.55,0.32,0
83,"(0, 56)",100,100,0.55,0.32,0
83,"(0, 59)",100,100,0.55,0.32,0
83,"(0, 61)",100,100,0.55,0.32,0
83,"(0, 62)",100,100,0.55,0.32,0
83,"(0, 63)",100,100,0.55,0.32,0
83,"(0, 65)",100,100,0.55,0.32,0
83,"(0, 67)",100,100,0.55,0.32,0
83,"(0, 69)",100,100,0.55,0.32,0
83,"(0, 72)",100,100,0.55,0.32,0
83,"(0, 73)",100,100,0.55,0.32,0
83,"(0, 74)",100,100,0.55,0.32,0
83,"(0, 79)",100,100,0.55,0.32,0
83,"(0, 82)",100,100,0.55,0.32,0
83,"(0, 83)",100,100,0.55,0.32,0
83,"(0, 85)",100,100,0.55,0.32,0
83,"(0, 87)",100,100,0.55,0.32,0
83,"(0, 91)",100,100,0.55,0.32,0
83,"(0, 92)",100,100,0.55,0.32,0
83,"(0, 93)",100,100,0.55,0.32,0
83,"(0, 95)",100,100,0.55,0.32,0
83,"(0, 98)",100,100,0.55,0.32,0
83,"(1, 1)",100,100,0.55,0.32,-1
83,"(1, 2)",100,100,0.55,0.32,-1
83,"(1, 6)",100,100,0.55,0.32,-1
83,"(1, 11)",100,100,0.55,0.32,1
83,"(1, 13)",100,100,0.55,0.32,2
83,"(1, 15)",100,100,0.55,0.32,1
83,"(1, 16)",100,100,0.55,0.32,1
83,"(1, 17)",100,100,0.55,0.32,2
83,"(1, 19)",100,100,0.55,0.32,1
