Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
104,"(0, 2)",100,100,0.55,0.32,0
104,"(0, 3)",100,100,0.55,0.32,0
104,"(0, 4)",100,100,0.55,0.32,0
104,"(0, 5)",100,100,0.55,0.32,0
104,"(0, 7)",100,100,0.55,0.32,0
104,"(0, 9)",100,100,0.55,0.32,0
104,"(0, 10)",100,100,0.55,0.32,0
104,"(0, 11)",100,100,0.55,0.32,0
104,"(0, 13)",100,100,0.55,0.32,0
104,"(0, 14)",100,100,0.55,0.32,0
104,"(0, 15)",100,100,0.55,0.32,0
104,"(0, 17)",100,100,0.55,0.32,0
104,"(0, 18)",100,100,0.55,0.32,0
104,"(0, 19)",100,100,0.55,0.32,0
104,"(0, 20)",100,100,0.55,0.32,0
104,"(0, 21)",100,100,0.55,0.32,0
104,"(0, 23)",100,100,0.55,0.32,0
104,"(0, 24)",100,100,0.55,0.32,0
104,"(0, 30)",100,100,0.55,0.32,0
104,"(0, 33)",100,100,0.55,0.32,0
104,"(0, 34)",100,100,0.55,0.32,0
104,"(0, 35)",100,100,0.55,0.32,0
104,"(0, 36)",100,100,0.55,0.32,0
104,"(0, 37)",100,100,0.55,0.32,0
104,"(0, 38)",100,100,0.55,0.32,0
104,"(0, 43)",100,100,0.55,0.32,0
104,"(0, 44)",100,100,0.55,0.32,0
104,"(0, 50)",100,100,0.55,0.32,0
104,"(0, 52)",100,100,0.55,0.32,0
104,"(0, 53)",100,100,0.55,0.32,0
104,"(0, 54)",100,100,0.55,0.32,0
104,"(0, 55)",100,100,0.55,0.32,0
104,"(0, 56)",100,100,0.55,0.32,0
104,"(0, 62)",100,100,0.55,0.32,0
104,"(0, 63)",100,100,0.55,0.32,0
104,"(0, 65)",100,100,0.55,0.32,0
104,"(0, 70)",100,100,0.55,0.32,0
104,"(0, 72)",100,100,0.55,0.32,0
104,"(0, 74)",100,100,0.55,0.32,0
104,"(0, 75)",100,100,0.55,0.32,0
104,"(0, 77)",100,100,0.55,0.32,0
104,"(0, 81)",100,100,0.55,0.32,0
