,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5417,46,0,29,186.8,0,0
1,100,100,0.55,0.32,5357,37,69,29,184.7,25,2.8
2,100,100,0.55,0.32,5295,39,129,33,160.5,16,8.1
3,100,100,0.55,0.32,5240,36,187,32,163.8,14,13.4
4,100,100,0.55,0.32,5202,25,236,32,162.6,13,18.2
5,100,100,0.55,0.32,5161,20,282,32,161.3,11,25.6
6,100,100,0.55,0.32,5116,25,322,33,155.0,10,32.2
7,100,100,0.55,0.32,5084,22,357,37,137.4,10,35.7
8,100,100,0.55,0.32,5048,22,393,36,140.2,10,39.3
9,100,100,0.55,0.32,5006,28,429,39,128.4,10,42.9
10,100,100,0.55,0.32,4952,26,485,39,127.0,10,48.5
11,100,100,0.55,0.32,4896,31,536,36,136.0,10,53.6
12,100,100,0.55,0.32,4857,25,581,38,127.8,10,58.1
13,100,100,0.55,0.32,4812,34,617,39,123.4,10,61.7
14,100,100,0.55,0.32,4741,44,678,41,115.6,10,67.8
15,100,100,0.55,0.32,4655,48,760,46,101.2,9,84.4
16,100,100,0.55,0.32,4572,46,845,45,101.6,9,93.9
17,100,100,0.55,0.32,4511,35,917,49,92.1,9,101.9
18,100,100,0.55,0.32,4408,53,1002,58,76.0,9,111.3
19,100,100,0.55,0.32,4312,56,1095,53,81.4,7,156.4
20,100,100,0.55,0.32,4237,46,1180,52,81.5,7,168.6
21,100,100,0.55,0.32,4133,56,1274,65,63.6,6,212.3
22,100,100,0.55,0.32,4048,50,1365,61,66.4,6,227.5
23,100,100,0.55,0.32,3988,39,1436,63,63.3,6,239.3
24,100,100,0.55,0.32,3933,38,1492,65,60.5,6,248.7
25,100,100,0.55,0.32,3843,39,1581,66,58.2,6,263.5
26,100,100,0.55,0.32,3791,28,1644,70,54.2,6,274.0
27,100,100,0.55,0.32,3730,33,1700,69,54.1,6,283.3
28,100,100,0.55,0.32,3658,40,1765,72,50.8,6,294.2
29,100,100,0.55,0.32,3593,38,1832,72,49.9,6,305.3
30,100,100,0.55,0.32,3536,35,1892,73,48.4,6,315.3
31,100,100,0.55,0.32,3464,43,1956,75,46.2,6,326.0
32,100,100,0.55,0.32,3381,50,2032,79,42.8,6,338.7
33,100,100,0.55,0.32,3272,60,2131,85,38.5,6,355.2
34,100,100,0.55,0.32,3196,53,2214,84,38.0,6,369.0
35,100,100,0.55,0.32,3078,68,2317,93,33.1,6,386.2
36,100,100,0.55,0.32,2968,52,2443,87,34.1,6,407.2
37,100,100,0.55,0.32,2852,64,2547,96,29.7,6,424.5
38,100,100,0.55,0.32,2730,68,2665,103,26.5,6,444.2
39,100,100,0.55,0.32,2624,60,2779,107,24.5,6,463.2
40,100,100,0.55,0.32,2527,59,2877,106,23.8,6,479.5
41,100,100,0.55,0.32,2433,57,2973,118,20.6,6,495.5
42,100,100,0.55,0.32,2359,39,3065,111,21.3,6,510.8
43,100,100,0.55,0.32,2294,38,3131,110,20.9,6,521.8
44,100,100,0.55,0.32,2246,22,3195,115,19.5,6,532.5
45,100,100,0.55,0.32,2194,23,3246,118,18.6,6,541.0
46,100,100,0.55,0.32,2151,23,3289,117,18.4,6,548.2
47,100,100,0.55,0.32,2119,16,3328,117,18.1,6,554.7
48,100,100,0.55,0.32,2109,7,3347,118,17.9,6,557.8
49,100,100,0.55,0.32,2093,11,3359,117,17.9,6,559.8
50,100,100,0.55,0.32,2085,3,3375,117,17.8,6,562.5
51,100,100,0.55,0.32,2078,4,3381,116,17.9,6,563.5
52,100,100,0.55,0.32,2077,1,3385,116,17.9,6,564.2
53,100,100,0.55,0.32,2075,1,3387,116,17.9,6,564.5
54,100,100,0.55,0.32,2074,1,3388,116,17.9,6,564.7
55,100,100,0.55,0.32,2070,4,3389,116,17.8,6,564.8
56,100,100,0.55,0.32,2046,12,3405,117,17.5,6,567.5
57,100,100,0.55,0.32,2009,20,3434,121,16.6,6,572.3
58,100,100,0.55,0.32,1943,28,3492,123,15.8,6,582.0
59,100,100,0.55,0.32,1909,18,3536,123,15.5,6,589.3
60,100,100,0.55,0.32,1879,17,3567,124,15.2,6,594.5
61,100,100,0.55,0.32,1857,17,3589,125,14.9,6,598.2
62,100,100,0.55,0.32,1837,13,3613,124,14.8,6,602.2
63,100,100,0.55,0.32,1811,16,3636,124,14.6,6,606.0
64,100,100,0.55,0.32,1768,23,3672,126,14.0,6,612.0
65,100,100,0.55,0.32,1741,18,3704,127,13.7,6,617.3
66,100,100,0.55,0.32,1703,17,3743,127,13.4,6,623.8
67,100,100,0.55,0.32,1654,30,3779,129,12.8,6,629.8
68,100,100,0.55,0.32,1590,41,3832,132,12.0,6,638.7
69,100,100,0.55,0.32,1544,31,3888,130,11.9,6,648.0
70,100,100,0.55,0.32,1518,19,3926,133,11.4,6,654.3
71,100,100,0.55,0.32,1480,21,3962,135,11.0,6,660.3
72,100,100,0.55,0.32,1436,26,4001,138,10.4,6,666.8
73,100,100,0.55,0.32,1366,35,4062,141,9.7,6,677.0
74,100,100,0.55,0.32,1332,19,4112,141,9.4,6,685.3
75,100,100,0.55,0.32,1294,27,4142,141,9.2,6,690.3
76,100,100,0.55,0.32,1249,22,4192,145,8.6,6,698.7
77,100,100,0.55,0.32,1224,15,4224,143,8.6,6,704.0
78,100,100,0.55,0.32,1200,16,4247,146,8.2,6,707.8
79,100,100,0.55,0.32,1153,22,4288,144,8.0,6,714.7
80,100,100,0.55,0.32,1115,19,4329,147,7.6,6,721.5
81,100,100,0.55,0.32,1092,12,4359,147,7.4,6,726.5
82,100,100,0.55,0.32,1056,13,4394,144,7.3,6,732.3
83,100,100,0.55,0.32,1037,13,4413,146,7.1,6,735.5
84,100,100,0.55,0.32,1010,15,4438,145,7.0,6,739.7
85,100,100,0.55,0.32,982,17,4464,150,6.5,6,744.0
86,100,100,0.55,0.32,950,15,4498,150,6.3,6,749.7
87,100,100,0.55,0.32,921,17,4525,153,6.0,6,754.2
88,100,100,0.55,0.32,880,19,4564,150,5.9,6,760.7
89,100,100,0.55,0.32,846,17,4600,153,5.5,6,766.7
90,100,100,0.55,0.32,820,13,4630,157,5.2,6,771.7
91,100,100,0.55,0.32,800,11,4652,159,5.0,6,775.3
92,100,100,0.55,0.32,773,16,4674,160,4.8,6,779.0
93,100,100,0.55,0.32,756,12,4695,158,4.8,6,782.5
94,100,100,0.55,0.32,725,18,4720,163,4.4,6,786.7
95,100,100,0.55,0.32,706,7,4750,160,4.4,6,791.7
96,100,100,0.55,0.32,700,2,4761,160,4.4,6,793.5
97,100,100,0.55,0.32,699,1,4763,159,4.4,6,793.8
98,100,100,0.55,0.32,699,0,4764,159,4.4,6,794.0
