Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
75,"(0, 1)",100,100,0.55,0.32,0
75,"(0, 3)",100,100,0.55,0.32,0
75,"(0, 4)",100,100,0.55,0.32,0
75,"(0, 6)",100,100,0.55,0.32,0
75,"(0, 7)",100,100,0.55,0.32,0
75,"(0, 8)",100,100,0.55,0.32,0
75,"(0, 10)",100,100,0.55,0.32,0
75,"(0, 16)",100,100,0.55,0.32,0
75,"(0, 19)",100,100,0.55,0.32,0
75,"(0, 20)",100,100,0.55,0.32,0
75,"(0, 22)",100,100,0.55,0.32,0
75,"(0, 24)",100,100,0.55,0.32,0
75,"(0, 26)",100,100,0.55,0.32,0
75,"(0, 28)",100,100,0.55,0.32,0
75,"(0, 29)",100,100,0.55,0.32,0
75,"(0, 33)",100,100,0.55,0.32,0
75,"(0, 34)",100,100,0.55,0.32,0
75,"(0, 35)",100,100,0.55,0.32,0
75,"(0, 38)",100,100,0.55,0.32,0
75,"(0, 39)",100,100,0.55,0.32,0
75,"(0, 40)",100,100,0.55,0.32,0
75,"(0, 41)",100,100,0.55,0.32,0
75,"(0, 42)",100,100,0.55,0.32,0
75,"(0, 43)",100,100,0.55,0.32,0
75,"(0, 44)",100,100,0.55,0.32,0
75,"(0, 45)",100,100,0.55,0.32,0
75,"(0, 47)",100,100,0.55,0.32,0
75,"(0, 48)",100,100,0.55,0.32,0
75,"(0, 51)",100,100,0.55,0.32,0
75,"(0, 55)",100,100,0.55,0.32,0
75,"(0, 57)",100,100,0.55,0.32,0
75,"(0, 59)",100,100,0.55,0.32,0
75,"(0, 61)",100,100,0.55,0.32,0
75,"(0, 63)",100,100,0.55,0.32,0
75,"(0, 66)",100,100,0.55,0.32,0
75,"(0, 67)",100,100,0.55,0.32,0
75,"(0, 76)",100,100,0.55,0.32,0
75,"(0, 77)",100,100,0.55,0.32,0
75,"(0, 78)",100,100,0.55,0.32,0
75,"(0, 79)",100,100,0.55,0.32,0
75,"(0, 80)",100,100,0.55,0.32,0
75,"(0, 81)",100,100,0.55,0.32,0
75,"(0, 82)",100,100,0.55,0.32,0
75,"(0, 84)",100,100,0.55,0.32,0
75,"(0, 85)",100,100,0.55,0.32,0
75,"(0, 86)",100,100,0.55,0.32,0
75,"(0, 87)",100,100,0.55,0.32,0
75,"(0, 88)",100,100,0.55,0.32,0
75,"(0, 89)",100,100,0.55,0.32,0
75,"(0, 91)",100,100,0.55,0.32,0
75,"(0, 95)",100,100,0.55,0.32,0
75,"(0, 97)",100,100,0.55,0.32,0
75,"(0, 98)",100,100,0.55,0.32,0
75,"(1, 3)",100,100,0.55,0.32,1
75,"(1, 5)",100,100,0.55,0.32,1
75,"(1, 7)",100,100,0.55,0.32,1
75,"(1, 9)",100,100,0.55,0.32,1
75,"(1, 10)",100,100,0.55,0.32,1
75,"(1, 11)",100,100,0.55,0.32,1
75,"(1, 12)",100,100,0.55,0.32,2
75,"(1, 13)",100,100,0.55,0.32,2
75,"(1, 14)",100,100,0.55,0.32,2
75,"(1, 15)",100,100,0.55,0.32,1
75,"(1, 18)",100,100,0.55,0.32,1
75,"(1, 19)",100,100,0.55,0.32,1
75,"(1, 20)",100,100,0.55,0.32,1
75,"(1, 21)",100,100,0.55,0.32,1
75,"(1, 23)",100,100,0.55,0.32,1
75,"(1, 24)",100,100,0.55,0.32,1
75,"(1, 27)",100,100,0.55,0.32,1
75,"(1, 28)",100,100,0.55,0.32,1
75,"(1, 29)",100,100,0.55,0.32,1
75,"(1, 30)",100,100,0.55,0.32,1
75,"(1, 32)",100,100,0.55,0.32,-1
75,"(1, 34)",100,100,0.55,0.32,1
75,"(1, 36)",100,100,0.55,0.32,1
75,"(1, 38)",100,100,0.55,0.32,1
75,"(1, 40)",100,100,0.55,0.32,1
75,"(1, 42)",100,100,0.55,0.32,1
75,"(1, 43)",100,100,0.55,0.32,1
75,"(1, 44)",100,100,0.55,0.32,1
75,"(1, 49)",100,100,0.55,0.32,1
