,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5421,49,0,20,271.1,0,0
1,100,100,0.55,0.32,5356,37,77,25,214.2,18,4.3
2,100,100,0.55,0.32,5269,53,148,29,181.7,14,10.6
3,100,100,0.55,0.32,5178,59,233,35,147.9,8,29.1
4,100,100,0.55,0.32,5109,40,321,30,170.3,5,64.2
5,100,100,0.55,0.32,5048,33,389,34,148.5,5,77.8
6,100,100,0.55,0.32,4967,43,460,39,127.4,4,115.0
7,100,100,0.55,0.32,4910,36,524,35,140.3,3,174.7
8,100,100,0.55,0.32,4842,43,585,39,124.2,3,195.0
9,100,100,0.55,0.32,4777,39,654,42,113.7,3,218.0
10,100,100,0.55,0.32,4713,36,721,44,107.1,3,240.3
11,100,100,0.55,0.32,4641,48,781,44,105.5,3,260.3
12,100,100,0.55,0.32,4574,41,855,49,93.3,3,285.0
13,100,100,0.55,0.32,4530,25,915,46,98.5,3,305.0
14,100,100,0.55,0.32,4490,28,952,51,88.0,3,317.3
15,100,100,0.55,0.32,4441,30,999,46,96.5,3,333.0
16,100,100,0.55,0.32,4403,22,1045,47,93.7,3,348.3
17,100,100,0.55,0.32,4345,31,1094,48,90.5,3,364.7
18,100,100,0.55,0.32,4295,29,1146,50,85.9,3,382.0
19,100,100,0.55,0.32,4243,31,1196,51,83.2,3,398.7
20,100,100,0.55,0.32,4186,37,1247,56,74.8,3,415.7
21,100,100,0.55,0.32,4108,40,1322,58,70.8,3,440.7
22,100,100,0.55,0.32,4032,40,1398,58,69.5,3,466.0
23,100,100,0.55,0.32,3966,36,1468,61,65.0,3,489.3
24,100,100,0.55,0.32,3907,36,1527,71,55.0,2,763.5
25,100,100,0.55,0.32,3861,26,1583,73,52.9,2,791.5
26,100,100,0.55,0.32,3830,17,1623,70,54.7,2,811.5
27,100,100,0.55,0.32,3799,17,1654,70,54.3,2,827.0
28,100,100,0.55,0.32,3773,18,1679,72,52.4,2,839.5
29,100,100,0.55,0.32,3741,20,1709,71,52.7,2,854.5
30,100,100,0.55,0.32,3690,25,1755,77,47.9,2,877.5
31,100,100,0.55,0.32,3654,19,1797,74,49.4,2,898.5
32,100,100,0.55,0.32,3606,23,1841,75,48.1,2,920.5
33,100,100,0.55,0.32,3557,30,1883,80,44.5,2,941.5
34,100,100,0.55,0.32,3506,27,1937,84,41.7,2,968.5
35,100,100,0.55,0.32,3443,32,1995,86,40.0,2,997.5
36,100,100,0.55,0.32,3396,34,2040,85,40.0,2,1020.0
37,100,100,0.55,0.32,3336,39,2095,91,36.7,2,1047.5
38,100,100,0.55,0.32,3272,37,2161,85,38.5,2,1080.5
39,100,100,0.55,0.32,3228,25,2217,85,38.0,2,1108.5
40,100,100,0.55,0.32,3195,21,2254,88,36.3,2,1127.0
