,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5434,60,0,24,226.4,0,0
1,100,100,0.55,0.32,5335,55,104,29,184.0,20,5.2
2,100,100,0.55,0.32,5234,56,204,31,168.8,12,17.0
3,100,100,0.55,0.32,5165,40,289,32,161.4,10,28.9
4,100,100,0.55,0.32,5091,41,362,38,134.0,9,40.2
5,100,100,0.55,0.32,5006,50,438,41,122.1,8,54.8
6,100,100,0.55,0.32,4920,50,524,46,107.0,8,65.5
7,100,100,0.55,0.32,4873,31,590,45,108.3,6,98.3
8,100,100,0.55,0.32,4827,29,638,48,100.6,5,127.6
9,100,100,0.55,0.32,4781,27,686,48,99.6,5,137.2
10,100,100,0.55,0.32,4732,27,735,47,100.7,5,147.0
11,100,100,0.55,0.32,4672,35,787,48,97.3,5,157.4
12,100,100,0.55,0.32,4605,36,853,50,92.1,5,170.6
13,100,100,0.55,0.32,4560,30,904,50,91.2,5,180.8
14,100,100,0.55,0.32,4500,39,955,52,86.5,5,191.0
15,100,100,0.55,0.32,4378,67,1049,62,70.6,5,209.8
16,100,100,0.55,0.32,4267,62,1165,62,68.8,5,233.0
17,100,100,0.55,0.32,4187,47,1260,63,66.5,4,315.0
18,100,100,0.55,0.32,4086,49,1359,68,60.1,4,339.8
19,100,100,0.55,0.32,4023,37,1434,65,61.9,4,358.5
20,100,100,0.55,0.32,3969,35,1490,66,60.1,4,372.5
21,100,100,0.55,0.32,3892,43,1559,70,55.6,4,389.8
22,100,100,0.55,0.32,3813,46,1635,73,52.2,4,408.8
23,100,100,0.55,0.32,3726,43,1725,80,46.6,4,431.2
24,100,100,0.55,0.32,3680,32,1782,80,46.0,4,445.5
25,100,100,0.55,0.32,3633,24,1837,81,44.9,4,459.2
26,100,100,0.55,0.32,3595,28,1871,79,45.5,4,467.8
27,100,100,0.55,0.32,3556,23,1915,79,45.0,4,478.8
28,100,100,0.55,0.32,3508,27,1959,80,43.9,4,489.8
29,100,100,0.55,0.32,3456,34,2004,80,43.2,4,501.0
30,100,100,0.55,0.32,3391,38,2065,88,38.5,4,516.2
31,100,100,0.55,0.32,3313,35,2146,90,36.8,4,536.5
32,100,100,0.55,0.32,3267,22,2205,89,36.7,3,735.0
33,100,100,0.55,0.32,3209,32,2253,93,34.5,3,751.0
34,100,100,0.55,0.32,3173,24,2297,94,33.8,3,765.7
35,100,100,0.55,0.32,3115,31,2348,99,31.5,3,782.7
36,100,100,0.55,0.32,3033,44,2417,98,30.9,3,805.7
37,100,100,0.55,0.32,2957,40,2497,95,31.1,3,832.3
38,100,100,0.55,0.32,2905,30,2559,97,29.9,3,853.0
39,100,100,0.55,0.32,2841,36,2617,97,29.3,3,872.3
40,100,100,0.55,0.32,2769,33,2692,99,28.0,3,897.3
41,100,100,0.55,0.32,2710,33,2751,101,26.8,3,917.0
42,100,100,0.55,0.32,2656,32,2806,100,26.6,3,935.3
43,100,100,0.55,0.32,2606,31,2857,103,25.3,3,952.3
44,100,100,0.55,0.32,2548,38,2908,103,24.7,3,969.3
45,100,100,0.55,0.32,2474,33,2987,108,22.9,3,995.7
46,100,100,0.55,0.32,2414,31,3049,110,21.9,3,1016.3
47,100,100,0.55,0.32,2358,32,3104,112,21.1,3,1034.7
48,100,100,0.55,0.32,2304,25,3165,114,20.2,3,1055.0
49,100,100,0.55,0.32,2264,25,3205,115,19.7,3,1068.3
50,100,100,0.55,0.32,2214,28,3252,115,19.3,3,1084.0
51,100,100,0.55,0.32,2163,29,3302,117,18.5,3,1100.7
52,100,100,0.55,0.32,2094,37,3363,116,18.1,3,1121.0
53,100,100,0.55,0.32,2027,36,3431,120,16.9,3,1143.7
54,100,100,0.55,0.32,1960,37,3497,123,15.9,3,1165.7
55,100,100,0.55,0.32,1918,27,3549,123,15.6,3,1183.0
56,100,100,0.55,0.32,1874,26,3594,127,14.8,3,1198.0
57,100,100,0.55,0.32,1829,23,3642,125,14.6,3,1214.0
58,100,100,0.55,0.32,1781,25,3688,129,13.8,3,1229.3
59,100,100,0.55,0.32,1727,32,3735,133,13.0,3,1245.0
60,100,100,0.55,0.32,1692,23,3779,132,12.8,3,1259.7
61,100,100,0.55,0.32,1658,19,3817,128,13.0,3,1272.3
62,100,100,0.55,0.32,1616,26,3852,129,12.5,3,1284.0
63,100,100,0.55,0.32,1566,27,3901,134,11.7,3,1300.3
64,100,100,0.55,0.32,1506,31,3957,135,11.2,3,1319.0
65,100,100,0.55,0.32,1478,14,4002,135,10.9,3,1334.0
66,100,100,0.55,0.32,1456,11,4027,133,10.9,3,1342.3
67,100,100,0.55,0.32,1442,9,4043,131,11.0,3,1347.7
68,100,100,0.55,0.32,1437,2,4055,130,11.1,3,1351.7
69,100,100,0.55,0.32,1437,0,4057,130,11.1,3,1352.3
