,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5457,49,0,29,188.2,0,0
1,100,100,0.55,0.32,5364,49,93,32,167.6,22,4.2
2,100,100,0.55,0.32,5281,46,179,31,170.4,13,13.8
3,100,100,0.55,0.32,5217,40,249,29,179.9,10,24.9
4,100,100,0.55,0.32,5149,34,323,33,156.0,9,35.9
5,100,100,0.55,0.32,5071,39,396,36,140.9,9,44.0
6,100,100,0.55,0.32,4994,43,469,39,128.1,9,52.1
7,100,100,0.55,0.32,4892,61,553,44,111.2,9,61.4
8,100,100,0.55,0.32,4785,56,665,53,90.3,8,83.1
9,100,100,0.55,0.32,4704,45,757,46,102.3,7,108.1
10,100,100,0.55,0.32,4660,26,820,49,95.1,6,136.7
11,100,100,0.55,0.32,4599,29,878,48,95.8,6,146.3
12,100,100,0.55,0.32,4542,34,930,50,90.8,6,155.0
13,100,100,0.55,0.32,4445,48,1013,55,80.8,6,168.8
14,100,100,0.55,0.32,4389,36,1081,48,91.4,6,180.2
15,100,100,0.55,0.32,4314,43,1149,53,81.4,6,191.5
16,100,100,0.55,0.32,4235,41,1230,55,77.0,6,205.0
17,100,100,0.55,0.32,4159,35,1312,56,74.3,6,218.7
18,100,100,0.55,0.32,4074,43,1389,60,67.9,6,231.5
19,100,100,0.55,0.32,3994,41,1471,61,65.5,6,245.2
20,100,100,0.55,0.32,3919,45,1542,64,61.2,6,257.0
21,100,100,0.55,0.32,3814,59,1633,71,53.7,6,272.2
22,100,100,0.55,0.32,3746,40,1720,68,55.1,6,286.7
23,100,100,0.55,0.32,3665,56,1785,66,55.5,6,297.5
24,100,100,0.55,0.32,3568,62,1876,73,48.9,6,312.7
25,100,100,0.55,0.32,3468,58,1980,73,47.5,6,330.0
26,100,100,0.55,0.32,3397,45,2064,75,45.3,6,344.0
27,100,100,0.55,0.32,3318,48,2140,81,41.0,6,356.7
28,100,100,0.55,0.32,3215,56,2235,89,36.1,6,372.5
29,100,100,0.55,0.32,3149,41,2316,89,35.4,6,386.0
30,100,100,0.55,0.32,3055,60,2391,89,34.3,6,398.5
31,100,100,0.55,0.32,2928,72,2506,96,30.5,6,417.7
32,100,100,0.55,0.32,2785,72,2649,94,29.6,5,529.8
33,100,100,0.55,0.32,2648,74,2784,100,26.5,5,556.8
34,100,100,0.55,0.32,2496,79,2931,104,24.0,5,586.2
35,100,100,0.55,0.32,2376,69,3061,104,22.8,5,612.2
36,100,100,0.55,0.32,2261,56,3189,104,21.7,5,637.8
37,100,100,0.55,0.32,2171,56,3279,107,20.3,5,655.8
38,100,100,0.55,0.32,2090,49,3367,107,19.5,5,673.4
39,100,100,0.55,0.32,1994,56,3456,111,18.0,5,691.2
40,100,100,0.55,0.32,1872,64,3570,110,17.0,5,714.0
41,100,100,0.55,0.32,1782,50,3674,113,15.8,5,734.8
42,100,100,0.55,0.32,1688,53,3765,119,14.2,5,753.0
43,100,100,0.55,0.32,1584,53,3869,121,13.1,5,773.8
44,100,100,0.55,0.32,1508,42,3956,125,12.1,5,791.2
45,100,100,0.55,0.32,1428,45,4033,129,11.1,5,806.6
46,100,100,0.55,0.32,1325,59,4122,130,10.2,5,824.4
47,100,100,0.55,0.32,1236,46,4224,134,9.2,5,844.8
48,100,100,0.55,0.32,1163,42,4301,128,9.1,5,860.2
49,100,100,0.55,0.32,1094,36,4376,133,8.2,5,875.2
50,100,100,0.55,0.32,1021,43,4442,139,7.3,5,888.4
51,100,100,0.55,0.32,978,25,4503,135,7.2,5,900.6
52,100,100,0.55,0.32,937,26,4543,140,6.7,5,908.6
53,100,100,0.55,0.32,880,34,4592,147,6.0,5,918.4
54,100,100,0.55,0.32,830,26,4650,150,5.5,5,930.0
55,100,100,0.55,0.32,785,24,4697,154,5.1,5,939.4
56,100,100,0.55,0.32,755,18,4733,156,4.8,5,946.6
57,100,100,0.55,0.32,728,12,4766,156,4.7,5,953.2
58,100,100,0.55,0.32,711,9,4786,157,4.5,5,957.2
59,100,100,0.55,0.32,697,8,4801,154,4.5,5,960.2
60,100,100,0.55,0.32,687,7,4812,154,4.5,5,962.4
61,100,100,0.55,0.32,663,13,4830,153,4.3,5,966.0
62,100,100,0.55,0.32,645,9,4852,154,4.2,5,970.4
63,100,100,0.55,0.32,633,9,4864,156,4.1,5,972.8
64,100,100,0.55,0.32,623,4,4879,153,4.1,5,975.8
65,100,100,0.55,0.32,617,3,4886,154,4.0,5,977.2
66,100,100,0.55,0.32,612,2,4892,154,4.0,5,978.4
67,100,100,0.55,0.32,602,6,4898,154,3.9,5,979.6
68,100,100,0.55,0.32,596,2,4908,155,3.8,5,981.6
69,100,100,0.55,0.32,595,1,4910,155,3.8,5,982.0
70,100,100,0.55,0.32,593,2,4911,155,3.8,5,982.2
71,100,100,0.55,0.32,590,2,4914,155,3.8,5,982.8
72,100,100,0.55,0.32,588,2,4916,155,3.8,5,983.2
73,100,100,0.55,0.32,587,1,4918,155,3.8,5,983.6
74,100,100,0.55,0.32,582,0,4924,154,3.8,5,984.8
