Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
85,"(0, 1)",100,100,0.55,0.32,0
85,"(0, 3)",100,100,0.55,0.32,0
85,"(0, 4)",100,100,0.55,0.32,0
85,"(0, 6)",100,100,0.55,0.32,0
85,"(0, 7)",100,100,0.55,0.32,0
85,"(0, 8)",100,100,0.55,0.32,0
85,"(0, 9)",100,100,0.55,0.32,0
85,"(0, 10)",100,100,0.55,0.32,0
85,"(0, 13)",100,100,0.55,0.32,0
85,"(0, 14)",100,100,0.55,0.32,0
85,"(0, 16)",100,100,0.55,0.32,0
85,"(0, 17)",100,100,0.55,0.32,0
85,"(0, 20)",100,100,0.55,0.32,0
85,"(0, 21)",100,100,0.55,0.32,0
85,"(0, 22)",100,100,0.55,0.32,0
85,"(0, 23)",100,100,0.55,0.32,0
85,"(0, 24)",100,100,0.55,0.32,0
85,"(0, 26)",100,100,0.55,0.32,0
85,"(0, 28)",100,100,0.55,0.32,0
85,"(0, 32)",100,100,0.55,0.32,0
85,"(0, 33)",100,100,0.55,0.32,0
85,"(0, 34)",100,100,0.55,0.32,0
85,"(0, 35)",100,100,0.55,0.32,0
85,"(0, 36)",100,100,0.55,0.32,0
85,"(0, 37)",100,100,0.55,0.32,0
85,"(0, 38)",100,100,0.55,0.32,0
85,"(0, 39)",100,100,0.55,0.32,0
85,"(0, 40)",100,100,0.55,0.32,0
85,"(0, 45)",100,100,0.55,0.32,0
85,"(0, 46)",100,100,0.55,0.32,0
85,"(0, 47)",100,100,0.55,0.32,0
85,"(0, 48)",100,100,0.55,0.32,0
85,"(0, 50)",100,100,0.55,0.32,0
85,"(0, 51)",100,100,0.55,0.32,0
85,"(0, 52)",100,100,0.55,0.32,0
85,"(0, 55)",100,100,0.55,0.32,0
85,"(0, 56)",100,100,0.55,0.32,0
85,"(0, 57)",100,100,0.55,0.32,0
85,"(0, 58)",100,100,0.55,0.32,0
85,"(0, 59)",100,100,0.55,0.32,0
85,"(0, 62)",100,100,0.55,0.32,0
85,"(0, 64)",100,100,0.55,0.32,0
85,"(0, 65)",100,100,0.55,0.32,0
85,"(0, 69)",100,100,0.55,0.32,0
