,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5466,48,0,18,303.7,0,0
1,100,100,0.55,0.32,5397,45,72,19,284.1,24,3.0
2,100,100,0.55,0.32,5309,53,152,23,230.8,15,10.1
3,100,100,0.55,0.32,5186,61,267,24,216.1,9,29.7
4,100,100,0.55,0.32,5102,47,365,26,196.2,6,60.8
5,100,100,0.55,0.32,5034,36,444,34,148.1,6,74.0
6,100,100,0.55,0.32,4984,23,507,29,171.9,5,101.4
7,100,100,0.55,0.32,4947,22,545,30,164.9,5,109.0
8,100,100,0.55,0.32,4898,29,587,29,168.9,5,117.4
9,100,100,0.55,0.32,4858,20,636,34,142.9,5,127.2
10,100,100,0.55,0.32,4774,39,701,41,116.4,5,140.2
11,100,100,0.55,0.32,4710,40,764,39,120.8,4,191.0
12,100,100,0.55,0.32,4662,29,823,44,106.0,4,205.8
13,100,100,0.55,0.32,4614,26,874,42,109.9,4,218.5
14,100,100,0.55,0.32,4572,24,918,41,111.5,4,229.5
15,100,100,0.55,0.32,4535,23,956,41,110.6,4,239.0
16,100,100,0.55,0.32,4486,38,990,43,104.3,4,247.5
17,100,100,0.55,0.32,4397,52,1065,47,93.6,4,266.2
18,100,100,0.55,0.32,4293,51,1170,55,78.1,4,292.5
19,100,100,0.55,0.32,4229,43,1242,54,78.3,4,310.5
20,100,100,0.55,0.32,4125,48,1341,57,72.4,4,335.2
21,100,100,0.55,0.32,4044,47,1423,58,69.7,4,355.8
22,100,100,0.55,0.32,3946,48,1520,55,71.7,4,380.0
23,100,100,0.55,0.32,3860,51,1603,62,62.3,4,400.8
24,100,100,0.55,0.32,3742,54,1718,62,60.4,4,429.5
25,100,100,0.55,0.32,3625,57,1832,65,55.8,4,458.0
26,100,100,0.55,0.32,3522,63,1929,71,49.6,4,482.2
27,100,100,0.55,0.32,3422,56,2036,74,46.2,4,509.0
28,100,100,0.55,0.32,3334,43,2137,75,44.5,4,534.2
29,100,100,0.55,0.32,3235,59,2220,82,39.5,4,555.0
30,100,100,0.55,0.32,3144,53,2317,83,37.9,4,579.2
31,100,100,0.55,0.32,3043,67,2404,86,35.4,4,601.0
32,100,100,0.55,0.32,2952,54,2508,89,33.2,4,627.0
33,100,100,0.55,0.32,2851,62,2601,94,30.3,4,650.2
34,100,100,0.55,0.32,2741,61,2712,97,28.3,4,678.0
35,100,100,0.55,0.32,2621,67,2826,102,25.7,4,706.5
36,100,100,0.55,0.32,2531,51,2932,102,24.8,4,733.0
37,100,100,0.55,0.32,2450,40,3024,110,22.3,4,756.0
38,100,100,0.55,0.32,2376,42,3096,107,22.2,4,774.0
39,100,100,0.55,0.32,2309,36,3169,108,21.4,4,792.2
40,100,100,0.55,0.32,2266,27,3221,111,20.4,4,805.2
41,100,100,0.55,0.32,2232,17,3265,111,20.1,4,816.2
42,100,100,0.55,0.32,2181,25,3308,111,19.6,4,827.0
43,100,100,0.55,0.32,2147,22,3345,111,19.3,4,836.2
44,100,100,0.55,0.32,2076,37,3401,115,18.1,4,850.2
45,100,100,0.55,0.32,1999,40,3475,115,17.4,4,868.8
46,100,100,0.55,0.32,1880,67,3567,121,15.5,4,891.8
47,100,100,0.55,0.32,1767,59,3688,121,14.6,4,922.0
48,100,100,0.55,0.32,1672,53,3789,130,12.9,4,947.2
49,100,100,0.55,0.32,1561,58,3895,140,11.2,4,973.8
50,100,100,0.55,0.32,1466,49,3999,143,10.3,4,999.8
51,100,100,0.55,0.32,1378,47,4089,149,9.2,4,1022.2
52,100,100,0.55,0.32,1264,56,4194,151,8.4,4,1048.5
53,100,100,0.55,0.32,1170,54,4290,153,7.6,4,1072.5
54,100,100,0.55,0.32,1096,45,4373,153,7.2,4,1093.2
55,100,100,0.55,0.32,1029,43,4442,154,6.7,4,1110.5
56,100,100,0.55,0.32,992,22,4500,147,6.7,4,1125.0
57,100,100,0.55,0.32,947,22,4545,151,6.3,4,1136.2
58,100,100,0.55,0.32,887,33,4594,156,5.7,4,1148.5
59,100,100,0.55,0.32,825,36,4653,159,5.2,4,1163.2
60,100,100,0.55,0.32,777,26,4711,161,4.8,4,1177.8
61,100,100,0.55,0.32,748,14,4752,157,4.8,4,1188.0
62,100,100,0.55,0.32,722,13,4779,162,4.5,4,1194.8
63,100,100,0.55,0.32,708,10,4796,159,4.5,4,1199.0
64,100,100,0.55,0.32,687,10,4817,158,4.3,4,1204.2
65,100,100,0.55,0.32,672,10,4832,160,4.2,4,1208.0
66,100,100,0.55,0.32,664,3,4847,160,4.2,4,1211.8
67,100,100,0.55,0.32,661,0,4853,158,4.2,4,1213.2
