,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5431,57,0,19,285.8,0,0
1,100,100,0.55,0.32,5337,47,104,24,222.4,18,5.8
2,100,100,0.55,0.32,5252,48,188,21,250.1,13,14.5
3,100,100,0.55,0.32,5187,43,258,26,199.5,8,32.2
4,100,100,0.55,0.32,5084,53,351,29,175.3,7,50.1
5,100,100,0.55,0.32,4984,57,447,34,146.6,6,74.5
6,100,100,0.55,0.32,4913,41,534,32,153.5,4,133.5
7,100,100,0.55,0.32,4846,38,604,34,142.5,4,151.0
8,100,100,0.55,0.32,4787,31,670,32,149.6,4,167.5
9,100,100,0.55,0.32,4723,43,722,36,131.2,4,180.5
10,100,100,0.55,0.32,4613,53,822,39,118.3,4,205.5
11,100,100,0.55,0.32,4534,50,904,40,113.3,4,226.0
12,100,100,0.55,0.32,4423,61,1004,47,94.1,4,251.0
13,100,100,0.55,0.32,4327,60,1101,47,92.1,4,275.2
14,100,100,0.55,0.32,4223,62,1203,55,76.8,4,300.8
15,100,100,0.55,0.32,4117,58,1313,56,73.5,3,437.7
16,100,100,0.55,0.32,4030,36,1422,58,69.5,3,474.0
17,100,100,0.55,0.32,3967,37,1484,64,62.0,3,494.7
18,100,100,0.55,0.32,3914,32,1542,59,66.3,3,514.0
19,100,100,0.55,0.32,3855,32,1601,60,64.2,3,533.7
20,100,100,0.55,0.32,3762,48,1678,66,57.0,3,559.3
21,100,100,0.55,0.32,3682,41,1765,68,54.1,3,588.3
22,100,100,0.55,0.32,3619,31,1838,70,51.7,3,612.7
23,100,100,0.55,0.32,3556,38,1894,71,50.1,3,631.3
24,100,100,0.55,0.32,3482,41,1965,79,44.1,3,655.0
25,100,100,0.55,0.32,3429,37,2022,77,44.5,3,674.0
26,100,100,0.55,0.32,3359,37,2092,81,41.5,3,697.3
27,100,100,0.55,0.32,3299,33,2156,82,40.2,3,718.7
28,100,100,0.55,0.32,3221,43,2224,83,38.8,3,741.3
29,100,100,0.55,0.32,3149,39,2300,93,33.9,3,766.7
30,100,100,0.55,0.32,3109,29,2350,91,34.2,3,783.3
31,100,100,0.55,0.32,3068,25,2395,92,33.3,3,798.3
32,100,100,0.55,0.32,3034,18,2436,92,33.0,3,812.0
33,100,100,0.55,0.32,2989,23,2476,91,32.8,3,825.3
34,100,100,0.55,0.32,2942,25,2521,93,31.6,3,840.3
35,100,100,0.55,0.32,2884,32,2572,93,31.0,3,857.3
36,100,100,0.55,0.32,2816,35,2637,96,29.3,3,879.0
37,100,100,0.55,0.32,2774,23,2691,99,28.0,3,897.0
38,100,100,0.55,0.32,2726,24,2738,103,26.5,3,912.7
39,100,100,0.55,0.32,2698,18,2772,104,25.9,3,924.0
40,100,100,0.55,0.32,2671,13,2804,98,27.3,3,934.7
41,100,100,0.55,0.32,2649,12,2827,99,26.8,3,942.3
42,100,100,0.55,0.32,2603,21,2864,100,26.0,3,954.7
43,100,100,0.55,0.32,2545,29,2914,102,25.0,3,971.3
44,100,100,0.55,0.32,2491,29,2968,101,24.7,3,989.3
45,100,100,0.55,0.32,2436,32,3020,103,23.7,3,1006.7
46,100,100,0.55,0.32,2366,39,3083,106,22.3,3,1027.7
47,100,100,0.55,0.32,2308,33,3147,104,22.2,3,1049.0
48,100,100,0.55,0.32,2231,40,3217,112,19.9,3,1072.3
49,100,100,0.55,0.32,2161,38,3289,113,19.1,3,1096.3
50,100,100,0.55,0.32,2108,31,3349,114,18.5,3,1116.3
51,100,100,0.55,0.32,2043,35,3410,118,17.3,3,1136.7
52,100,100,0.55,0.32,1963,52,3473,120,16.4,3,1157.7
53,100,100,0.55,0.32,1837,64,3587,124,14.8,3,1195.7
54,100,100,0.55,0.32,1722,62,3704,122,14.1,3,1234.7
55,100,100,0.55,0.32,1616,59,3813,125,12.9,3,1271.0
56,100,100,0.55,0.32,1535,46,3907,125,12.3,3,1302.3
57,100,100,0.55,0.32,1464,40,3984,123,11.9,3,1328.0
58,100,100,0.55,0.32,1376,56,4056,130,10.6,3,1352.0
59,100,100,0.55,0.32,1294,42,4152,136,9.5,3,1384.0
60,100,100,0.55,0.32,1227,39,4222,135,9.1,3,1407.3
61,100,100,0.55,0.32,1186,25,4277,136,8.7,3,1425.7
62,100,100,0.55,0.32,1151,21,4316,138,8.3,3,1438.7
63,100,100,0.55,0.32,1117,20,4351,138,8.1,3,1450.3
64,100,100,0.55,0.32,1089,21,4378,139,7.8,3,1459.3
65,100,100,0.55,0.32,1049,27,4412,142,7.4,3,1470.7
66,100,100,0.55,0.32,1026,12,4450,142,7.2,3,1483.3
67,100,100,0.55,0.32,983,22,4483,144,6.8,3,1494.3
68,100,100,0.55,0.32,953,16,4519,149,6.4,3,1506.3
69,100,100,0.55,0.32,932,15,4541,150,6.2,3,1513.7
70,100,100,0.55,0.32,907,17,4564,148,6.1,3,1521.3
71,100,100,0.55,0.32,873,20,4595,154,5.7,3,1531.7
72,100,100,0.55,0.32,820,27,4641,155,5.3,3,1547.0
73,100,100,0.55,0.32,761,32,4695,156,4.9,3,1565.0
74,100,100,0.55,0.32,730,18,4740,157,4.6,3,1580.0
75,100,100,0.55,0.32,697,18,4773,155,4.5,3,1591.0
76,100,100,0.55,0.32,685,8,4795,158,4.3,3,1598.3
77,100,100,0.55,0.32,673,7,4808,155,4.3,3,1602.7
78,100,100,0.55,0.32,665,4,4819,156,4.3,3,1606.3
79,100,100,0.55,0.32,663,2,4823,155,4.3,3,1607.7
80,100,100,0.55,0.32,662,1,4825,155,4.3,3,1608.3
81,100,100,0.55,0.32,647,8,4833,157,4.1,3,1611.0
82,100,100,0.55,0.32,639,6,4843,155,4.1,3,1614.3
83,100,100,0.55,0.32,639,0,4849,155,4.1,3,1616.3
