,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5401,47,0,24,225.0,0,0
1,100,100,0.55,0.32,5329,37,82,23,231.7,15,5.5
2,100,100,0.55,0.32,5252,39,157,25,210.1,12,13.1
3,100,100,0.55,0.32,5189,32,227,30,173.0,9,25.2
4,100,100,0.55,0.32,5140,29,279,27,190.4,9,31.0
5,100,100,0.55,0.32,5077,35,336,29,175.1,9,37.3
6,100,100,0.55,0.32,5017,29,402,26,193.0,9,44.7
7,100,100,0.55,0.32,4958,37,453,29,171.0,9,50.3
8,100,100,0.55,0.32,4879,45,524,32,152.5,8,65.5
9,100,100,0.55,0.32,4814,37,597,35,137.5,8,74.6
10,100,100,0.55,0.32,4749,37,662,38,125.0,7,94.6
11,100,100,0.55,0.32,4677,48,723,41,114.1,7,103.3
12,100,100,0.55,0.32,4605,43,800,49,94.0,7,114.3
13,100,100,0.55,0.32,4522,39,887,48,94.2,6,147.8
14,100,100,0.55,0.32,4457,35,956,47,94.8,6,159.3
15,100,100,0.55,0.32,4409,26,1013,47,93.8,6,168.8
16,100,100,0.55,0.32,4355,26,1067,47,92.7,5,213.4
17,100,100,0.55,0.32,4271,48,1129,53,80.6,5,225.8
18,100,100,0.55,0.32,4179,48,1221,57,73.3,5,244.2
19,100,100,0.55,0.32,4116,40,1292,60,68.6,5,258.4
20,100,100,0.55,0.32,4053,40,1355,59,68.7,4,338.8
21,100,100,0.55,0.32,3992,35,1421,60,66.5,4,355.2
22,100,100,0.55,0.32,3943,38,1467,62,63.6,4,366.8
23,100,100,0.55,0.32,3894,33,1521,64,60.8,4,380.2
24,100,100,0.55,0.32,3838,30,1580,66,58.2,4,395.0
25,100,100,0.55,0.32,3770,44,1634,69,54.6,4,408.5
26,100,100,0.55,0.32,3702,42,1704,66,56.1,4,426.0
27,100,100,0.55,0.32,3626,44,1778,70,51.8,4,444.5
28,100,100,0.55,0.32,3553,47,1848,72,49.3,4,462.0
29,100,100,0.55,0.32,3464,47,1937,75,46.2,4,484.2
30,100,100,0.55,0.32,3359,59,2030,84,40.0,4,507.5
31,100,100,0.55,0.32,3268,53,2127,88,37.1,4,531.8
32,100,100,0.55,0.32,3152,59,2237,99,31.8,4,559.2
33,100,100,0.55,0.32,3030,75,2343,94,32.2,4,585.8
34,100,100,0.55,0.32,2921,64,2463,100,29.2,4,615.8
35,100,100,0.55,0.32,2831,48,2569,103,27.5,4,642.2
36,100,100,0.55,0.32,2704,71,2673,107,25.3,4,668.2
37,100,100,0.55,0.32,2589,58,2801,99,26.2,4,700.2
38,100,100,0.55,0.32,2487,70,2891,104,23.9,4,722.8
39,100,100,0.55,0.32,2376,74,2998,115,20.7,4,749.5
40,100,100,0.55,0.32,2228,82,3138,120,18.6,4,784.5
41,100,100,0.55,0.32,2111,59,3278,120,17.6,4,819.5
42,100,100,0.55,0.32,2024,41,3383,122,16.6,4,845.8
43,100,100,0.55,0.32,1949,47,3452,127,15.3,4,863.0
44,100,100,0.55,0.32,1875,44,3529,129,14.5,4,882.2
45,100,100,0.55,0.32,1788,48,3612,133,13.4,4,903.0
46,100,100,0.55,0.32,1696,46,3706,133,12.8,4,926.5
47,100,100,0.55,0.32,1626,41,3781,137,11.9,4,945.2
48,100,100,0.55,0.32,1568,31,3849,142,11.0,4,962.2
49,100,100,0.55,0.32,1508,34,3906,142,10.6,4,976.5
50,100,100,0.55,0.32,1431,39,3978,147,9.7,4,994.5
51,100,100,0.55,0.32,1350,44,4054,155,8.7,4,1013.5
52,100,100,0.55,0.32,1298,31,4119,159,8.2,4,1029.8
53,100,100,0.55,0.32,1247,31,4170,155,8.0,4,1042.5
54,100,100,0.55,0.32,1212,23,4213,153,7.9,4,1053.2
55,100,100,0.55,0.32,1175,22,4251,156,7.5,4,1062.8
56,100,100,0.55,0.32,1136,19,4293,157,7.2,4,1073.2
57,100,100,0.55,0.32,1085,32,4331,163,6.7,4,1082.8
58,100,100,0.55,0.32,1036,26,4386,165,6.3,4,1096.5
59,100,100,0.55,0.32,973,37,4438,168,5.8,4,1109.5
60,100,100,0.55,0.32,902,37,4509,172,5.2,4,1127.2
61,100,100,0.55,0.32,856,31,4561,172,5.0,4,1140.2
62,100,100,0.55,0.32,789,35,4624,174,4.5,4,1156.0
63,100,100,0.55,0.32,739,22,4687,170,4.3,4,1171.8
64,100,100,0.55,0.32,700,23,4725,174,4.0,4,1181.2
65,100,100,0.55,0.32,683,8,4757,169,4.0,4,1189.2
66,100,100,0.55,0.32,671,6,4771,172,3.9,4,1192.8
67,100,100,0.55,0.32,648,14,4786,171,3.8,4,1196.5
68,100,100,0.55,0.32,622,13,4813,172,3.6,4,1203.2
69,100,100,0.55,0.32,589,20,4839,173,3.4,4,1209.8
70,100,100,0.55,0.32,571,14,4863,174,3.3,4,1215.8
71,100,100,0.55,0.32,551,10,4887,176,3.1,4,1221.8
72,100,100,0.55,0.32,523,14,4911,176,3.0,4,1227.8
73,100,100,0.55,0.32,514,5,4929,176,2.9,4,1232.2
74,100,100,0.55,0.32,505,3,4940,175,2.9,4,1235.0
75,100,100,0.55,0.32,504,1,4943,174,2.9,4,1235.8
76,100,100,0.55,0.32,504,0,4944,174,2.9,4,1236.0
