,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5413,55,0,26,208.2,0,0
1,100,100,0.55,0.32,5335,37,96,29,184.0,23,4.2
2,100,100,0.55,0.32,5279,30,159,26,203.0,14,11.4
3,100,100,0.55,0.32,5222,28,218,27,193.4,10,21.8
4,100,100,0.55,0.32,5170,27,271,29,178.3,7,38.7
5,100,100,0.55,0.32,5112,33,323,30,170.4,7,46.1
6,100,100,0.55,0.32,5048,38,382,34,148.5,6,63.7
7,100,100,0.55,0.32,4982,32,454,37,134.6,6,75.7
8,100,100,0.55,0.32,4931,27,510,37,133.3,5,102.0
9,100,100,0.55,0.32,4877,27,564,41,119.0,5,112.8
10,100,100,0.55,0.32,4845,19,604,41,118.2,5,120.8
11,100,100,0.55,0.32,4795,24,649,43,111.5,5,129.8
12,100,100,0.55,0.32,4762,21,685,43,110.7,5,137.0
13,100,100,0.55,0.32,4731,18,719,48,98.6,5,143.8
14,100,100,0.55,0.32,4674,32,762,47,99.4,5,152.4
15,100,100,0.55,0.32,4616,35,817,52,88.8,5,163.4
16,100,100,0.55,0.32,4569,30,869,58,78.8,5,173.8
17,100,100,0.55,0.32,4510,27,931,54,83.5,4,232.8
18,100,100,0.55,0.32,4459,29,980,52,85.8,4,245.0
19,100,100,0.55,0.32,4432,18,1018,51,86.9,4,254.5
20,100,100,0.55,0.32,4384,26,1058,57,76.9,4,264.5
21,100,100,0.55,0.32,4320,39,1109,56,77.1,4,277.2
22,100,100,0.55,0.32,4277,25,1166,60,71.3,4,291.5
23,100,100,0.55,0.32,4245,19,1204,57,74.5,4,301.0
24,100,100,0.55,0.32,4214,21,1233,56,75.2,4,308.2
25,100,100,0.55,0.32,4168,29,1271,59,70.6,4,317.8
26,100,100,0.55,0.32,4112,36,1320,60,68.5,4,330.0
27,100,100,0.55,0.32,4062,26,1380,60,67.7,4,345.0
28,100,100,0.55,0.32,3984,45,1439,63,63.2,4,359.8
29,100,100,0.55,0.32,3901,47,1520,70,55.7,4,380.0
30,100,100,0.55,0.32,3793,59,1616,72,52.7,4,404.0
31,100,100,0.55,0.32,3668,68,1732,75,48.9,4,433.0
32,100,100,0.55,0.32,3529,81,1858,84,42.0,4,464.5
33,100,100,0.55,0.32,3382,74,2012,94,36.0,4,503.0
34,100,100,0.55,0.32,3282,61,2125,87,37.7,4,531.2
35,100,100,0.55,0.32,3173,60,2235,90,35.3,4,558.8
