,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5520,50,0,22,250.9,0,0
1,100,100,0.55,0.32,5469,35,66,23,237.8,19,3.5
2,100,100,0.55,0.32,5398,38,134,24,224.9,12,11.2
3,100,100,0.55,0.32,5326,45,199,27,197.3,11,18.1
4,100,100,0.55,0.32,5250,49,271,30,175.0,10,27.1
5,100,100,0.55,0.32,5157,48,365,29,177.8,7,52.1
6,100,100,0.55,0.32,5073,59,438,29,174.9,6,73.0
7,100,100,0.55,0.32,4993,48,529,32,156.0,5,105.8
8,100,100,0.55,0.32,4938,35,597,33,149.6,4,149.2
9,100,100,0.55,0.32,4870,35,665,35,139.1,2,332.5
10,100,100,0.55,0.32,4794,46,730,36,133.2,2,365.0
11,100,100,0.55,0.32,4687,61,822,45,104.2,2,411.0
12,100,100,0.55,0.32,4617,42,911,44,104.9,2,455.5
13,100,100,0.55,0.32,4573,27,970,45,101.6,2,485.0
14,100,100,0.55,0.32,4526,29,1015,45,100.6,2,507.5
15,100,100,0.55,0.32,4479,27,1064,45,99.5,2,532.0
16,100,100,0.55,0.32,4399,46,1125,47,93.6,2,562.5
17,100,100,0.55,0.32,4351,27,1192,50,87.0,2,596.0
18,100,100,0.55,0.32,4312,23,1235,51,84.5,2,617.5
19,100,100,0.55,0.32,4272,23,1275,50,85.4,2,637.5
20,100,100,0.55,0.32,4250,13,1307,51,83.3,2,653.5
21,100,100,0.55,0.32,4229,10,1331,51,82.9,2,665.5
22,100,100,0.55,0.32,4210,13,1347,53,79.4,2,673.5
23,100,100,0.55,0.32,4201,6,1363,52,80.8,2,681.5
24,100,100,0.55,0.32,4196,2,1372,52,80.7,2,686.0
25,100,100,0.55,0.32,4194,1,1375,52,80.7,2,687.5
26,100,100,0.55,0.32,4194,0,1376,52,80.7,2,688.0
