,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5483,58,0,18,304.6,0,0
1,100,100,0.55,0.32,5396,48,97,19,284.0,22,4.4
2,100,100,0.55,0.32,5320,46,175,24,221.7,15,11.7
3,100,100,0.55,0.32,5213,62,266,25,208.5,13,20.5
4,100,100,0.55,0.32,5103,67,371,29,176.0,7,53.0
5,100,100,0.55,0.32,5001,53,487,32,156.3,6,81.2
6,100,100,0.55,0.32,4922,47,572,31,158.8,3,190.7
7,100,100,0.55,0.32,4859,42,640,35,138.8,3,213.3
8,100,100,0.55,0.32,4806,30,705,37,129.9,3,235.0
9,100,100,0.55,0.32,4760,32,749,36,132.2,3,249.7
10,100,100,0.55,0.32,4703,33,805,39,120.6,3,268.3
11,100,100,0.55,0.32,4643,24,874,41,113.2,3,291.3
12,100,100,0.55,0.32,4595,26,920,40,114.9,3,306.7
13,100,100,0.55,0.32,4551,22,968,40,113.8,3,322.7
14,100,100,0.55,0.32,4503,29,1009,44,102.3,3,336.3
15,100,100,0.55,0.32,4458,27,1056,40,111.5,3,352.0
16,100,100,0.55,0.32,4391,35,1115,42,104.5,3,371.7
17,100,100,0.55,0.32,4327,41,1173,43,100.6,3,391.0
18,100,100,0.55,0.32,4220,58,1263,50,84.4,3,421.0
19,100,100,0.55,0.32,4114,61,1366,50,82.3,3,455.3
20,100,100,0.55,0.32,4013,56,1472,52,77.2,3,490.7
21,100,100,0.55,0.32,3954,37,1550,49,80.7,3,516.7
22,100,100,0.55,0.32,3886,43,1612,55,70.7,3,537.3
23,100,100,0.55,0.32,3802,44,1695,61,62.3,3,565.0
24,100,100,0.55,0.32,3711,47,1783,67,55.4,3,594.3
25,100,100,0.55,0.32,3636,37,1868,68,53.5,3,622.7
26,100,100,0.55,0.32,3594,19,1928,65,55.3,3,642.7
27,100,100,0.55,0.32,3555,20,1966,65,54.7,3,655.3
28,100,100,0.55,0.32,3510,27,2004,67,52.4,3,668.0
29,100,100,0.55,0.32,3480,20,2041,71,49.0,3,680.3
30,100,100,0.55,0.32,3436,25,2080,69,49.8,3,693.3
31,100,100,0.55,0.32,3403,21,2117,69,49.3,3,705.7
32,100,100,0.55,0.32,3365,20,2156,69,48.8,3,718.7
33,100,100,0.55,0.32,3336,18,2187,70,47.7,3,729.0
34,100,100,0.55,0.32,3307,19,2215,70,47.2,3,738.3
35,100,100,0.55,0.32,3277,23,2241,76,43.1,3,747.0
36,100,100,0.55,0.32,3230,27,2284,77,41.9,3,761.3
37,100,100,0.55,0.32,3185,25,2331,74,43.0,3,777.0
38,100,100,0.55,0.32,3136,30,2375,73,43.0,3,791.7
39,100,100,0.55,0.32,3074,35,2432,75,41.0,3,810.7
40,100,100,0.55,0.32,3017,36,2488,76,39.7,3,829.3
41,100,100,0.55,0.32,2962,34,2545,79,37.5,3,848.3
42,100,100,0.55,0.32,2915,25,2601,78,37.4,3,867.0
43,100,100,0.55,0.32,2867,30,2644,80,35.8,3,881.3
44,100,100,0.55,0.32,2800,43,2698,81,34.6,3,899.3
45,100,100,0.55,0.32,2718,47,2776,85,32.0,3,925.3
46,100,100,0.55,0.32,2639,47,2855,93,28.4,3,951.7
47,100,100,0.55,0.32,2578,42,2921,94,27.4,3,973.7
48,100,100,0.55,0.32,2508,46,2987,94,26.7,3,995.7
49,100,100,0.55,0.32,2425,46,3070,99,24.5,3,1023.3
50,100,100,0.55,0.32,2342,52,3147,100,23.4,3,1049.0
51,100,100,0.55,0.32,2254,55,3232,102,22.1,3,1077.3
52,100,100,0.55,0.32,2137,60,3344,106,20.2,3,1114.7
53,100,100,0.55,0.32,2029,64,3448,112,18.1,3,1149.3
54,100,100,0.55,0.32,1932,53,3556,111,17.4,3,1185.3
55,100,100,0.55,0.32,1842,49,3650,114,16.2,3,1216.7
56,100,100,0.55,0.32,1726,71,3744,123,14.0,3,1248.0
57,100,100,0.55,0.32,1621,60,3860,128,12.7,3,1286.7
58,100,100,0.55,0.32,1534,55,3952,135,11.4,3,1317.3
59,100,100,0.55,0.32,1457,40,4044,133,11.0,3,1348.0
60,100,100,0.55,0.32,1365,49,4127,135,10.1,3,1375.7
61,100,100,0.55,0.32,1283,53,4205,137,9.4,3,1401.7
62,100,100,0.55,0.32,1177,58,4306,140,8.4,3,1435.3
63,100,100,0.55,0.32,1076,56,4409,143,7.5,3,1469.7
64,100,100,0.55,0.32,974,59,4508,146,6.7,3,1502.7
65,100,100,0.55,0.32,894,45,4602,153,5.8,3,1534.0
66,100,100,0.55,0.32,826,33,4682,149,5.5,3,1560.7
67,100,100,0.55,0.32,784,26,4731,151,5.2,3,1577.0
68,100,100,0.55,0.32,754,22,4765,151,5.0,3,1588.3
69,100,100,0.55,0.32,722,18,4801,159,4.5,3,1600.3
70,100,100,0.55,0.32,699,19,4823,154,4.5,3,1607.7
71,100,100,0.55,0.32,680,12,4849,151,4.5,3,1616.3
72,100,100,0.55,0.32,671,2,4868,151,4.4,3,1622.7
73,100,100,0.55,0.32,665,3,4873,150,4.4,3,1624.3
74,100,100,0.55,0.32,665,0,4876,150,4.4,3,1625.3
