,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5426,65,0,19,285.6,0,0
1,100,100,0.55,0.32,5337,45,109,23,232.0,20,5.5
2,100,100,0.55,0.32,5255,49,187,22,238.9,14,13.4
3,100,100,0.55,0.32,5187,37,267,20,259.4,12,22.2
4,100,100,0.55,0.32,5145,24,322,23,223.7,11,29.3
5,100,100,0.55,0.32,5097,30,364,22,231.7,10,36.4
6,100,100,0.55,0.32,5018,36,437,22,228.1,8,54.6
7,100,100,0.55,0.32,4979,27,485,23,216.5,8,60.6
8,100,100,0.55,0.32,4916,31,544,27,182.1,8,68.0
9,100,100,0.55,0.32,4859,35,597,35,138.8,8,74.6
10,100,100,0.55,0.32,4785,41,665,34,140.7,7,95.0
11,100,100,0.55,0.32,4725,35,731,32,147.7,6,121.8
12,100,100,0.55,0.32,4686,27,778,35,133.9,6,129.7
13,100,100,0.55,0.32,4645,25,821,36,129.0,6,136.8
14,100,100,0.55,0.32,4587,34,870,41,111.9,6,145.0
15,100,100,0.55,0.32,4533,31,927,41,110.6,6,154.5
16,100,100,0.55,0.32,4495,22,974,44,102.2,6,162.3
17,100,100,0.55,0.32,4462,18,1011,45,99.2,6,168.5
18,100,100,0.55,0.32,4415,31,1045,49,90.1,6,174.2
19,100,100,0.55,0.32,4370,22,1099,45,97.1,6,183.2
20,100,100,0.55,0.32,4308,41,1142,45,95.7,6,190.3
21,100,100,0.55,0.32,4234,33,1224,50,84.7,6,204.0
22,100,100,0.55,0.32,4178,32,1281,56,74.6,6,213.5
23,100,100,0.55,0.32,4119,38,1334,57,72.3,5,266.8
24,100,100,0.55,0.32,4063,30,1398,59,68.9,5,279.6
25,100,100,0.55,0.32,4017,30,1444,60,67.0,5,288.8
26,100,100,0.55,0.32,3947,27,1517,61,64.7,5,303.4
27,100,100,0.55,0.32,3889,33,1569,66,58.9,5,313.8
28,100,100,0.55,0.32,3835,32,1624,64,59.9,5,324.8
29,100,100,0.55,0.32,3751,40,1700,63,59.5,5,340.0
30,100,100,0.55,0.32,3665,49,1777,66,55.5,5,355.4
31,100,100,0.55,0.32,3555,66,1870,71,50.1,5,374.0
32,100,100,0.55,0.32,3420,68,2003,73,46.8,5,400.6
33,100,100,0.55,0.32,3332,56,2103,75,44.4,5,420.6
34,100,100,0.55,0.32,3266,37,2188,81,40.3,5,437.6
35,100,100,0.55,0.32,3192,44,2255,79,40.4,5,451.0
36,100,100,0.55,0.32,3110,39,2342,80,38.9,5,468.4
37,100,100,0.55,0.32,3007,56,2428,86,35.0,5,485.6
38,100,100,0.55,0.32,2881,58,2552,91,31.7,5,510.4
39,100,100,0.55,0.32,2802,46,2643,94,29.8,5,528.6
40,100,100,0.55,0.32,2696,59,2736,96,28.1,5,547.2
41,100,100,0.55,0.32,2606,50,2835,97,26.9,5,567.0
42,100,100,0.55,0.32,2514,57,2920,102,24.6,5,584.0
43,100,100,0.55,0.32,2428,47,3016,106,22.9,5,603.2
44,100,100,0.55,0.32,2329,54,3108,102,22.8,5,621.6
45,100,100,0.55,0.32,2218,66,3207,107,20.7,5,641.4
46,100,100,0.55,0.32,2115,50,3326,115,18.4,5,665.2
47,100,100,0.55,0.32,2033,43,3415,113,18.0,5,683.0
