,density,humidity,Run,AvBurnedOutClusteresSize,AvFineClusteresSize,BurnedOut,Fine,NumberBurnedOutClusteres,NumberFineClusteres,height,width
0,0.73,0.41,0,3576.5,1.4,7153,155,2,113,100,100
1,0.73,0.41,1,7149.0,1.6,7149,147,1,93,100,100
2,0.73,0.41,2,7125.0,1.6,7125,157,1,101,100,100
3,0.73,0.41,3,7234.0,1.7,7234,150,1,89,100,100
4,0.73,0.41,4,7140.0,1.7,7140,204,1,119,100,100
5,0.73,0.41,5,3568.5,1.4,7137,159,2,114,100,100
6,0.73,0.41,6,7068.0,1.7,7068,182,1,107,100,100
7,0.73,0.41,7,7183.0,1.6,7183,159,1,97,100,100
8,0.73,0.41,8,7240.0,1.5,7240,137,1,93,100,100
9,0.73,0.41,9,3524.5,1.6,7049,183,2,117,100,100
10,0.73,0.41,10,7248.0,1.3,7248,111,1,87,100,100
11,0.73,0.41,11,7182.0,1.4,7182,126,1,87,100,100
12,0.73,0.41,12,3542.5,1.8,7085,205,2,114,100,100
13,0.73,0.41,13,7024.0,2.2,7024,233,1,106,100,100
14,0.73,0.41,14,3557.5,1.5,7115,195,2,127,100,100
15,0.73,0.41,15,3477.5,1.6,6955,202,2,124,100,100
16,0.73,0.41,16,7120.0,1.5,7120,175,1,115,100,100
17,0.73,0.41,17,7100.0,1.4,7100,144,1,100,100,100
18,0.73,0.41,18,7046.0,1.6,7046,152,1,98,100,100
19,0.73,0.41,19,2391.7,1.8,7175,172,3,93,100,100
20,0.73,0.41,20,7048.0,1.7,7048,198,1,115,100,100
21,0.73,0.41,21,7147.0,1.8,7147,160,1,90,100,100
22,0.73,0.41,22,7150.0,1.7,7150,180,1,105,100,100
23,0.73,0.41,23,7105.0,1.6,7105,178,1,114,100,100
24,0.73,0.41,24,3597.0,1.4,7194,148,2,107,100,100
