,density,humidity,Run,AvBurnedOutClusteresSize,AvFineClusteresSize,BurnedOut,Fine,NumberBurnedOutClusteres,NumberFineClusteres,height,width
0,0.55,0.32,0,2270.5,5.8,4541,955,2,165,100,100
1,0.55,0.32,1,780.5,5.2,4683,789,6,151,100,100
2,0.55,0.32,2,4898.0,4.7,4898,685,1,145,100,100
3,0.55,0.32,3,692.9,4.2,4850,664,7,159,100,100
4,0.55,0.32,4,1626.0,4.1,4878,636,3,155,100,100
5,0.55,0.32,5,867.6,8.6,4338,1148,5,134,100,100
6,0.55,0.32,6,577.0,5.2,4616,875,8,168,100,100
7,0.55,0.32,7,1194.2,4.5,4777,783,4,174,100,100
8,0.55,0.32,8,1154.5,5.3,4618,896,4,169,100,100
9,0.55,0.32,9,712.7,7.3,4276,1147,6,158,100,100
10,0.55,0.32,10,699.1,4.4,4894,640,7,147,100,100
11,0.55,0.32,11,685.5,9.5,4113,1288,6,135,100,100
12,0.55,0.32,12,842.2,3.2,5053,506,6,160,100,100
13,0.55,0.32,13,1029.5,10.9,4118,1360,4,125,100,100
14,0.55,0.32,14,959.6,3.7,4798,647,5,174,100,100
15,0.55,0.32,15,1278.2,2.6,5113,415,4,161,100,100
16,0.55,0.32,16,1623.7,5.1,4871,692,3,136,100,100
17,0.55,0.32,17,453.8,16.8,3630,1932,8,115,100,100
18,0.55,0.32,18,4626.0,5.2,4626,820,1,157,100,100
19,0.55,0.32,19,799.3,5.2,4796,744,6,144,100,100
20,0.55,0.32,20,974.8,4.8,4874,659,5,138,100,100
21,0.55,0.32,21,2466.5,4.1,4933,600,2,148,100,100
22,0.55,0.32,22,980.2,3.6,4901,579,5,163,100,100
23,0.55,0.32,23,1593.3,5.1,4780,761,3,150,100,100
24,0.55,0.32,24,1222.0,4.2,4888,647,4,154,100,100
25,0.55,0.32,25,2426.0,4.3,4852,660,2,154,100,100
26,0.55,0.32,26,1657.0,3.6,4971,556,3,155,100,100
27,0.55,0.32,27,1660.7,3.4,4982,573,3,167,100,100
28,0.55,0.32,28,4718.0,5.3,4718,801,1,151,100,100
29,0.55,0.32,29,2527.0,4.0,5054,539,2,135,100,100
30,0.55,0.32,30,1251.2,3.2,5005,522,4,165,100,100
31,0.55,0.32,31,688.0,4.2,4816,673,7,159,100,100
32,0.55,0.32,32,555.1,14.3,3886,1647,7,115,100,100
33,0.55,0.32,33,786.3,4.1,4718,734,6,180,100,100
34,0.55,0.32,34,1616.3,4.1,4849,639,3,155,100,100
35,0.55,0.32,35,1228.8,3.7,4915,599,4,164,100,100
36,0.55,0.32,36,1243.5,4.2,4974,596,4,143,100,100
37,0.55,0.32,37,911.8,5.8,4559,964,5,165,100,100
