,density,humidity,Run,AvBurnedOutClusteresSize,AvFineClusteresSize,BurnedOut,Fine,NumberBurnedOutClusteres,NumberFineClusteres,height,width
0,0.73,0.41,0,7064.0,1.7,7064,183,1,107,100,100
1,0.73,0.41,1,7133.0,1.6,7133,175,1,111,100,100
2,0.73,0.41,2,7107.0,1.8,7107,189,1,108,100,100
3,0.73,0.41,3,7038.0,1.6,7038,187,1,114,100,100
4,0.73,0.41,4,7161.0,1.6,7161,154,1,97,100,100
5,0.73,0.41,5,7063.0,1.5,7063,172,1,114,100,100
6,0.73,0.41,6,7150.0,1.4,7150,141,1,101,100,100
7,0.73,0.41,7,7146.0,1.8,7146,188,1,104,100,100
8,0.73,0.41,8,3589.5,1.6,7179,159,2,100,100,100
9,0.73,0.41,9,7246.0,1.7,7246,175,1,105,100,100
10,0.73,0.41,10,7084.0,1.7,7084,178,1,106,100,100
11,0.73,0.41,11,7194.0,1.4,7194,153,1,107,100,100
12,0.73,0.41,12,7192.0,1.7,7192,141,1,83,100,100
13,0.73,0.41,13,7124.0,1.6,7124,152,1,94,100,100
14,0.73,0.41,14,7191.0,1.5,7191,157,1,104,100,100
15,0.73,0.41,15,7191.0,1.5,7191,160,1,104,100,100
16,0.73,0.41,16,7230.0,1.6,7230,155,1,99,100,100
17,0.73,0.41,17,2394.3,1.4,7183,140,3,102,100,100
18,0.73,0.41,18,7286.0,1.4,7286,117,1,82,100,100
19,0.73,0.41,19,7208.0,1.8,7208,191,1,109,100,100
20,0.73,0.41,20,3545.0,1.4,7090,176,2,125,100,100
21,0.73,0.41,21,7109.0,1.8,7109,192,1,106,100,100
22,0.73,0.41,22,3520.5,1.5,7041,186,2,124,100,100
23,0.73,0.41,23,7178.0,1.4,7178,135,1,95,100,100
24,0.73,0.41,24,3528.5,1.4,7057,159,2,117,100,100
25,0.73,0.41,25,7166.0,1.6,7166,183,1,111,100,100
26,0.73,0.41,26,7161.0,1.4,7161,150,1,111,100,100
27,0.73,0.41,27,7006.0,2.0,7006,235,1,118,100,100
28,0.73,0.41,28,7211.0,1.3,7211,143,1,107,100,100
29,0.73,0.41,29,3558.5,2.0,7117,209,2,104,100,100
30,0.73,0.41,30,3539.5,1.7,7079,213,2,123,100,100
31,0.73,0.41,31,7101.0,1.9,7101,183,1,98,100,100
32,0.73,0.41,32,3547.5,1.5,7095,182,2,118,100,100
33,0.73,0.41,33,2351.3,2.0,7054,205,3,102,100,100
34,0.73,0.41,34,7182.0,1.6,7182,172,1,107,100,100
35,0.73,0.41,35,7206.0,2.6,7206,207,1,79,100,100
36,0.73,0.41,36,7228.0,1.9,7228,148,1,80,100,100
37,0.73,0.41,37,7181.0,1.5,7181,140,1,93,100,100
38,0.73,0.41,38,7117.0,1.7,7117,154,1,93,100,100
39,0.73,0.41,39,7114.0,2.3,7114,248,1,109,100,100
40,0.73,0.41,40,7201.0,1.5,7201,167,1,108,100,100
41,0.73,0.41,41,7090.0,1.5,7090,163,1,107,100,100
42,0.73,0.41,42,7076.0,1.8,7076,183,1,102,100,100
43,0.73,0.41,43,3549.5,1.5,7099,168,2,113,100,100
44,0.73,0.41,44,7062.0,1.7,7062,173,1,101,100,100
45,0.73,0.41,45,7058.0,1.3,7058,143,1,107,100,100
46,0.73,0.41,46,7133.0,1.7,7133,177,1,102,100,100
47,0.73,0.41,47,7105.0,1.5,7105,155,1,106,100,100
48,0.73,0.41,48,7180.0,1.4,7180,153,1,111,100,100
49,0.73,0.41,49,7072.0,2.0,7072,213,1,106,100,100
50,0.73,0.41,50,7123.0,1.7,7123,177,1,102,100,100
51,0.73,0.41,51,7167.0,1.5,7167,129,1,88,100,100
52,0.73,0.41,52,7059.0,1.9,7059,193,1,104,100,100
53,0.73,0.41,53,7178.0,1.5,7178,157,1,104,100,100
54,0.73,0.41,54,7062.0,1.9,7062,194,1,101,100,100
55,0.73,0.41,55,7131.0,1.7,7131,181,1,108,100,100
56,0.73,0.41,56,7196.0,1.5,7196,164,1,109,100,100
57,0.73,0.41,57,7193.0,1.5,7193,164,1,113,100,100
58,0.73,0.41,58,3573.5,1.5,7147,157,2,106,100,100
59,0.73,0.41,59,7235.0,1.3,7235,123,1,98,100,100
60,0.73,0.41,60,3607.5,1.4,7215,158,2,114,100,100
61,0.73,0.41,61,7085.0,1.9,7085,203,1,108,100,100
62,0.73,0.41,62,7072.0,1.4,7072,161,1,114,100,100
63,0.73,0.41,63,7085.0,1.5,7085,152,1,103,100,100
64,0.73,0.41,64,3564.0,1.3,7128,171,2,128,100,100
65,0.73,0.41,65,7208.0,1.5,7208,117,1,80,100,100
66,0.73,0.41,66,7182.0,1.4,7182,142,1,104,100,100
67,0.73,0.41,67,7197.0,1.4,7197,156,1,108,100,100
68,0.73,0.41,68,3575.0,1.5,7150,140,2,93,100,100
69,0.73,0.41,69,2392.7,1.6,7178,154,3,94,100,100
70,0.73,0.41,70,7163.0,1.5,7163,133,1,91,100,100
71,0.73,0.41,71,7288.0,1.5,7288,137,1,92,100,100
72,0.73,0.41,72,7051.0,1.9,7051,195,1,103,100,100
73,0.73,0.41,73,7055.0,2.0,7055,238,1,120,100,100
74,0.73,0.41,74,3554.0,1.6,7108,173,2,106,100,100
75,0.73,0.41,75,7103.0,1.5,7103,146,1,95,100,100
76,0.73,0.41,76,7177.0,1.3,7177,125,1,93,100,100
77,0.73,0.41,77,7067.0,1.5,7067,184,1,125,100,100
78,0.73,0.41,78,7162.0,1.4,7162,158,1,111,100,100
79,0.73,0.41,79,3590.5,1.3,7181,140,2,106,100,100
80,0.73,0.41,80,7046.0,1.9,7046,222,1,116,100,100
81,0.73,0.41,81,7108.0,1.7,7108,167,1,101,100,100
82,0.73,0.41,82,7165.0,1.9,7165,179,1,95,100,100
83,0.73,0.41,83,7125.0,1.4,7125,155,1,113,100,100
84,0.73,0.41,84,7074.0,1.6,7074,175,1,107,100,100
85,0.73,0.41,85,2368.0,1.5,7104,140,3,93,100,100
86,0.73,0.41,86,7195.0,1.4,7195,136,1,100,100,100
87,0.73,0.41,87,7193.0,1.6,7193,162,1,101,100,100
88,0.73,0.41,88,6992.0,2.1,6992,256,1,122,100,100
89,0.73,0.41,89,7044.0,1.8,7044,212,1,115,100,100
90,0.73,0.41,90,3557.0,1.7,7114,197,2,113,100,100
91,0.73,0.41,91,7215.0,1.5,7215,162,1,111,100,100
92,0.73,0.41,92,3566.5,1.5,7133,181,2,117,100,100
93,0.73,0.41,93,6924.0,2.2,6924,278,1,124,100,100
94,0.73,0.41,94,3591.5,1.4,7183,123,2,89,100,100
95,0.73,0.41,95,3559.0,1.5,7118,157,2,102,100,100
96,0.73,0.41,96,7139.0,1.6,7139,170,1,105,100,100
97,0.73,0.41,97,7159.0,1.3,7159,117,1,88,100,100
98,0.73,0.41,98,3521.5,1.6,7043,183,2,118,100,100
99,0.73,0.41,99,3541.5,1.9,7083,224,2,118,100,100
100,0.73,0.41,100,2381.0,1.4,7143,147,3,104,100,100
101,0.73,0.41,101,7142.0,1.5,7142,167,1,114,100,100
102,0.73,0.41,102,3584.0,1.2,7168,156,2,131,100,100
103,0.73,0.41,103,7108.0,1.5,7108,154,1,100,100,100
104,0.73,0.41,104,3554.0,1.7,7108,177,2,104,100,100
105,0.73,0.41,105,7152.0,1.9,7152,185,1,97,100,100
106,0.73,0.41,106,7131.0,1.4,7131,163,1,113,100,100
107,0.73,0.41,107,7046.0,1.4,7046,179,1,126,100,100
108,0.73,0.41,108,2379.3,1.6,7138,172,3,107,100,100
109,0.73,0.41,109,7187.0,1.3,7187,134,1,100,100,100
110,0.73,0.41,110,3588.0,1.6,7176,153,2,98,100,100
111,0.73,0.41,111,3561.5,1.7,7123,180,2,106,100,100
112,0.73,0.41,112,7122.0,1.9,7122,172,1,91,100,100
113,0.73,0.41,113,7242.0,1.4,7242,137,1,99,100,100
114,0.73,0.41,114,7258.0,1.5,7258,149,1,100,100,100
115,0.73,0.41,115,7194.0,1.4,7194,158,1,112,100,100
116,0.73,0.41,116,3560.0,1.6,7120,155,2,100,100,100
117,0.73,0.41,117,7228.0,1.3,7228,136,1,101,100,100
118,0.73,0.41,118,7095.0,1.6,7095,153,1,97,100,100
119,0.73,0.41,119,7136.0,1.7,7136,174,1,101,100,100
120,0.73,0.41,120,7152.0,1.7,7152,194,1,111,100,100
121,0.73,0.41,121,7136.0,1.5,7136,162,1,110,100,100
122,0.73,0.41,122,7119.0,1.5,7119,176,1,114,100,100
123,0.73,0.41,123,7098.0,1.8,7098,173,1,97,100,100
124,0.73,0.41,124,7242.0,1.4,7242,148,1,109,100,100
125,0.73,0.41,125,7219.0,1.5,7219,154,1,103,100,100
126,0.73,0.41,126,7147.0,1.5,7147,147,1,98,100,100
127,0.73,0.41,127,7280.0,1.2,7280,117,1,94,100,100
128,0.73,0.41,128,2384.3,1.4,7153,143,3,99,100,100
129,0.73,0.41,129,7251.0,1.3,7251,143,1,108,100,100
130,0.73,0.41,130,7057.0,1.8,7057,202,1,115,100,100
131,0.73,0.41,131,7161.0,1.4,7161,151,1,107,100,100
132,0.73,0.41,132,3574.0,1.6,7148,162,2,99,100,100
133,0.73,0.41,133,3521.0,1.9,7042,199,2,104,100,100
134,0.73,0.41,134,3587.0,1.4,7174,142,2,102,100,100
135,0.73,0.41,135,7115.0,1.5,7115,151,1,100,100,100
136,0.73,0.41,136,7096.0,1.6,7096,182,1,113,100,100
137,0.73,0.41,137,3545.5,1.4,7091,162,2,116,100,100
