,density,humidity,Run,AvBurnedOutClusteresSize,AvFineClusteresSize,BurnedOut,Fine,NumberBurnedOutClusteres,NumberFineClusteres,height,width
0,0.73,0.41,0,3554.0,1.8,7108,188,2,104,100,100
1,0.73,0.41,1,7175.0,1.8,7175,187,1,105,100,100
2,0.73,0.41,2,7158.0,1.5,7158,170,1,112,100,100
3,0.73,0.41,3,3554.0,1.8,7108,182,2,104,100,100
4,0.73,0.41,4,3596.5,1.4,7193,138,2,102,100,100
5,0.73,0.41,5,7102.0,1.7,7102,144,1,86,100,100
6,0.73,0.41,6,7175.0,1.7,7175,171,1,99,100,100
7,0.73,0.41,7,7208.0,1.4,7208,120,1,88,100,100
8,0.73,0.41,8,7051.0,1.5,7051,173,1,116,100,100
9,0.73,0.41,9,7194.0,1.5,7194,169,1,115,100,100
10,0.73,0.41,10,3589.0,1.5,7178,164,2,108,100,100
11,0.73,0.41,11,7130.0,1.6,7130,161,1,102,100,100
12,0.73,0.41,12,7273.0,1.2,7273,125,1,101,100,100
13,0.73,0.41,13,3587.5,1.6,7175,164,2,104,100,100
14,0.73,0.41,14,7128.0,1.7,7128,190,1,109,100,100
15,0.73,0.41,15,7180.0,1.9,7180,161,1,85,100,100
16,0.73,0.41,16,7236.0,1.8,7236,166,1,93,100,100
17,0.73,0.41,17,7139.0,1.7,7139,161,1,96,100,100
18,0.73,0.41,18,7122.0,1.4,7122,161,1,116,100,100
19,0.73,0.41,19,7183.0,1.5,7183,141,1,93,100,100
20,0.73,0.41,20,7212.0,1.4,7212,147,1,105,100,100
21,0.73,0.41,21,3542.0,1.5,7084,181,2,119,100,100
22,0.73,0.41,22,7065.0,1.9,7065,193,1,101,100,100
23,0.73,0.41,23,7058.0,1.4,7058,157,1,114,100,100
24,0.73,0.41,24,7151.0,1.5,7151,174,1,113,100,100
25,0.73,0.41,25,3542.0,1.6,7084,166,2,103,100,100
26,0.73,0.41,26,3561.0,1.6,7122,145,2,92,100,100
27,0.73,0.41,27,3527.5,2.0,7055,190,2,97,100,100
28,0.73,0.41,28,7185.0,1.4,7185,136,1,97,100,100
29,0.73,0.41,29,7223.0,1.4,7223,124,1,86,100,100
30,0.73,0.41,30,7099.0,1.8,7099,212,1,118,100,100
31,0.73,0.41,31,7224.0,1.5,7224,143,1,95,100,100
32,0.73,0.41,32,7149.0,1.8,7149,187,1,103,100,100
33,0.73,0.41,33,7102.0,1.5,7102,158,1,108,100,100
34,0.73,0.41,34,7216.0,1.5,7216,137,1,92,100,100
35,0.73,0.41,35,3560.0,1.4,7120,163,2,113,100,100
36,0.73,0.41,36,7115.0,1.4,7115,168,1,124,100,100
37,0.73,0.41,37,3571.0,1.5,7142,148,2,102,100,100
38,0.73,0.41,38,7062.0,1.7,7062,198,1,117,100,100
39,0.73,0.41,39,7055.0,2.0,7055,208,1,104,100,100
40,0.73,0.41,40,7082.0,1.5,7082,179,1,118,100,100
41,0.73,0.41,41,2395.7,1.5,7187,148,3,98,100,100
42,0.73,0.41,42,7152.0,1.4,7152,143,1,105,100,100
43,0.73,0.41,43,7136.0,1.7,7136,159,1,93,100,100
44,0.73,0.41,44,7087.0,1.8,7087,176,1,100,100,100
45,0.73,0.41,45,7132.0,1.5,7132,167,1,109,100,100
46,0.73,0.41,46,3490.0,2.1,6980,237,2,114,100,100
