,density,humidity,Run,AvBurnedOutClusteresSize,AvFineClusteresSize,BurnedOut,Fine,NumberBurnedOutClusteres,NumberFineClusteres,height,width
0,0.73,0.41,0,3530.0,2.1,7060,229,2,107,100,100
1,0.73,0.41,1,3587.5,1.4,7175,153,2,110,100,100
2,0.73,0.41,2,7127.0,1.6,7127,152,1,95,100,100
3,0.73,0.41,3,7177.0,1.5,7177,169,1,113,100,100
4,0.73,0.41,4,3556.0,1.7,7112,176,2,106,100,100
5,0.73,0.41,5,3555.5,1.5,7111,183,2,125,100,100
6,0.73,0.41,6,7142.0,2.0,7142,225,1,114,100,100
7,0.73,0.41,7,7025.0,1.5,7025,187,1,123,100,100
8,0.73,0.41,8,7094.0,1.9,7094,210,1,111,100,100
9,0.73,0.41,9,3580.0,1.5,7160,158,2,102,100,100
10,0.73,0.41,10,7148.0,1.4,7148,149,1,110,100,100
11,0.73,0.41,11,3574.0,1.7,7148,166,2,98,100,100
12,0.73,0.41,12,7233.0,1.3,7233,138,1,105,100,100
13,0.73,0.41,13,7103.0,1.6,7103,207,1,126,100,100
14,0.73,0.41,14,3576.0,1.5,7152,144,2,96,100,100
15,0.73,0.41,15,7181.0,1.4,7181,147,1,108,100,100
16,0.73,0.41,16,3548.0,1.4,7096,179,2,126,100,100
17,0.73,0.41,17,7136.0,1.6,7136,152,1,94,100,100
18,0.73,0.41,18,7119.0,1.7,7119,198,1,116,100,100
19,0.73,0.41,19,7133.0,1.4,7133,165,1,117,100,100
20,0.73,0.41,20,7212.0,1.4,7212,129,1,95,100,100
21,0.73,0.41,21,3550.0,2.0,7100,201,2,99,100,100
22,0.73,0.41,22,3496.5,2.0,6993,241,2,123,100,100
23,0.73,0.41,23,7121.0,1.4,7121,165,1,118,100,100
24,0.73,0.41,24,7189.0,1.5,7189,150,1,98,100,100
25,0.73,0.41,25,7084.0,1.5,7084,161,1,107,100,100
26,0.73,0.41,26,7110.0,1.6,7110,154,1,97,100,100
27,0.73,0.41,27,7223.0,1.4,7223,132,1,93,100,100
28,0.73,0.41,28,7122.0,1.5,7122,170,1,114,100,100
29,0.73,0.41,29,7238.0,1.5,7238,133,1,91,100,100
30,0.73,0.41,30,7151.0,1.6,7151,175,1,107,100,100
31,0.73,0.41,31,7179.0,1.5,7179,144,1,97,100,100
32,0.73,0.41,32,3498.5,1.6,6997,206,2,132,100,100
33,0.73,0.41,33,7106.0,1.4,7106,148,1,107,100,100
34,0.73,0.41,34,7182.0,1.3,7182,133,1,102,100,100
35,0.73,0.41,35,7203.0,1.4,7203,134,1,94,100,100
36,0.73,0.41,36,7136.0,1.3,7136,144,1,114,100,100
37,0.73,0.41,37,7169.0,1.6,7169,156,1,100,100,100
38,0.73,0.41,38,7035.0,1.7,7035,211,1,122,100,100
39,0.73,0.41,39,7231.0,1.4,7231,130,1,94,100,100
40,0.73,0.41,40,7169.0,1.5,7169,141,1,92,100,100
41,0.73,0.41,41,7165.0,1.8,7165,181,1,102,100,100
42,0.73,0.41,42,7141.0,1.7,7141,179,1,104,100,100
43,0.73,0.41,43,2404.0,1.4,7212,146,3,104,100,100
44,0.73,0.41,44,7178.0,1.6,7178,177,1,110,100,100
45,0.73,0.41,45,7191.0,1.5,7191,136,1,93,100,100
46,0.73,0.41,46,7156.0,1.7,7156,158,1,95,100,100
47,0.73,0.41,47,7181.0,1.5,7181,159,1,105,100,100
48,0.73,0.41,48,7163.0,1.5,7163,154,1,101,100,100
49,0.73,0.41,49,3511.0,2.2,7022,240,2,108,100,100
50,0.73,0.41,50,3580.0,1.5,7160,159,2,107,100,100
51,0.73,0.41,51,7091.0,1.6,7091,181,1,114,100,100
52,0.73,0.41,52,7152.0,1.4,7152,165,1,116,100,100
53,0.73,0.41,53,3617.5,1.5,7235,136,2,89,100,100
54,0.73,0.41,54,7237.0,1.3,7237,131,1,101,100,100
55,0.73,0.41,55,7141.0,1.5,7141,182,1,119,100,100
56,0.73,0.41,56,7160.0,1.5,7160,148,1,99,100,100
57,0.73,0.41,57,7129.0,1.6,7129,156,1,99,100,100
58,0.73,0.41,58,7257.0,1.2,7257,132,1,107,100,100
59,0.73,0.41,59,7079.0,1.9,7079,194,1,104,100,100
60,0.73,0.41,60,7105.0,1.5,7105,164,1,109,100,100
61,0.73,0.41,61,7245.0,1.4,7245,143,1,99,100,100
62,0.73,0.41,62,7127.0,1.4,7127,169,1,119,100,100
63,0.73,0.41,63,7191.0,1.5,7191,155,1,102,100,100
64,0.73,0.41,64,7173.0,1.6,7173,148,1,92,100,100
65,0.73,0.41,65,7151.0,1.5,7151,140,1,96,100,100
66,0.73,0.41,66,7030.0,1.6,7030,175,1,111,100,100
67,0.73,0.41,67,7232.0,1.4,7232,139,1,98,100,100
68,0.73,0.41,68,3578.5,1.7,7157,173,2,104,100,100
69,0.73,0.41,69,7069.0,1.9,7069,225,1,116,100,100
70,0.73,0.41,70,7162.0,1.4,7162,131,1,93,100,100
71,0.73,0.41,71,7079.0,1.5,7079,149,1,101,100,100
72,0.73,0.41,72,7082.0,1.6,7082,173,1,111,100,100
73,0.73,0.41,73,7211.0,1.5,7211,141,1,97,100,100
74,0.73,0.41,74,7130.0,1.5,7130,156,1,102,100,100
75,0.73,0.41,75,7131.0,1.7,7131,165,1,98,100,100
76,0.73,0.41,76,3539.0,2.0,7078,198,2,100,100,100
77,0.73,0.41,77,7134.0,1.6,7134,172,1,106,100,100
78,0.73,0.41,78,7114.0,1.6,7114,155,1,97,100,100
79,0.73,0.41,79,3594.5,1.3,7189,121,2,96,100,100
80,0.73,0.41,80,3550.0,1.4,7100,142,2,98,100,100
81,0.73,0.41,81,7067.0,1.5,7067,150,1,103,100,100
82,0.73,0.41,82,7025.0,1.9,7025,216,1,112,100,100
83,0.73,0.41,83,7136.0,1.4,7136,162,1,112,100,100
84,0.73,0.41,84,7089.0,1.3,7089,159,1,119,100,100
85,0.73,0.41,85,7162.0,1.5,7162,158,1,102,100,100
86,0.73,0.41,86,7176.0,1.4,7176,132,1,92,100,100
87,0.73,0.41,87,7114.0,1.8,7114,196,1,109,100,100
88,0.73,0.41,88,7125.0,1.7,7125,174,1,101,100,100
89,0.73,0.41,89,7068.0,1.7,7068,174,1,103,100,100
90,0.73,0.41,90,7075.0,1.5,7075,181,1,120,100,100
91,0.73,0.41,91,7146.0,1.5,7146,154,1,106,100,100
92,0.73,0.41,92,7222.0,1.4,7222,152,1,106,100,100
93,0.73,0.41,93,3587.0,1.5,7174,161,2,109,100,100
94,0.73,0.41,94,3623.0,1.3,7246,136,2,103,100,100
95,0.73,0.41,95,7190.0,1.3,7190,117,1,90,100,100
96,0.73,0.41,96,3537.5,1.7,7075,188,2,110,100,100
97,0.73,0.41,97,7111.0,1.5,7111,167,1,112,100,100
98,0.73,0.41,98,7235.0,1.5,7235,131,1,90,100,100
99,0.73,0.41,99,7157.0,1.5,7157,182,1,124,100,100
100,0.73,0.41,100,7195.0,1.6,7195,158,1,96,100,100
101,0.73,0.41,101,7098.0,1.6,7098,183,1,113,100,100
102,0.73,0.41,102,7121.0,1.3,7121,145,1,108,100,100
103,0.73,0.41,103,7111.0,1.4,7111,173,1,120,100,100
104,0.73,0.41,104,7092.0,1.7,7092,199,1,114,100,100
105,0.73,0.41,105,7096.0,1.5,7096,159,1,107,100,100
106,0.73,0.41,106,7074.0,1.9,7074,191,1,102,100,100
107,0.73,0.41,107,3582.0,1.7,7164,177,2,105,100,100
108,0.73,0.41,108,7195.0,1.4,7195,132,1,94,100,100
109,0.73,0.41,109,7151.0,1.5,7151,149,1,99,100,100
110,0.73,0.41,110,7155.0,1.6,7155,179,1,111,100,100
111,0.73,0.41,111,7100.0,1.5,7100,166,1,112,100,100
112,0.73,0.41,112,7127.0,1.6,7127,173,1,108,100,100
113,0.73,0.41,113,7139.0,1.6,7139,187,1,116,100,100
114,0.73,0.41,114,3598.0,1.5,7196,156,2,107,100,100
115,0.73,0.41,115,7128.0,1.5,7128,161,1,106,100,100
116,0.73,0.41,116,7092.0,1.4,7092,169,1,119,100,100
117,0.73,0.41,117,7055.0,1.5,7055,157,1,104,100,100
118,0.73,0.41,118,7128.0,1.6,7128,167,1,103,100,100
119,0.73,0.41,119,7157.0,1.8,7157,197,1,108,100,100
120,0.73,0.41,120,7201.0,1.3,7201,137,1,103,100,100
121,0.73,0.41,121,7098.0,2.0,7098,209,1,103,100,100
122,0.73,0.41,122,7111.0,1.5,7111,166,1,110,100,100
123,0.73,0.41,123,7182.0,1.4,7182,154,1,108,100,100
124,0.73,0.41,124,7098.0,1.8,7098,180,1,102,100,100
125,0.73,0.41,125,7208.0,1.5,7208,160,1,108,100,100
126,0.73,0.41,126,7206.0,1.4,7206,151,1,109,100,100
127,0.73,0.41,127,7107.0,1.4,7107,158,1,114,100,100
128,0.73,0.41,128,7149.0,1.7,7149,181,1,107,100,100
129,0.73,0.41,129,7055.0,1.4,7055,184,1,127,100,100
130,0.73,0.41,130,2395.7,1.6,7187,178,3,111,100,100
131,0.73,0.41,131,7049.0,1.9,7049,185,1,100,100,100
132,0.73,0.41,132,7229.0,1.4,7229,156,1,113,100,100
133,0.73,0.41,133,7112.0,1.8,7112,195,1,106,100,100
134,0.73,0.41,134,7061.0,1.5,7061,191,1,127,100,100
135,0.73,0.41,135,7181.0,1.6,7181,166,1,102,100,100
136,0.73,0.41,136,7064.0,1.6,7064,187,1,118,100,100
137,0.73,0.41,137,7093.0,1.9,7093,201,1,107,100,100
138,0.73,0.41,138,7174.0,1.9,7174,180,1,95,100,100
139,0.73,0.41,139,7126.0,1.5,7126,179,1,119,100,100
140,0.73,0.41,140,3566.5,1.9,7133,237,2,126,100,100
141,0.73,0.41,141,7058.0,2.1,7058,221,1,105,100,100
142,0.73,0.41,142,7157.0,1.6,7157,161,1,101,100,100
143,0.73,0.41,143,7091.0,1.6,7091,146,1,92,100,100
144,0.73,0.41,144,7194.0,1.4,7194,134,1,96,100,100
145,0.73,0.41,145,7173.0,1.4,7173,137,1,98,100,100
146,0.73,0.41,146,3584.0,1.7,7168,169,2,99,100,100
147,0.73,0.41,147,6967.0,2.1,6967,250,1,120,100,100
148,0.73,0.41,148,7141.0,1.4,7141,142,1,101,100,100
149,0.73,0.41,149,7158.0,1.6,7158,158,1,100,100,100
150,0.73,0.41,150,7146.0,1.5,7146,143,1,97,100,100
151,0.73,0.41,151,3592.5,1.4,7185,125,2,87,100,100
152,0.73,0.41,152,3574.0,1.8,7148,198,2,112,100,100
153,0.73,0.41,153,7042.0,1.9,7042,230,1,124,100,100
